hid	dataset_id	physical_dataset_id	name	sample	category	extension	bytes	status	status_checked	backup_status	sha256	verification	local_backup_path	repository_backup_path	reason
20	f9cad7b01a47213597f70c6a38423743	f9cad7b01a4721353d8113111732f36e	Control_siRNA_P1_1.fastq.gz		01_raw	fastqsanger.gz	3421523547	already_deleted_before_cleanup	False	not_downloaded					Redundant QC, pilot, failed output, or raw input with retained full alignment
28	f9cad7b01a472135c7b9960e6de217cd	f9cad7b01a472135b4ef15601e318c82	Compute quality statistics on dataset 20		02_fastqc	txt	14966	already_deleted_before_cleanup	True	failed					Redundant QC, pilot, failed output, or raw input with retained full alignment
32	f9cad7b01a472135e36af183fc3502ee	f9cad7b01a472135a58bf6ae17dac666	Control_siRNA_P1_2.gz		01_raw	fastqsanger.gz	3455726368	already_deleted_before_cleanup	False	not_downloaded					Redundant QC, pilot, failed output, or raw input with retained full alignment
34	f9cad7b01a472135cd81b90a6ee13030	f9cad7b01a4721355f266a382b928bc4	Compute quality statistics on dataset 31		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
35	f9cad7b01a472135bdf3cee99ca65ef8	f9cad7b01a47213519dab31ad3e47a56	Compute quality statistics on dataset 33		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
36	f9cad7b01a472135014473f0f1c8266b	f9cad7b01a4721356c85620006e90d93	Compute quality statistics on dataset 1		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
37	f9cad7b01a472135bdf8ef8023b1691f	f9cad7b01a47213539b77afb929a8375	Compute quality statistics on dataset 4		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
38	f9cad7b01a47213544cc8162fb8bdd17	f9cad7b01a4721353502b3760f6fe81c	Compute quality statistics on dataset 5		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
39	f9cad7b01a4721351cc478fe1d40019d	f9cad7b01a47213592bf3fb0480164bc	Compute quality statistics on dataset 6		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
40	f9cad7b01a4721353feb13aa9247b6c2	f9cad7b01a472135da2cbe178f912837	Compute quality statistics on dataset 7		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
41	f9cad7b01a4721357b045cfcf6f90a85	f9cad7b01a472135424f649f5a856052	Compute quality statistics on dataset 8		02_fastqc	txt	0	already_deleted_before_cleanup	True	no_output_bytes					Redundant QC, pilot, failed output, or raw input with retained full alignment
