column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	38181985	2	37	1396207660	36.57	37	37	37	0	37	37	5880480	14706826	11621784	5947316	25579	38181985
2	38181985	2	37	1392797058	36.48	37	37	37	0	37	37	10230110	6469092	9951564	11527184	4035	38181985
3	38181985	11	37	1395553905	36.55	37	37	37	0	37	37	10602832	9011641	10315586	8251926	0	38181985
4	38181985	11	37	1395372281	36.55	37	37	37	0	37	37	12698958	8537994	10551618	6393415	0	38181985
5	38181985	11	37	1396200561	36.57	37	37	37	0	37	37	12157347	7786294	10591688	7646656	0	38181985
6	38181985	11	37	1394487807	36.52	37	37	37	0	37	37	12167926	9071572	8580656	8361831	0	38181985
7	38181985	11	37	1394116533	36.51	37	37	37	0	37	37	5574993	9833962	7949781	14823249	0	38181985
8	38181985	11	37	1396854009	36.58	37	37	37	0	37	37	7281527	12189082	8760476	9950900	0	38181985
9	38181985	11	37	1396446649	36.57	37	37	37	0	37	37	7717926	10777093	8909972	10776994	0	38181985
10	38181985	11	37	1396879923	36.58	37	37	37	0	37	37	12880542	7756542	9746101	7798800	0	38181985
11	38181985	11	37	1398425655	36.63	37	37	37	0	37	37	8432019	11361311	11488203	6900452	0	38181985
12	38181985	11	37	1396388915	36.57	37	37	37	0	37	37	7844967	10648407	9615312	10073299	0	38181985
13	38181985	11	37	1395351289	36.54	37	37	37	0	37	37	9255303	9141552	9061809	10723321	0	38181985
14	38181985	11	37	1395365307	36.55	37	37	37	0	37	37	9138783	9367347	9548484	10127371	0	38181985
15	38181985	11	37	1395320773	36.54	37	37	37	0	37	37	9159694	9520024	9791216	9711051	0	38181985
16	38181985	11	37	1395510755	36.55	37	37	37	0	37	37	9154412	9599083	9802480	9626010	0	38181985
17	38181985	11	37	1395398675	36.55	37	37	37	0	37	37	9312680	9455612	9863871	9549822	0	38181985
18	38181985	11	37	1395490451	36.55	37	37	37	0	37	37	9333195	9547420	9712613	9588757	0	38181985
19	38181985	11	37	1395441487	36.55	37	37	37	0	37	37	9256284	9537142	9893087	9495472	0	38181985
20	38181985	11	37	1395285301	36.54	37	37	37	0	37	37	9438015	9424073	9906822	9413075	0	38181985
21	38181985	11	37	1395061349	36.54	37	37	37	0	37	37	9447888	9456420	9765233	9512444	0	38181985
22	38181985	11	37	1394620037	36.53	37	37	37	0	37	37	9519489	9460439	9905869	9296188	0	38181985
23	38181985	11	37	1394440311	36.52	37	37	37	0	37	37	9596387	9402802	9876183	9306613	0	38181985
24	38181985	11	37	1393959143	36.51	37	37	37	0	37	37	9557635	9431104	9747184	9446062	0	38181985
25	38181985	11	37	1393817699	36.50	37	37	37	0	37	37	9521959	9503744	9848340	9307942	0	38181985
26	38181985	11	37	1393667217	36.50	37	37	37	0	37	37	9570953	9434832	9846358	9329842	0	38181985
27	38181985	11	37	1393247041	36.49	37	37	37	0	37	37	9528276	9490164	9734705	9428840	0	38181985
28	38181985	11	37	1393201155	36.49	37	37	37	0	37	37	9426757	9563067	9828802	9363359	0	38181985
29	38181985	11	37	1393054901	36.48	37	37	37	0	37	37	9464229	9495189	9859688	9362879	0	38181985
30	38181985	11	37	1392843771	36.48	37	37	37	0	37	37	9486829	9496135	9723582	9475439	0	38181985
31	38181985	11	37	1392772431	36.48	37	37	37	0	37	37	9449484	9581508	9746610	9404383	0	38181985
32	38181985	11	37	1392518759	36.47	37	37	37	0	37	37	9509447	9522399	9789350	9360789	0	38181985
33	38181985	2	37	1391953632	36.46	37	37	37	0	37	37	9496434	9539094	9683960	9462494	3	38181985
34	38181985	2	37	1391749516	36.45	37	37	37	0	37	37	9463688	9558628	9853605	9306033	31	38181985
35	38181985	2	37	1391403795	36.44	37	37	37	0	37	37	9544211	9468870	9820274	9348602	28	38181985
36	38181985	11	37	1391657205	36.45	37	37	37	0	37	37	9480686	9570385	9751614	9379300	0	38181985
37	38181985	11	37	1390996457	36.43	37	37	37	0	37	37	9431874	9594817	9777045	9378249	0	38181985
38	38181985	11	37	1391420919	36.44	37	37	37	0	37	37	9445637	9542994	9812851	9380503	0	38181985
39	38181985	2	37	1390734045	36.42	37	37	37	0	37	37	9487381	9597303	9659221	9438076	4	38181985
40	38181985	2	37	1389915550	36.40	37	37	37	0	37	37	9365821	9654956	9794379	9366742	87	38181985
41	38181985	2	37	1390546731	36.42	37	37	37	0	37	37	9480129	9532756	9826078	9343010	12	38181985
42	38181985	2	37	1390830622	36.43	37	37	37	0	37	37	9442457	9587519	9708514	9443474	21	38181985
43	38181985	2	37	1390553607	36.42	37	37	37	0	37	37	9393553	9638945	9781282	9368195	10	38181985
44	38181985	2	37	1390375311	36.41	37	37	37	0	37	37	9453372	9550567	9818403	9359621	22	38181985
45	38181985	2	37	1390231703	36.41	37	37	37	0	37	37	9460981	9603607	9695527	9421860	10	38181985
46	38181985	2	37	1390199553	36.41	37	37	37	0	37	37	9390402	9669311	9797217	9325041	14	38181985
47	38181985	2	37	1389536297	36.39	37	37	37	0	37	37	9485921	9545681	9778969	9371398	16	38181985
48	38181985	11	37	1389040241	36.38	37	37	37	0	37	37	9456455	9608122	9694512	9422896	0	38181985
49	38181985	11	37	1388786253	36.37	37	37	37	0	37	37	9395726	9664525	9790159	9331575	0	38181985
50	38181985	11	37	1389046217	36.38	37	37	37	0	37	37	9429604	9588684	9837833	9325864	0	38181985
51	38181985	11	37	1389044757	36.38	37	37	37	0	37	37	9411939	9640630	9707688	9421728	0	38181985
52	38181985	11	37	1389070361	36.38	37	37	37	0	37	37	9421009	9686473	9789760	9284743	0	38181985
53	38181985	11	37	1388876717	36.38	37	37	37	0	37	37	9467256	9608003	9814738	9291988	0	38181985
54	38181985	11	37	1388617389	36.37	37	37	37	0	37	37	9415347	9656955	9740064	9369619	0	38181985
55	38181985	11	37	1388568973	36.37	37	37	37	0	37	37	9333178	9728659	9787092	9333056	0	38181985
56	38181985	11	37	1388385671	36.36	37	37	37	0	37	37	9401254	9647955	9787941	9344835	0	38181985
57	38181985	11	37	1387963437	36.35	37	37	37	0	37	37	9402746	9677495	9667765	9433979	0	38181985
58	38181985	11	37	1387802155	36.35	37	37	37	0	37	37	9385365	9693926	9770934	9331760	0	38181985
59	38181985	11	37	1387777921	36.35	37	37	37	0	37	37	9459313	9608663	9791412	9322597	0	38181985
60	38181985	11	37	1387672193	36.34	37	37	37	0	37	37	9429228	9645957	9687479	9419321	0	38181985
61	38181985	11	37	1387275271	36.33	37	37	37	0	37	37	9358064	9714910	9786706	9322305	0	38181985
62	38181985	2	37	1386365625	36.31	37	37	37	0	37	37	9413167	9662022	9793220	9313554	22	38181985
63	38181985	2	37	1385536008	36.29	37	37	37	0	37	37	9456995	9609744	9686382	9428713	151	38181985
64	38181985	2	37	1385948252	36.30	37	37	37	0	37	37	9380995	9710384	9781700	9308901	5	38181985
65	38181985	2	37	1385571113	36.29	37	37	37	0	37	37	9456754	9593979	9841330	9289894	28	38181985
66	38181985	11	37	1385871899	36.30	37	37	37	0	37	37	9421111	9655586	9728453	9376835	0	38181985
67	38181985	11	37	1385961899	36.30	37	37	37	0	37	37	9397296	9744774	9765528	9274387	0	38181985
68	38181985	2	37	1385498099	36.29	37	37	37	0	37	37	9433842	9633187	9784386	9330568	2	38181985
69	38181985	11	37	1385117701	36.28	37	37	37	0	37	37	9465403	9619468	9689832	9407282	0	38181985
70	38181985	2	37	1384844219	36.27	37	37	37	0	37	37	9379811	9725917	9752842	9323391	24	38181985
71	38181985	2	37	1384898884	36.27	37	37	37	0	37	37	9443638	9597306	9789773	9351221	47	38181985
72	38181985	2	37	1384698797	36.27	37	37	37	0	37	37	9442116	9613006	9717327	9409480	56	38181985
73	38181985	2	37	1384249916	36.25	37	37	37	0	37	37	9378789	9693922	9817879	9291272	123	38181985
74	38181985	2	37	1382883372	36.22	37	37	37	0	37	37	9449048	9620883	9797186	9314485	383	38181985
75	38181985	2	37	1383304216	36.23	37	37	37	0	37	37	9417198	9666200	9714804	9383714	69	38181985
76	38181985	2	37	1383834854	36.24	37	37	37	0	37	37	9354494	9690473	9775412	9361541	65	38181985
77	38181985	2	37	1383991921	36.25	37	37	37	0	37	37	9421085	9628419	9799481	9332946	54	38181985
78	38181985	2	37	1383794376	36.24	37	37	37	0	37	37	9405327	9686104	9676268	9414219	67	38181985
79	38181985	2	37	1383610040	36.24	37	37	37	0	37	37	9319608	9701000	9776708	9384630	39	38181985
80	38181985	2	37	1383536267	36.24	37	37	37	0	37	37	9387082	9675922	9796733	9322214	34	38181985
81	38181985	2	37	1382707513	36.21	37	37	37	0	37	37	9442638	9649121	9674194	9415990	42	38181985
82	38181985	11	37	1382644423	36.21	37	37	37	0	37	37	9353223	9710270	9787016	9331476	0	38181985
83	38181985	11	37	1382986265	36.22	37	37	37	0	37	37	9424918	9613296	9793982	9349789	0	38181985
84	38181985	11	37	1383249807	36.23	37	37	37	0	37	37	9432508	9647178	9715327	9386972	0	38181985
85	38181985	11	37	1383328801	36.23	37	37	37	0	37	37	9325163	9707998	9821699	9327125	0	38181985
86	38181985	11	37	1383030235	36.22	37	37	37	0	37	37	9442057	9603822	9820016	9316090	0	38181985
87	38181985	11	37	1382912689	36.22	37	37	37	0	37	37	9396798	9650807	9713677	9420703	0	38181985
88	38181985	11	37	1382600579	36.21	37	37	37	0	37	37	9383453	9721359	9763204	9313969	0	38181985
89	38181985	11	37	1381831683	36.19	37	37	37	0	37	37	9406163	9631932	9814180	9329710	0	38181985
90	38181985	11	37	1381758831	36.19	37	37	37	0	37	37	9439940	9665810	9711428	9364807	0	38181985
91	38181985	11	37	1381323191	36.18	37	37	37	0	37	37	9364827	9722930	9790838	9303390	0	38181985
92	38181985	11	37	1381002699	36.17	37	37	37	0	37	37	9448473	9616362	9779415	9337735	0	38181985
93	38181985	2	37	1379810328	36.14	37	37	37	0	37	37	9426514	9648061	9697474	9409933	3	38181985
94	38181985	2	37	1380263699	36.15	37	37	37	0	37	37	9390408	9726812	9761935	9302828	2	38181985
95	38181985	2	37	1379674429	36.13	37	37	37	0	37	37	9441183	9617258	9844017	9279523	4	38181985
96	38181985	11	37	1379933783	36.14	37	37	37	0	37	37	9398819	9698026	9695834	9389306	0	38181985
97	38181985	11	37	1380329305	36.15	37	37	37	0	37	37	9338700	9778009	9794963	9270313	0	38181985
98	38181985	11	37	1378900691	36.11	37	37	37	0	37	37	9422527	9680049	9759668	9319741	0	38181985
99	38181985	11	37	1378968931	36.12	37	37	37	0	37	37	9411999	9676404	9677043	9416539	0	38181985
100	38181985	11	37	1378972507	36.12	37	37	37	0	37	37	9401591	9750604	9742194	9287596	0	38181985
101	38181985	2	37	1378774545	36.11	37	37	37	0	37	37	9446440	9619599	9786470	9329474	2	38181985
102	38181985	2	37	1378747648	36.11	37	37	37	0	37	37	9439978	9684549	9663297	9394156	5	38181985
103	38181985	11	37	1378236265	36.10	37	37	37	0	37	37	9387532	9752777	9708993	9332683	0	38181985
104	38181985	2	37	1377964238	36.09	37	37	37	0	37	37	9423710	9664718	9802499	9291031	27	38181985
105	38181985	2	37	1377591949	36.08	37	37	37	0	37	37	9423186	9688857	9681839	9387997	106	38181985
106	38181985	2	37	1377262699	36.07	37	37	37	0	37	37	9321663	9749363	9801924	9309005	30	38181985
107	38181985	2	37	1377516149	36.08	37	37	37	0	37	37	9428108	9649705	9791744	9312336	92	38181985
108	38181985	2	37	1375167562	36.02	37	37	37	0	37	37	9410131	9701615	9684352	9385500	387	38181985
109	38181985	2	37	1376352887	36.05	37	37	37	0	37	37	9380415	9785043	9755004	9261475	48	38181985
110	38181985	2	37	1377620140	36.08	37	37	37	0	37	37	9448331	9683487	9781677	9268423	67	38181985
111	38181985	2	37	1376813336	36.06	37	37	37	0	37	37	9429008	9701501	9663745	9387694	37	38181985
112	38181985	2	37	1376980533	36.06	37	37	37	0	37	37	9395528	9736834	9719163	9330422	38	38181985
113	38181985	2	37	1376428502	36.05	37	37	37	0	37	37	9406217	9661321	9795517	9318865	65	38181985
114	38181985	2	37	1375994604	36.04	37	37	37	0	37	37	9439476	9667155	9687348	9387937	69	38181985
115	38181985	2	37	1374980256	36.01	37	37	37	0	37	37	9371342	9733983	9787884	9288707	69	38181985
116	38181985	11	37	1374231811	35.99	37	37	37	0	37	37	9438749	9668867	9791325	9283044	0	38181985
117	38181985	2	37	1373324125	35.97	37	37	37	0	37	37	9423217	9680392	9734708	9343666	2	38181985
118	38181985	11	37	1374969209	36.01	37	37	37	0	37	37	9374041	9737074	9784385	9286485	0	38181985
119	38181985	11	37	1375138779	36.02	37	37	37	0	37	37	9450612	9639198	9811134	9281041	0	38181985
120	38181985	11	37	1374563959	36.00	37	37	37	0	37	37	9435263	9635958	9715661	9395103	0	38181985
121	38181985	11	37	1374072169	35.99	37	37	37	0	37	37	9428475	9652802	9815076	9285632	0	38181985
122	38181985	11	37	1373726931	35.98	37	37	37	0	37	37	9481737	9582908	9811666	9305674	0	38181985
123	38181985	11	37	1374352675	35.99	37	37	37	0	37	37	9503009	9626126	9730808	9322042	0	38181985
124	38181985	11	37	1374281431	35.99	37	37	37	0	37	37	9374333	9720862	9801141	9285649	0	38181985
125	38181985	2	37	1373325676	35.97	37	37	37	0	37	37	9433544	9657107	9797182	9294151	1	38181985
126	38181985	11	37	1373767067	35.98	37	37	37	0	37	37	9446275	9660719	9728816	9346175	0	38181985
127	38181985	11	37	1373527541	35.97	37	37	37	0	37	37	9382609	9707453	9800218	9291705	0	38181985
128	38181985	2	37	1372060444	35.93	37	37	37	0	37	37	9465893	9638290	9821723	9256078	1	38181985
129	38181985	2	37	1370720996	35.90	37	37	37	0	37	37	9458430	9629872	9754313	9339369	1	38181985
130	38181985	11	37	1371877103	35.93	37	37	37	0	37	37	9371462	9678388	9823539	9308596	0	38181985
131	38181985	11	37	1371602139	35.92	37	37	37	0	37	37	9426034	9586741	9851497	9317713	0	38181985
132	38181985	11	37	1371252347	35.91	37	37	37	0	37	37	9446821	9593063	9787767	9354334	0	38181985
133	38181985	11	37	1370970803	35.91	37	37	37	0	37	37	9384339	9675692	9814789	9307165	0	38181985
134	38181985	11	37	1370662837	35.90	37	37	37	0	37	37	9494596	9592858	9837659	9256872	0	38181985
135	38181985	11	37	1370282345	35.89	37	37	37	0	37	37	9433164	9623656	9768217	9356948	0	38181985
136	38181985	11	37	1370863335	35.90	37	37	37	0	37	37	9394775	9672209	9877969	9237032	0	38181985
