##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	KRAS_siRNA_P2_2.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	42632214
Total Bases	6.3 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.6031742803693	37.0	37.0	37.0	37.0	37.0
2	36.51412992531891	37.0	37.0	37.0	37.0	37.0
3	36.585065556295056	37.0	37.0	37.0	37.0	37.0
4	36.577960178188256	37.0	37.0	37.0	37.0	37.0
5	36.59946462081467	37.0	37.0	37.0	37.0	37.0
6	36.56245490792479	37.0	37.0	37.0	37.0	37.0
7	36.56077706872085	37.0	37.0	37.0	37.0	37.0
8	36.62347866803258	37.0	37.0	37.0	37.0	37.0
9	36.61270944079986	37.0	37.0	37.0	37.0	37.0
10-14	36.60967820249729	37.0	37.0	37.0	37.0	37.0
15-19	36.5815384863662	37.0	37.0	37.0	37.0	37.0
20-24	36.56082317470071	37.0	37.0	37.0	37.0	37.0
25-29	36.52712957389453	37.0	37.0	37.0	37.0	37.0
30-34	36.49871493420445	37.0	37.0	37.0	37.0	37.0
35-39	36.4680736308933	37.0	37.0	37.0	37.0	37.0
40-44	36.44467621128004	37.0	37.0	37.0	37.0	37.0
45-49	36.4208175770557	37.0	37.0	37.0	37.0	37.0
50-54	36.402509867303635	37.0	37.0	37.0	37.0	37.0
55-59	36.381111794944545	37.0	37.0	37.0	37.0	37.0
60-64	36.339568599463306	37.0	37.0	37.0	37.0	37.0
65-69	36.31557105619708	37.0	37.0	37.0	37.0	37.0
70-74	36.28085734416702	37.0	37.0	37.0	37.0	37.0
75-79	36.26413489573871	37.0	37.0	37.0	37.0	37.0
80-84	36.24602815138806	37.0	37.0	37.0	37.0	37.0
85-89	36.238771451090955	37.0	37.0	37.0	37.0	37.0
90-94	36.189327413303	37.0	37.0	37.0	37.0	37.0
95-99	36.15407003258146	37.0	37.0	37.0	37.0	37.0
100-104	36.12807577856501	37.0	37.0	37.0	37.0	37.0
105-109	36.08133686887573	37.0	37.0	37.0	37.0	37.0
110-114	36.08038603859513	37.0	37.0	37.0	37.0	37.0
115-119	36.023296857160645	37.0	37.0	37.0	37.0	37.0
120-124	36.01375354327129	37.0	37.0	37.0	37.0	37.0
125-129	35.97167451354977	37.0	37.0	37.0	37.0	37.0
130-134	35.93496824725078	37.0	37.0	37.0	37.0	37.0
135-139	35.87873793277544	37.0	37.0	37.0	37.0	37.0
140-144	35.79316857435553	37.0	37.0	37.0	37.0	37.0
145-149	35.75031651886529	37.0	37.0	37.0	37.0	37.0
150	35.68576433773765	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.0766714037868752
1101	2	-0.07597904275299783
1101	3	-0.05132055959786186
1101	4	-0.06563842483016202
1101	5	-0.08832320628665258
1101	6	-0.053641882336229685
1101	7	-0.10847311654158887
1101	8	-0.028943547166576877
1101	9	-0.10015955009931332
1101	10-14	-0.07191669968619863
1101	15-19	-0.09972012134976893
1101	20-24	-0.12618315955401727
1101	25-29	-0.1213556158902378
1101	30-34	-0.07474009878464472
1101	35-39	-0.10599190600402153
1101	40-44	-0.07834454686536674
1101	45-49	-0.09187741971360452
1101	50-54	-0.10250755519129484
1101	55-59	-0.10602550298315094
1101	60-64	-0.09012256481250347
1101	65-69	-0.09316876651543282
1101	70-74	-0.12883832159915443
1101	75-79	-0.0895776869435636
1101	80-84	-0.11492340080307173
1101	85-89	-0.09717989979539965
1101	90-94	-0.09238323190348297
1101	95-99	-0.03972315165711393
1101	100-104	-0.0990575809143337
1101	105-109	-0.10193989643085644
1101	110-114	-0.05653052833111616
1101	115-119	-0.10557027529780783
1101	120-124	-0.08861728292773563
1101	125-129	-0.06917771906798009
1101	130-134	-0.09386705166432563
1101	135-139	-0.13227784111757046
1101	140-144	-0.07677502172145267
1101	145-149	-0.05968695805648139
1101	150	-0.09211004394693845
1102	1	-0.12660215738453928
1102	2	-0.08529782244524853
1102	3	-0.1395504467355977
1102	4	-0.03163858182824697
1102	5	-0.07292853760792184
1102	6	-0.13133114830222326
1102	7	-0.11563998270811737
1102	8	-0.07253329707326372
1102	9	-0.0792647606223511
1102	10-14	-0.09699342075387563
1102	15-19	-0.1168914492530817
1102	20-24	-0.11858858917870663
1102	25-29	-0.11524065645443216
1102	30-34	-0.1353926822980256
1102	35-39	-0.15022531117524807
1102	40-44	-0.10688938675569659
1102	45-49	-0.1627898771733456
1102	50-54	-0.15403479680704635
1102	55-59	-0.14507600467540271
1102	60-64	-0.10657870162914662
1102	65-69	-0.09620370258407718
1102	70-74	-0.15764858007525362
1102	75-79	-0.1282854626543113
1102	80-84	-0.1129109644402817
1102	85-89	-0.13793581357730034
1102	90-94	-0.15532202275924334
1102	95-99	-0.09335879968267591
1102	100-104	-0.09534611396862402
1102	105-109	-0.09216979661378844
1102	110-114	-0.0626741307474461
1102	115-119	-0.09134055284201281
1102	120-124	-0.12480696817934955
1102	125-129	-0.11270527750166792
1102	130-134	-0.12507997780993207
1102	135-139	-0.07506477251677524
1102	140-144	-0.05044410015992895
1102	145-149	-0.026628422025567033
1102	150	-0.05436395261708782
1103	1	-0.13185694859168962
1103	2	-0.07109785617400632
1103	3	-0.00842997184961547
1103	4	-0.04618959870234818
1103	5	-0.07697598840473319
1103	6	-0.08638809918802082
1103	7	-0.12740330586647985
1103	8	-0.05359860667437033
1103	9	-0.055349235318260526
1103	10-14	-0.07545024894366037
1103	15-19	-0.10538056733660284
