##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	KRAS_siRNA_M2_2.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	44032049
Total Bases	6.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.57946363113831	37.0	37.0	37.0	37.0	37.0
2	36.499573503835805	37.0	37.0	37.0	37.0	37.0
3	36.56921922938449	37.0	37.0	37.0	37.0	37.0
4	36.563898695697766	37.0	37.0	37.0	37.0	37.0
5	36.58588826970101	37.0	37.0	37.0	37.0	37.0
6	36.54565639223376	37.0	37.0	37.0	37.0	37.0
7	36.54174247035381	37.0	37.0	37.0	37.0	37.0
8	36.6080444496235	37.0	37.0	37.0	37.0	37.0
9	36.59392627856133	37.0	37.0	37.0	37.0	37.0
10-14	36.59374273952139	37.0	37.0	37.0	37.0	37.0
15-19	36.565062529795064	37.0	37.0	37.0	37.0	37.0
20-24	36.544202660203254	37.0	37.0	37.0	37.0	37.0
25-29	36.511275207746976	37.0	37.0	37.0	37.0	37.0
30-34	36.48362550196108	37.0	37.0	37.0	37.0	37.0
35-39	36.45386219024239	37.0	37.0	37.0	37.0	37.0
40-44	36.43335648086693	37.0	37.0	37.0	37.0	37.0
45-49	36.41015691093549	37.0	37.0	37.0	37.0	37.0
50-54	36.39354854914883	37.0	37.0	37.0	37.0	37.0
55-59	36.37115108134078	37.0	37.0	37.0	37.0	37.0
60-64	36.33117552172055	37.0	37.0	37.0	37.0	37.0
65-69	36.30633230354554	37.0	37.0	37.0	37.0	37.0
70-74	36.272466153005965	37.0	37.0	37.0	37.0	37.0
75-79	36.25518111591854	37.0	37.0	37.0	37.0	37.0
80-84	36.23768183942564	37.0	37.0	37.0	37.0	37.0
85-89	36.22966959816019	37.0	37.0	37.0	37.0	37.0
90-94	36.18079568815887	37.0	37.0	37.0	37.0	37.0
95-99	36.1468726881186	37.0	37.0	37.0	37.0	37.0
100-104	36.12118298196843	37.0	37.0	37.0	37.0	37.0
105-109	36.07624976525621	37.0	37.0	37.0	37.0	37.0
110-114	36.07478802087997	37.0	37.0	37.0	37.0	37.0
115-119	36.017585849797726	37.0	37.0	37.0	37.0	37.0
120-124	36.00924993065846	37.0	37.0	37.0	37.0	37.0
125-129	35.9693243119347	37.0	37.0	37.0	37.0	37.0
130-134	35.93380148627651	37.0	37.0	37.0	37.0	37.0
135-139	35.87990746921634	37.0	37.0	37.0	37.0	37.0
140-144	35.796914447474386	37.0	37.0	37.0	37.0	37.0
145-149	35.75640953252027	37.0	37.0	37.0	37.0	37.0
150	35.695272890889086	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.08303236039027695
1101	2	-0.08997524130651158
1101	3	-0.051042814499290046
1101	4	-0.08311716507468958
1101	5	-0.05512894840683202
1101	6	-0.027635831731238625
1101	7	-0.10573422952126066
1101	8	-0.060339363745633534
1101	9	-0.062179013310959874
1101	10-14	-0.05335626119808978
1101	15-19	-0.08679468769769016
1101	20-24	-0.09617406461941158
1101	25-29	-0.0982271794491254
1101	30-34	-0.06152179350497278
1101	35-39	-0.08319433701390722
1101	40-44	-0.05369257389821058
1101	45-49	-0.07265394648900525
1101	50-54	-0.10818581439093578
1101	55-59	-0.08460479848697844
1101	60-64	-0.06332194226521892
1101	65-69	-0.09485504521392585
1101	70-74	-0.0874759212789229
1101	75-79	-0.08990341721818851
1101	80-84	-0.09196046256165857
1101	85-89	-0.10140203427224748
1101	90-94	-0.08975571341481725
1101	95-99	-0.05795170062610566
1101	100-104	-0.08086936193987526
1101	105-109	-0.0825531664656225
1101	110-114	-0.05206771085069306
1101	115-119	-0.10216733435563441
1101	120-124	-0.09066547725389285
1101	125-129	-0.05447157793850721
1101	130-134	-0.04963000257302497
1101	135-139	-0.11857339500391362
1101	140-144	-0.06464011422208671
1101	145-149	-0.07289024515209519
1101	150	-0.07640547891196547
1102	1	-0.09212907629535039
1102	2	-0.04727852774325925
1102	3	-0.1005042693360636
1102	4	-0.0737084652587896
1102	5	-0.1051070166282031
1102	6	-0.039186139419726373
1102	7	-0.0930097703065158
1102	8	2.6118831069510406E-4
1102	9	-0.059496543362520526
1102	10-14	-0.11457449053374091
1102	15-19	-0.11941069297991191
1102	20-24	-0.13171519700174628
1102	25-29	-0.14576679263433334
1102	30-34	-0.09520709340855404
1102	35-39	-0.07528485405661911
1102	40-44	-0.14599453620694902
1102	45-49	-0.12046115062569385
1102	50-54	-0.12358991592418533
1102	55-59	-0.1669486205142121
1102	60-64	-0.12225986245994847
1102	65-69	-0.13552758058981595
1102	70-74	-0.13853219260915495
1102	75-79	-0.1011613828509823
1102	80-84	-0.13758888857163498
1102	85-89	-0.1326018993764535
1102	90-94	-0.1336151039737885
1102	95-99	-0.14055116365046416
1102	100-104	-0.14571578509598737
1102	105-109	-0.11857555232591466
1102	110-114	-0.09283082796015663
1102	115-119	-0.10102974686623156
1102	120-124	-0.1233355728958756
1102	125-129	-0.08116451651201118
1102	130-134	-0.07131598916300419
1102	135-139	-0.10444983612979541
1102	140-144	-0.08384173519728222
1102	145-149	-0.04066945616777673
1102	150	-0.02415880860190356
1103	1	-0.1523500182773887
1103	2	-0.12185767702944617
1103	3	-0.13977525385037382
1103	4	-0.12950946840619793
1103	5	-0.12325199698625511
1103	6	-0.11908307819994945
1103	7	-0.12427957712746007
1103	8	-0.15507568399188187
1103	9	-0.08394542562791685
1103	10-14	-0.1221086363135484
1103	15-19	-0.1358086878896927
