##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_M1_1_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	40237116
Total Bases	6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.49114717863974	37.0	37.0	37.0	37.0	37.0
2	36.498233024454336	37.0	37.0	37.0	37.0	37.0
3	36.58923507340834	37.0	37.0	37.0	37.0	37.0
4	36.60989654427519	37.0	37.0	37.0	37.0	37.0
5	36.623403426826115	37.0	37.0	37.0	37.0	37.0
6	36.606178335445314	37.0	37.0	37.0	37.0	37.0
7	36.590123034662824	37.0	37.0	37.0	37.0	37.0
8	36.648356954807596	37.0	37.0	37.0	37.0	37.0
9	36.63330463346329	37.0	37.0	37.0	37.0	37.0
10-14	36.63432796724298	37.0	37.0	37.0	37.0	37.0
15-19	36.618383713186596	37.0	37.0	37.0	37.0	37.0
20-24	36.59326607801613	37.0	37.0	37.0	37.0	37.0
25-29	36.55402561157713	37.0	37.0	37.0	37.0	37.0
30-34	36.51316142041592	37.0	37.0	37.0	37.0	37.0
35-39	36.48541140970441	37.0	37.0	37.0	37.0	37.0
40-44	36.45850299012484	37.0	37.0	37.0	37.0	37.0
45-49	36.431731488906905	37.0	37.0	37.0	37.0	37.0
50-54	36.410096598374494	37.0	37.0	37.0	37.0	37.0
55-59	36.38204662580688	37.0	37.0	37.0	37.0	37.0
60-64	36.360831477086975	37.0	37.0	37.0	37.0	37.0
65-69	36.32193528979562	37.0	37.0	37.0	37.0	37.0
70-74	36.305568689366304	37.0	37.0	37.0	37.0	37.0
75-79	36.27636388254068	37.0	37.0	37.0	37.0	37.0
80-84	36.250650329909334	37.0	37.0	37.0	37.0	37.0
85-89	36.22185853479161	37.0	37.0	37.0	37.0	37.0
90-94	36.20917139787056	37.0	37.0	37.0	37.0	37.0
95-99	36.18462024962226	37.0	37.0	37.0	37.0	37.0
100-104	36.15932685632838	37.0	37.0	37.0	37.0	37.0
105-109	36.14440207891639	37.0	37.0	37.0	37.0	37.0
110-114	36.10627663274873	37.0	37.0	37.0	37.0	37.0
115-119	36.06540635765247	37.0	37.0	37.0	37.0	37.0
120-124	36.030928687831405	37.0	37.0	37.0	37.0	37.0
125-129	36.016905570468815	37.0	37.0	37.0	37.0	37.0
130-134	35.971447983498614	37.0	37.0	37.0	37.0	37.0
135-139	35.941346879831045	37.0	37.0	37.0	37.0	37.0
140-144	35.90715021424497	37.0	37.0	37.0	37.0	37.0
145-149	35.86033221168237	37.0	37.0	37.0	37.0	37.0
150	35.80881872845956	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.014402911031616838
1101	2	0.02493725589903306
1101	3	-0.03293717579592226
1101	4	-0.1135129180502048
1101	5	-0.06434912341349985
1101	6	-0.06264086772781496
1101	7	-0.04787316097488059
1101	8	-0.05168395777213419
1101	9	-0.020556601119388063
1101	10-14	-0.0504930113142521
1101	15-19	-0.06816284496571967
1101	20-24	-0.057106925808398046
1101	25-29	-0.09129205165068299
1101	30-34	-0.06193566999999689
1101	35-39	-0.059097382049834835
1101	40-44	-0.08134823882013364
1101	45-49	-0.09191788058118533
1101	50-54	-0.07137421082303774
1101	55-59	-0.07459109093247207
1101	60-64	-0.11647412551162972
1101	65-69	-0.12875647942675528
1101	70-74	-0.08627995577191427
1101	75-79	-0.13896622272362436
1101	80-84	-0.13594687254221327
1101	85-89	-0.14970865180888637
1101	90-94	-0.1695385917888359
1101	95-99	-0.11174260629451993
1101	100-104	-0.13062902605157234
1101	105-109	-0.17757199857062034
1101	110-114	-0.14510549879854295
1101	115-119	-0.2048813594560528
1101	120-124	-0.17691342581215252
1101	125-129	-0.17790724747158038
1101	130-134	-0.22070718726313743
1101	135-139	-0.13600851507409573
1101	140-144	-0.16314584815572886
1101	145-149	-0.25794042154836916
1101	150	-0.2214480108570882
1102	1	-0.10623348089963258
1102	2	-0.0061021753013150715
1102	3	-0.08790303712537906
1102	4	0.02901861312840026
1102	5	-0.05818724519317442
1102	6	-0.05118475898375152
1102	7	-0.09769638899777533
1102	8	-0.08313542960300424
1102	9	-0.08856024248128591
1102	10-14	-0.09379264787349229
1102	15-19	-0.08665454631109526
1102	20-24	-0.10919348840183574
1102	25-29	-0.11600252385574805
1102	30-34	-0.08924429997619399
1102	35-39	-0.06992617605763485
1102	40-44	-0.11494527606021876
1102	45-49	-0.12958486161346627
1102	50-54	-0.15802136974452452
1102	55-59	-0.14770552249712665
1102	60-64	-0.14904766370365508
1102	65-69	-0.18626455176889323
1102	70-74	-0.14821126075219127
1102	75-79	-0.15113307942266374
1102	80-84	-0.14427074095094383
1102	85-89	-0.19557207292054812
1102	90-94	-0.18300983688715888
1102	95-99	-0.1977230869238582
1102	100-104	-0.14624004012641478
1102	105-109	-0.11321798507738379
1102	110-114	-0.13958039412348455
1102	115-119	-0.176495371134628
1102	120-124	-0.17939770977384484
1102	125-129	-0.1396955368905779
1102	130-134	-0.22218367939113648
1102	135-139	-0.11717863102009574
1102	140-144	-0.08672059114606867
1102	145-149	-0.23127583395588402
1102	150	-0.18888340494922318
1103	1	-0.0588748564200543
1103	2	-0.0643961947405387
1103	3	-0.047406279689731434
1103	4	-0.07920654757367629
1103	5	-0.07273813981007038
1103	6	-0.0516154529143904
1103	7	-0.15011346853163587
1103	8	-0.06591385231245539
1103	9	-0.12665389654373627
1103	10-14	-0.10241135158934611
1103	15-19	-0.0930915309401712
1103	20-24	-0.12007120792976878
