##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_M2_1_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45764716
Total Bases	6.8 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.46686895205468	37.0	37.0	37.0	37.0	37.0
2	36.47922753415535	37.0	37.0	37.0	37.0	37.0
3	36.58029452209427	37.0	37.0	37.0	37.0	37.0
4	36.601871035319	37.0	37.0	37.0	37.0	37.0
5	36.616829480598106	37.0	37.0	37.0	37.0	37.0
6	36.59890069021733	37.0	37.0	37.0	37.0	37.0
7	36.58654158369518	37.0	37.0	37.0	37.0	37.0
8	36.64885773572811	37.0	37.0	37.0	37.0	37.0
9	36.633364402392445	37.0	37.0	37.0	37.0	37.0
10-14	36.63366944088542	37.0	37.0	37.0	37.0	37.0
15-19	36.617364163256255	37.0	37.0	37.0	37.0	37.0
20-24	36.592531329157595	37.0	37.0	37.0	37.0	37.0
25-29	36.55178301117394	37.0	37.0	37.0	37.0	37.0
30-34	36.50912901546248	37.0	37.0	37.0	37.0	37.0
35-39	36.48117113629635	37.0	37.0	37.0	37.0	37.0
40-44	36.45261687628522	37.0	37.0	37.0	37.0	37.0
45-49	36.426841988924394	37.0	37.0	37.0	37.0	37.0
50-54	36.40321799877443	37.0	37.0	37.0	37.0	37.0
55-59	36.37529889183624	37.0	37.0	37.0	37.0	37.0
60-64	36.35344256042144	37.0	37.0	37.0	37.0	37.0
65-69	36.31359935020683	37.0	37.0	37.0	37.0	37.0
70-74	36.295330682266226	37.0	37.0	37.0	37.0	37.0
75-79	36.264082923621764	37.0	37.0	37.0	37.0	37.0
80-84	36.23813676894663	37.0	37.0	37.0	37.0	37.0
85-89	36.20846019453065	37.0	37.0	37.0	37.0	37.0
90-94	36.19617403940625	37.0	37.0	37.0	37.0	37.0
95-99	36.16962814758863	37.0	37.0	37.0	37.0	37.0
100-104	36.14569693385621	37.0	37.0	37.0	37.0	37.0
105-109	36.1279087933158	37.0	37.0	37.0	37.0	37.0
110-114	36.08879558653876	37.0	37.0	37.0	37.0	37.0
115-119	36.04530603008659	37.0	37.0	37.0	37.0	37.0
120-124	36.010402691016374	37.0	37.0	37.0	37.0	37.0
125-129	35.99423381978379	37.0	37.0	37.0	37.0	37.0
130-134	35.94640545349391	37.0	37.0	37.0	37.0	37.0
135-139	35.915354536451176	37.0	37.0	37.0	37.0	37.0
140-144	35.87926941795072	37.0	37.0	37.0	37.0	37.0
145-149	35.83114914118553	37.0	37.0	37.0	37.0	37.0
150	35.77770496816805	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.03840158931501492
1101	2	-0.02114994265549086
1101	3	-0.034552116829743795
1101	4	-0.12893024443030754
1101	5	-0.057145872949583065
1101	6	-0.08661534324541975
1101	7	-0.02904381443594417
1101	8	-0.06906926660322199
1101	9	-0.04647390055684042
1101	10-14	-0.0617720637050283
1101	15-19	-0.043572399705787745
1101	20-24	-0.0808758420589939
1101	25-29	-0.10302187883111458
1101	30-34	-0.06605438684559317
1101	35-39	-0.05951080353167981
1101	40-44	-0.10376149820057634
1101	45-49	-0.13794160816127743
1101	50-54	-0.10068943070449166
1101	55-59	-0.09892042601123308
1101	60-64	-0.15506026804882111
1101	65-69	-0.1706168597903499
1101	70-74	-0.15038061411271286
1101	75-79	-0.15975260310680284
1101	80-84	-0.18088837115136158
1101	85-89	-0.21824764885543857
1101	90-94	-0.20041481506278558
1101	95-99	-0.21029114355265932
1101	100-104	-0.1773534972829438
1101	105-109	-0.18025648491706647
1101	110-114	-0.1794776255695396
1101	115-119	-0.24393629494946367
1101	120-124	-0.23558081893033034
1101	125-129	-0.24479412305782944
1101	130-134	-0.25852059013219986
1101	135-139	-0.1803376907429879
1101	140-144	-0.18106680775790807
1101	145-149	-0.2943723389021855
1101	150	-0.30706202470918953
1102	1	-0.047787932024206725
1102	2	-0.04117076883336068
1102	3	-0.03164046971468082
1102	4	-0.10272007634834068
1102	5	-0.026527373694335665
1102	6	-0.05719710900806518
1102	7	-0.13054609609020673
1102	8	-0.0935864251854639
1102	9	-0.03681482926238289
1102	10-14	-0.08572562433196396
1102	15-19	-0.07205261727478529
1102	20-24	-0.11739936434726417
1102	25-29	-0.1120472008342972
1102	30-34	-0.06890214725132893
1102	35-39	-0.11167980568313851
1102	40-44	-0.13735994694482656
1102	45-49	-0.15741486072149513
1102	50-54	-0.13144011904302744
1102	55-59	-0.15631782470888567
1102	60-64	-0.17152614094906937
1102	65-69	-0.1812513326733125
1102	70-74	-0.12989550342560818
1102	75-79	-0.12565449772728243
1102	80-84	-0.1939884544131658
1102	85-89	-0.19041171263994272
1102	90-94	-0.17652558583225186
1102	95-99	-0.18900671175449446
1102	100-104	-0.17668887734703986
1102	105-109	-0.20076913499651283
1102	110-114	-0.15169515322254057
1102	115-119	-0.20093045219041983
1102	120-124	-0.169510641459226
1102	125-129	-0.1391369506551854
1102	130-134	-0.26795163837859803
1102	135-139	-0.16848142842754754
1102	140-144	-0.16078267222274434
1102	145-149	-0.3059309534367003
1102	150	-0.3615946829763388
1103	1	-0.03467453323012393
1103	2	-0.011559986674889444
1103	3	0.0010118263293037444
1103	4	-0.04564010027176835
1103	5	0.005606630480428976
1103	6	-0.02722835601866791
1103	7	-0.02342256827161293
1103	8	-0.05856086416042672
1103	9	-0.10076889086473528
1103	10-14	-0.07808021851567304
1103	15-19	-0.05799143498784787
1103	20-24	-0.04019764883879162
1103	25-29	-0.10448413839797155
1103	30-34	-0.09517067600221907
1103	35-39	-0.1050590053858329
1103	40-44	-0.13787770685637213
1103	45-49	-0.11636353992101789
1103	50-54	-0.13981801223931
1103	55-59	-0.08238117371448084
1103	60-64	-0.1114023030358382
1103	65-69	-0.09422421209510645
1103	70-74	-0.13799265137120642
1103	75-79	-0.0719945509395643
1103	80-84	-0.12471026687001796
1103	85-89	-0.09036635866200982
1103	90-94	-0.13495958680610443
1103	95-99	-0.15314872867937623
1103	100-104	-0.14276745868561846
1103	105-109	-0.10337516814866632
1103	110-114	-0.1356547948775031
1103	115-119	-0.17026078075775786
1103	120-124	-0.14373654902717448
1103	125-129	-0.1747781334612526
1103	130-134	-0.24144994707420153
1103	135-139	-0.10120831777842199
1103	140-144	-0.1176390518123398
1103	145-149	-0.17213637916655955
1103	150	-0.16090401847590385
1104	1	-0.06596749640335986
1104	2	-0.06780958487034638
1104	3	-0.0886822214596279
1104	4	0.03509959099416449
1104	5	0.025666737908409232
1104	6	-0.009126362621763917
1104	7	-0.0501524584750328
1104	8	-0.09026224712275166
1104	9	-0.07845149903396731
1104	10-14	-0.06109783376471256
1104	15-19	-0.07620045968000966
1104	20-24	-0.06803628717319299
1104	25-29	-0.13106754970687717
1104	30-34	-0.11333450990757399
1104	35-39	-0.1439922119763395
1104	40-44	-0.1328648060832336
1104	45-49	-0.1354684374472228
1104	50-54	-0.1224029095980157
1104	55-59	-0.1331415823330815
1104	60-64	-0.12099209172196623
1104	65-69	-0.17720826559179415
1104	70-74	-0.15792450348062914
1104	75-79	-0.1546297794220095
1104	80-84	-0.15875339774847674
1104	85-89	-0.14917340564520032
1104	90-94	-0.17794579952042966
1104	95-99	-0.21293117875908507
1104	100-104	-0.2512975234211865
1104	105-109	-0.17252360667582423
1104	110-114	-0.20271113007128605
1104	115-119	-0.23587032969065547
1104	120-124	-0.25170268152371733
1104	125-129	-0.2143330585138088
1104	130-134	-0.22436539985205428
1104	135-139	-0.10247544535122444
1104	140-144	-0.14399932555805606
1104	145-149	-0.1728292063900838
1104	150	-0.1198454505259221
1105	1	-0.029008784781325403
1105	2	-0.04029823678978062
1105	3	-0.04472919058640912
1105	4	0.005294856810891702
1105	5	0.012619613812447028
1105	6	-0.06360397393843442
1105	7	-0.058309418026027515
1105	8	-0.09507037735034629
1105	9	-0.1152515738351525
1105	10-14	-0.08065509357896161
1105	15-19	-0.07838551591506615
1105	20-24	-0.08685504314296821
1105	25-29	-0.06815212156342199
1105	30-34	-0.12092113828598627
1105	35-39	-0.08855935351353139
1105	40-44	-0.07998880919450357
1105	45-49	-0.13469040671096622
1105	50-54	-0.1127873455292061
1105	55-59	-0.12406863325833228
1105	60-64	-0.15908403756762368
1105	65-69	-0.14161111936467563
1105	70-74	-0.1995361997265377
1105	75-79	-0.20610931731485493
1105	80-84	-0.17122761868476744
1105	85-89	-0.19558728033631212
1105	90-94	-0.18504808651834992
1105	95-99	-0.18114537384365548
1105	100-104	-0.20810691494381928
1105	105-109	-0.17114603367897985
1105	110-114	-0.17780060875922032
1105	115-119	-0.2271580252022929
1105	120-124	-0.17381726716962476
1105	125-129	-0.18416559987010572
1105	130-134	-0.281453197370368
1105	135-139	-0.17663963079316858
1105	140-144	-0.15989455858891688
1105	145-149	-0.17859721705463016
1105	150	-0.23024446785971975
1106	1	0.02354370645225856
1106	2	-0.05303269281387912
1106	3	0.002435631732140564
1106	4	-0.0792193409284252
1106	5	-0.05256847627357075
1106	6	-0.014587011343344614
1106	7	-0.08912267269796814
1106	8	-0.08527675789075317
1106	9	-0.0630440500063969
1106	10-14	-0.07704030082837221
1106	15-19	-0.07911602628939107
1106	20-24	-0.08290385436435344
1106	25-29	-0.07787615608888387
1106	30-34	-0.09689616994985784
1106	35-39	-0.09031979977339688
1106	40-44	-0.07531113755596408
1106	45-49	-0.11977032470738891
1106	50-54	-0.09029576176690313
1106	55-59	-0.07452939874330156
1106	60-64	-0.08861520954333457
1106	65-69	-0.14557925374584357
1106	70-74	-0.12784893124407404
1106	75-79	-0.17052233150006657
1106	80-84	-0.14904509267091726
1106	85-89	-0.11861286181222397
1106	90-94	-0.0987287831112269
1106	95-99	-0.12311846723100928
1106	100-104	-0.1060236197498341
1106	105-109	-0.13189073329634482
1106	110-114	-0.1653226931978935
1106	115-119	-0.17577247106090965
1106	120-124	-0.16081836586428722
1106	125-129	-0.17578465221005501
1106	130-134	-0.24418517961814246
1106	135-139	-0.1091635745540529
1106	140-144	-0.10261675087859601
1106	145-149	-0.17338259043667392
1106	150	-0.18093637887399439
1107	1	-0.057130765614552104
1107	2	-0.08084119526594691
1107	3	-0.02912787806022976
1107	4	-0.023496120244224983
1107	5	0.008474804001409098
1107	6	-0.12360218282336177
1107	7	-0.09893631198740849
1107	8	-0.07326631538882111
1107	9	-0.07683980274481428
1107	10-14	-0.10250492848126669
1107	15-19	-0.09988932654923843
1107	20-24	-0.09432023387184074
1107	25-29	-0.1295827618299299
1107	30-34	-0.09158217583915018
1107	35-39	-0.08960372838949837
1107	40-44	-0.13531714620127389
1107	45-49	-0.1363670341518386
1107	50-54	-0.16761840855047438
1107	55-59	-0.16711546741636596
1107	60-64	-0.14267521223506918
1107	65-69	-0.13761905186691337
1107	70-74	-0.19108112308542502
1107	75-79	-0.19011451228566045
1107	80-84	-0.18148096011866244
1107	85-89	-0.21940236650056022
1107	90-94	-0.17213842192306572
1107	95-99	-0.2015094677356828
1107	100-104	-0.16689158808466686
1107	105-109	-0.19514806287230613
1107	110-114	-0.21257720861471086
1107	115-119	-0.2156456699173006
1107	120-124	-0.15632426440389935
1107	125-129	-0.15981550099944286
1107	130-134	-0.20769461793838673
1107	135-139	-0.1827747158812727
1107	140-144	-0.15893004680689415
1107	145-149	-0.19842979939111416
1107	150	-0.253443369898811
1108	1	-0.05487351651633787
1108	2	-0.057123473245063394
1108	3	-0.10493378506397733
1108	4	-0.05399897525842334
1108	5	-0.005442804876061302
1108	6	-0.03255864517599605
1108	7	-0.0366108086177519
1108	8	-0.09228547443527191
1108	9	-0.09644797821789552
1108	10-14	-0.082753037203112
1108	15-19	-0.06701352979750652
1108	20-24	-0.07436255917694012
1108	25-29	-0.06925991431081258
1108	30-34	-0.07567371610956997
1108	35-39	-0.07681713338550367
1108	40-44	-0.10289495560017059
1108	45-49	-0.12622358925868582
1108	50-54	-0.10896772261108367
1108	55-59	-0.11605880356100329
1108	60-64	-0.1776758538805936
1108	65-69	-0.1725336321501061
1108	70-74	-0.16333223166569155
1108	75-79	-0.14155445940438227
1108	80-84	-0.1979321299807495
1108	85-89	-0.18570425841145521
1108	90-94	-0.189894290809562
1108	95-99	-0.217228910435594
1108	100-104	-0.21761016482582107
1108	105-109	-0.1925305877193466
1108	110-114	-0.16809728115515554
1108	115-119	-0.24026620020751466
