##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_P4_1_fastq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	46287075
Total Bases	6.9 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.0	30.0	30.0	30.0	30.0	30.0
2	30.0	30.0	30.0	30.0	30.0	30.0
3	30.0	30.0	30.0	30.0	30.0	30.0
4	30.0	30.0	30.0	30.0	30.0	30.0
5	30.0	30.0	30.0	30.0	30.0	30.0
6	30.0	30.0	30.0	30.0	30.0	30.0
7	30.0	30.0	30.0	30.0	30.0	30.0
8	30.0	30.0	30.0	30.0	30.0	30.0
9	30.0	30.0	30.0	30.0	30.0	30.0
10-14	30.0	30.0	30.0	30.0	30.0	30.0
15-19	30.0	30.0	30.0	30.0	30.0	30.0
20-24	30.0	30.0	30.0	30.0	30.0	30.0
25-29	30.0	30.0	30.0	30.0	30.0	30.0
30-34	30.0	30.0	30.0	30.0	30.0	30.0
35-39	30.0	30.0	30.0	30.0	30.0	30.0
40-44	30.0	30.0	30.0	30.0	30.0	30.0
45-49	30.0	30.0	30.0	30.0	30.0	30.0
50-54	30.0	30.0	30.0	30.0	30.0	30.0
55-59	30.0	30.0	30.0	30.0	30.0	30.0
60-64	30.0	30.0	30.0	30.0	30.0	30.0
65-69	30.0	30.0	30.0	30.0	30.0	30.0
70-74	30.0	30.0	30.0	30.0	30.0	30.0
75-79	30.0	30.0	30.0	30.0	30.0	30.0
80-84	30.0	30.0	30.0	30.0	30.0	30.0
85-89	30.0	30.0	30.0	30.0	30.0	30.0
90-94	30.0	30.0	30.0	30.0	30.0	30.0
95-99	30.0	30.0	30.0	30.0	30.0	30.0
100-104	30.0	30.0	30.0	30.0	30.0	30.0
105-109	30.0	30.0	30.0	30.0	30.0	30.0
110-114	30.0	30.0	30.0	30.0	30.0	30.0
115-119	30.0	30.0	30.0	30.0	30.0	30.0
120-124	30.0	30.0	30.0	30.0	30.0	30.0
125-129	30.0	30.0	30.0	30.0	30.0	30.0
130-134	30.0	30.0	30.0	30.0	30.0	30.0
135-139	30.0	30.0	30.0	30.0	30.0	30.0
140-144	30.0	30.0	30.0	30.0	30.0	30.0
145-149	30.0	30.0	30.0	30.0	30.0	30.0
150	30.0	30.0	30.0	30.0	30.0	30.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.0
1101	2	0.0
1101	3	0.0
1101	4	0.0
1101	5	0.0
1101	6	0.0
1101	7	0.0
1101	8	0.0
1101	9	0.0
1101	10-14	0.0
1101	15-19	0.0
1101	20-24	0.0
1101	25-29	0.0
1101	30-34	0.0
1101	35-39	0.0
1101	40-44	0.0
1101	45-49	0.0
1101	50-54	0.0
1101	55-59	0.0
1101	60-64	0.0
1101	65-69	0.0
1101	70-74	0.0
1101	75-79	0.0
1101	80-84	0.0
1101	85-89	0.0
1101	90-94	0.0
1101	95-99	0.0
1101	100-104	0.0
1101	105-109	0.0
1101	110-114	0.0
1101	115-119	0.0
1101	120-124	0.0
1101	125-129	0.0
1101	130-134	0.0
1101	135-139	0.0
1101	140-144	0.0
1101	145-149	0.0
1101	150	0.0
1102	1	0.0
1102	2	0.0
1102	3	0.0
1102	4	0.0
1102	5	0.0
1102	6	0.0
1102	7	0.0
1102	8	0.0
1102	9	0.0
1102	10-14	0.0
1102	15-19	0.0
1102	20-24	0.0
1102	25-29	0.0
1102	30-34	0.0
1102	35-39	0.0
1102	40-44	0.0
1102	45-49	0.0
1102	50-54	0.0
1102	55-59	0.0
1102	60-64	0.0
1102	65-69	0.0
1102	70-74	0.0
1102	75-79	0.0
1102	80-84	0.0
1102	85-89	0.0
1102	90-94	0.0
1102	95-99	0.0
1102	100-104	0.0
1102	105-109	0.0
1102	110-114	0.0
1102	115-119	0.0
1102	120-124	0.0
1102	125-129	0.0
1102	130-134	0.0
1102	135-139	0.0
1102	140-144	0.0
1102	145-149	0.0
1102	150	0.0
1103	1	0.0
1103	2	0.0
1103	3	0.0
1103	4	0.0
1103	5	0.0
1103	6	0.0
1103	7	0.0
1103	8	0.0
1103	9	0.0
1103	10-14	0.0
1103	15-19	0.0
1103	20-24	0.0
1103	25-29	0.0
1103	30-34	0.0
1103	35-39	0.0
1103	40-44	0.0
1103	45-49	0.0
1103	50-54	0.0
1103	55-59	0.0
1103	60-64	0.0
1103	65-69	0.0
1103	70-74	0.0
1103	75-79	0.0
1103	80-84	0.0
1103	85-89	0.0
1103	90-94	0.0
1103	95-99	0.0
1103	100-104	0.0
1103	105-109	0.0
1103	110-114	0.0
1103	115-119	0.0
1103	120-124	0.0
1103	125-129	0.0
1103	130-134	0.0
1103	135-139	0.0
1103	140-144	0.0
1103	145-149	0.0
1103	150	0.0
1104	1	0.0
1104	2	0.0
1104	3	0.0
1104	4	0.0
1104	5	0.0
1104	6	0.0
1104	7	0.0
1104	8	0.0
1104	9	0.0
1104	10-14	0.0
