##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_P5_2_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45023981
Total Bases	6.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.41781905069656	37.0	37.0	37.0	37.0	37.0
2	36.30362124131138	37.0	37.0	37.0	37.0	37.0
3	36.41838172861702	37.0	37.0	37.0	37.0	37.0
4	36.406442624431634	37.0	37.0	37.0	37.0	37.0
5	36.44813933712348	37.0	37.0	37.0	37.0	37.0
6	36.422507218986254	37.0	37.0	37.0	37.0	37.0
7	36.427094552123236	37.0	37.0	37.0	37.0	37.0
8	36.50974539545937	37.0	37.0	37.0	37.0	37.0
9	36.48823614686582	37.0	37.0	37.0	37.0	37.0
10-14	36.48335656946905	37.0	37.0	37.0	37.0	37.0
15-19	36.45333713160549	37.0	37.0	37.0	37.0	37.0
20-24	36.430338254629234	37.0	37.0	37.0	37.0	37.0
25-29	36.39352822221562	37.0	37.0	37.0	37.0	37.0
30-34	36.36697715379722	37.0	37.0	37.0	37.0	37.0
35-39	36.34849761952414	37.0	37.0	37.0	37.0	37.0
40-44	36.319574561831836	37.0	37.0	37.0	37.0	37.0
45-49	36.29171450210056	37.0	37.0	37.0	37.0	37.0
50-54	36.26395576170842	37.0	37.0	37.0	37.0	37.0
55-59	36.23074070238258	37.0	37.0	37.0	37.0	37.0
60-64	36.21276907077586	37.0	37.0	37.0	37.0	37.0
65-69	36.19802950343285	37.0	37.0	37.0	37.0	37.0
70-74	36.16093489378471	37.0	37.0	37.0	37.0	37.0
75-79	36.112723368464465	37.0	37.0	37.0	37.0	37.0
80-84	36.080252783511085	37.0	37.0	37.0	37.0	37.0
85-89	36.046773385054514	37.0	37.0	37.0	37.0	37.0
90-94	36.022976693242654	37.0	37.0	37.0	37.0	37.0
95-99	36.01184236018579	37.0	37.0	37.0	37.0	37.0
100-104	35.98858934308807	37.0	37.0	37.0	37.0	37.0
105-109	35.93807815439511	37.0	37.0	37.0	37.0	37.0
110-114	35.914827718144245	37.0	37.0	37.0	37.0	37.0
115-119	35.86329322145014	37.0	37.0	37.0	37.0	37.0
120-124	35.78301428298844	37.0	37.0	37.0	37.0	37.0
125-129	35.78311636636485	37.0	37.0	37.0	37.0	37.0
130-134	35.744191860777484	37.0	37.0	37.0	37.0	37.0
135-139	35.73353025801961	37.0	37.0	37.0	37.0	37.0
140-144	35.67329614855692	37.0	37.0	37.0	37.0	37.0
145-149	35.59566928122148	37.0	37.0	37.0	37.0	37.0
150	35.58635428084425	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.27595657729265355
1101	2	-0.9701296342479182
1101	3	-0.2613963070798775
1101	4	-0.12194117375526758
1101	5	-0.4558827174511393
1101	6	-0.2814061967350199
1101	7	-0.4621353827332868
1101	8	-0.6627565979958376
1101	9	-0.1367332581020193
1101	10-14	-0.9386299112362622
1101	15-19	-1.278852472855526
1101	20-24	-0.6810058834629586
1101	25-29	-0.9680611337562368
1101	30-34	-1.2090922416518168
1101	35-39	-0.6312201777919668
1101	40-44	-1.1358780170332778
1101	45-49	-0.775403020636233
1101	50-54	-0.674425675692703
1101	55-59	-0.7749891637011004
1101	60-64	-0.7121719558426491
1101	65-69	-0.7612890853462346
1101	70-74	-0.6939641861998922
1101	75-79	-0.9347454671650581
1101	80-84	-0.6143526468499445
1101	85-89	-0.560699054236224
1101	90-94	-1.02906932970064
1101	95-99	-0.5630059960296379
1101	100-104	-0.8664395941676517
1101	105-109	-1.257803946757491
1101	110-114	-0.6929229248277977
1101	115-119	-0.6138870172881212
1101	120-124	-0.6823479091757179
1101	125-129	-0.6965433393812646
1101	130-134	-0.6692407726503262
1101	135-139	-1.2567067064164803
1101	140-144	-0.658370315939365
1101	145-149	-1.205460172080734
1101	150	-0.4393089390623075
1102	1	-0.7187768800560903
1102	2	-1.0274365388393178
1102	3	-0.7067864332121729
1102	4	-0.6211571304439971
1102	5	-0.4426122667646908
1102	6	-1.328559338888688
1102	7	-1.3801076716807827
1102	8	-1.0238693721199752
1102	9	-0.3555020827199584
1102	10-14	-0.7236014816570062
1102	15-19	-0.805790955766561
1102	20-24	-0.8322973946969654
1102	25-29	-0.6839761668830135
1102	30-34	-0.8317552782994895
1102	35-39	-0.7803498824154147
1102	40-44	-1.1768504552606132
1102	45-49	-1.0546249202488553
1102	50-54	-0.9881822221345615
1102	55-59	-1.2317194408984165
1102	60-64	-1.0379389325516684
1102	65-69	-0.843057171672065
1102	70-74	-0.9025613474158263
1102	75-79	-0.7571719153047667
1102	80-84	-0.952274728755917
1102	85-89	-0.9092722636255175
1102	90-94	-1.371501169623869
1102	95-99	-0.9014490702915197
1102	100-104	-0.7202826972154668
1102	105-109	-0.9999873296138162
1102	110-114	-1.1217070025298455
1102	115-119	-0.8881623912420551
1102	120-124	-0.8275823083667717
1102	125-129	-0.8767858591314592
1102	130-134	-0.9811986202951033
1102	135-139	-0.9588117927633419
1102	140-144	-1.061888736217341
1102	145-149	-1.2875708345475942
1102	150	-1.8638016285498367
1103	1	-0.4820711447760573
1103	2	-0.6788570278878012
1103	3	-0.17503327335274577
1103	4	-1.2249596660235085
1103	5	-0.18787391188865854
1103	6	-0.40600178032519807
1103	7	-0.7768369511338662
1103	8	-0.4115007452911925
1103	9	-0.305026422277173
1103	10-14	-0.6454431116834414
1103	15-19	-0.6964342849286638
1103	20-24	-0.9727758184980644
1103	25-29	-0.6107707296233116
1103	30-34	-0.6955493381858489
1103	35-39	-0.4749581500128457
1103	40-44	-0.9397472936887965
1103	45-49	-0.9652056545376126
1103	50-54	-0.8220698722293136
1103	55-59	-1.1213198920523197
1103	60-64	-1.1128244730766639
1103	65-69	-0.640792809695995
1103	70-74	-0.8399481620689073
1103	75-79	-0.8697154909207896
1103	80-84	-0.890648172420633
1103	85-89	-0.813712102892346
1103	90-94	-0.7921072476236546
1103	95-99	-0.6574514502712745
1103	100-104	-0.6343581662071642
1103	105-109	-0.6976430937140563
1103	110-114	-0.6474256419931592
1103	115-119	-0.8537839015508624
1103	120-124	-0.7979448387268988
1103	125-129	-0.8258848279976476
1103	130-134	-1.012257954417251
1103	135-139	-0.7909825180538377
1103	140-144	-0.800701220671094
1103	145-149	-0.6605366732747768
1103	150	-1.5959762317793107
1104	1	-0.20895149427313697
1104	2	-0.5341721025316488
1104	3	-0.41874338784079157
1104	4	-1.174452791690058
1104	5	-0.2971796329828038
1104	6	-1.3153028911662403
1104	7	-0.31971517260017634
1104	8	-0.7590517131769872
1104	9	-0.5500354423315841
1104	10-14	-0.35846888590742765
1104	15-19	-0.6841932649966083
