##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR24828472_2_fastq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43166706
Total Bases	6.4 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.56348531666975	37.0	37.0	37.0	37.0	37.0
2	36.59323261774943	37.0	37.0	37.0	37.0	37.0
3	36.636025343235595	37.0	37.0	37.0	37.0	37.0
4	36.590912195153365	37.0	37.0	37.0	37.0	37.0
5	36.62667100426889	37.0	37.0	37.0	37.0	37.0
6	36.589746250269826	37.0	37.0	37.0	37.0	37.0
7	36.60850332198153	37.0	37.0	37.0	37.0	37.0
8	36.658838295421475	37.0	37.0	37.0	37.0	37.0
9	36.657188945573004	37.0	37.0	37.0	37.0	37.0
10-14	36.643547895454425	37.0	37.0	37.0	37.0	37.0
15-19	36.62751187917837	37.0	37.0	37.0	37.0	37.0
20-24	36.60758847339429	37.0	37.0	37.0	37.0	37.0
25-29	36.57833273171226	37.0	37.0	37.0	37.0	37.0
30-34	36.550686966941605	37.0	37.0	37.0	37.0	37.0
35-39	36.52421078411682	37.0	37.0	37.0	37.0	37.0
40-44	36.503631507115685	37.0	37.0	37.0	37.0	37.0
45-49	36.47787684795777	37.0	37.0	37.0	37.0	37.0
50-54	36.45046684822326	37.0	37.0	37.0	37.0	37.0
55-59	36.42966014131353	37.0	37.0	37.0	37.0	37.0
60-64	36.403954334620764	37.0	37.0	37.0	37.0	37.0
65-69	36.36297596114931	37.0	37.0	37.0	37.0	37.0
70-74	36.33457674996096	37.0	37.0	37.0	37.0	37.0
75-79	36.320837031206416	37.0	37.0	37.0	37.0	37.0
80-84	36.28981728186533	37.0	37.0	37.0	37.0	37.0
85-89	36.26092359699626	37.0	37.0	37.0	37.0	37.0
90-94	36.21216765995534	37.0	37.0	37.0	37.0	37.0
95-99	36.19513270713776	37.0	37.0	37.0	37.0	37.0
100-104	36.14865745836617	37.0	37.0	37.0	37.0	37.0
105-109	36.135113353333004	37.0	37.0	37.0	37.0	37.0
110-114	36.08427475564154	37.0	37.0	37.0	37.0	37.0
115-119	36.051799954344446	37.0	37.0	37.0	37.0	37.0
120-124	35.9946927152607	37.0	37.0	37.0	37.0	37.0
125-129	35.96893808853518	37.0	37.0	37.0	37.0	37.0
130-134	35.92963569191497	37.0	37.0	37.0	37.0	37.0
135-139	35.842474975968756	37.0	37.0	37.0	37.0	37.0
140-144	35.759731970282836	37.0	37.0	37.0	37.0	37.0
145-149	35.7253861343972	37.0	37.0	37.0	37.0	37.0
150	35.693520904745434	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.005066381811040799
1101	2	0.02593243472342266
1101	3	0.06754856387389907
1101	4	0.023715115128410957
1101	5	0.05006142399933111
1101	6	0.04381551351581692
1101	7	0.03417373130177026
1101	8	0.06615401119162811
1101	9	0.03837037131079768
1101	10-14	0.022323442251405368
1101	15-19	0.03643785809978084
1101	20-24	0.030228063896892365
1101	25-29	0.04348754863601556
1101	30-34	0.030781188122830372
1101	35-39	0.042975920271537404
1101	40-44	0.03949227074630812
1101	45-49	0.055520435237220056
1101	50-54	0.030713774883722067
1101	55-59	0.038242188117315834
1101	60-64	0.022695260180036314
1101	65-69	0.0799505311490023
1101	70-74	0.05599087324341667
1101	75-79	0.036329755912348105
1101	80-84	0.03743611256768986
1101	85-89	0.04032817502715602
1101	90-94	0.03393941225838404
1101	95-99	0.018702800740683756
1101	100-104	0.01834286103173355
1101	105-109	0.021450514946693033
1101	110-114	0.07034966774003948
1101	115-119	0.06911605592610925
1101	120-124	0.044499915751963215
1101	125-129	0.11433347860239707
1101	130-134	0.07623220724421031
1101	135-139	0.08542833649310921
1101	140-144	0.09966918212651876
1101	145-149	0.1405703646314791
1101	150	0.08637932722741226
1102	1	0.04251426498473876
1102	2	-0.0041515838264558624
1102	3	-0.03338613658214484
1102	4	0.023867190302595986
1102	5	-0.027192404171707096
1102	6	0.05024541312098307
1102	7	-0.0021249665897400405
1102	8	-0.011416150456653895
1102	9	0.013926645993741715
1102	10-14	-0.021155924234896872
1102	15-19	0.034799369141047976
1102	20-24	-0.018518625433543434
1102	25-29	0.015531834872433592
1102	30-34	0.021240530364487142
1102	35-39	-0.0075272834859916316
1102	40-44	-0.02621778835199251
1102	45-49	0.0011027471356754859
1102	50-54	-0.010672066158640803
1102	55-59	-0.020244005199892
1102	60-64	-0.05047739097013704
1102	65-69	0.01870108259885228
1102	70-74	0.00430759495936428
1102	75-79	0.0026672416433370927
1102	80-84	-0.014725147469590638
1102	85-89	-0.007185932968511111
1102	90-94	0.006210980281117884
1102	95-99	0.008213671762327124
1102	100-104	0.006175509430008219
1102	105-109	-0.022126426916820208
1102	110-114	-0.02475186546506336
1102	115-119	0.014590163174126758
1102	120-124	0.0017043943692129915
1102	125-129	0.017906103449625732
1102	130-134	-0.013819376258524585
1102	135-139	0.0019720886761049883
1102	140-144	0.07295833641694571
1102	145-149	0.06449106664993565
1102	150	0.015933661167203184
1103	1	-0.06237975343059787
1103	2	-0.11653336994258723
1103	3	-0.1394771192907811
1103	4	-0.07633197709631645
1103	5	-0.07852823924791608
1103	6	-0.10105196634443558
1103	7	-0.10813844416774288
1103	8	-0.06364569986676827
1103	9	-0.07845857885577345
1103	10-14	-0.09797785753357147
1103	15-19	-0.045593810526241896
1103	20-24	-0.0827052625393776
1103	25-29	-0.08653326409211815
1103	30-34	-0.0559849403752537
1103	35-39	-0.119644150532622
1103	40-44	-0.11532052541154059
1103	45-49	-0.09773396915308297
1103	50-54	-0.12795888770293118
1103	55-59	-0.11962793740635647
1103	60-64	-0.12765405426439713
1103	65-69	-0.06745446396227806
1103	70-74	-0.0707157323032277
1103	75-79	-0.09068367931657662
1103	80-84	-0.11118208208525004
1103	85-89	-0.09558651511815697
1103	90-94	-0.14812907837928435
1103	95-99	-0.07333545683946596
1103	100-104	-0.07146322698098118
1103	105-109	-0.11949432298510487
1103	110-114	-0.127698289820799
1103	115-119	-0.08356193039981008
1103	120-124	-0.16643257531083577
1103	125-129	-0.09122122738354932
1103	130-134	-0.13397249788901888
1103	135-139	-0.14355721049043524
1103	140-144	-0.1194873186780967
1103	145-149	-0.056580725372619156
1103	150	-0.04514917162453713
1104	1	0.133752810525948
1104	2	0.02442329039747193
1104	3	0.0704399483995104
1104	4	0.04391448937818865
1104	5	0.019924236648115823
1104	6	0.04499338448280099
1104	7	0.04132314263308956
1104	8	0.08751173620495223
1104	9	0.0575304543555859
1104	10-14	0.030150368830490493
1104	15-19	0.030379238472789893
1104	20-24	0.033799654539429014
1104	25-29	0.024925518104325306
1104	30-34	0.004679914570942856
1104	35-39	0.05812809964069032
1104	40-44	0.015714628849828216
1104	45-49	0.015344451937757242
1104	50-54	0.0345536178172452
1104	55-59	0.06063824200784751
1104	60-64	0.02319589410777212
1104	65-69	0.032623460425980966
1104	70-74	0.017808164960229078
1104	75-79	0.03806257759744369
1104	80-84	-0.01608732519918732
1104	85-89	0.05783031324196486
1104	90-94	0.0024252661083394855
1104	95-99	0.043238802540550125
1104	100-104	0.06314639360477514
1104	105-109	0.03731288081997519
1104	110-114	0.02002653996129311
1104	115-119	0.05249452060829185
1104	120-124	0.04012285219167211
1104	125-129	0.12419898485681813
1104	130-134	-0.003673743229839488
1104	135-139	0.008659412693461377
1104	140-144	0.055701260205864855
1104	145-149	0.09961202024391724
1104	150	0.11060241742976729
1105	1	-0.0074113432809141955
1105	2	-0.002195027673216998
1105	3	-0.02840668004552782
1105	4	0.04559090799659771
1105	5	0.058073691343167866
1105	6	0.04115969491588345
1105	7	0.04720186128940185
1105	8	-0.0038557160355452424
1105	9	0.03259418164924455
1105	10-14	0.061478906261626776
1105	15-19	0.01928268591555593
1105	20-24	0.024238183776034816
1105	25-29	0.03586331436934387
1105	30-34	0.04022820081359413
1105	35-39	0.008968164017694846
1105	40-44	0.034637463362955145
1105	45-49	0.005956613176152814
1105	50-54	0.04260500477788298
1105	55-59	0.012183660016759745
1105	60-64	-6.492707711203138E-5
1105	65-69	0.03655668478409524
1105	70-74	0.0690042558253765
1105	75-79	0.03149285937256252
1105	80-84	-0.0015903483735826285
1105	85-89	0.018594667993994562
1105	90-94	0.05335124972360461
1105	95-99	0.031835393049014726
1105	100-104	0.0240843217466562
1105	105-109	-0.012166448830605248
1105	110-114	0.03536313278257808
1105	115-119	0.0574225477873469
1105	120-124	0.026103169951596783
1105	125-129	0.07937061203730877
1105	130-134	0.046765315858671386
1105	135-139	0.02970790873753515
1105	140-144	0.0782745164816987
1105	145-149	0.09825108623691392
1105	150	0.07101934406480126
1106	1	0.05103153108149883
1106	2	6.363850419504047E-4
1106	3	-0.026293412111620285
1106	4	0.020217676186661038
1106	5	0.016499739892559262
1106	6	0.03294455207286262
1106	7	0.01014037263075096
1106	8	0.0616009958354482
1106	9	0.003351483990257975
1106	10-14	0.014173424468282292
1106	15-19	0.00527663651456578
1106	20-24	0.008478327527491558
1106	25-29	0.0028883722275878654
1106	30-34	0.011036934664979015
1106	35-39	0.019729175458131465
1106	40-44	0.028037639795471136
1106	45-49	-0.007157791810513459
1106	50-54	-0.010337277500845232
1106	55-59	-0.04227432942638387
1106	60-64	-0.04639087799909447
1106	65-69	0.03574090670625907
1106	70-74	-0.006740130333689365
1106	75-79	-0.02639547576889356
1106	80-84	0.004281483454505519
1106	85-89	0.04011748593428166
1106	90-94	-0.03015615548925865
1106	95-99	0.022839666758407873
1106	100-104	0.00922444331300909
1106	105-109	-0.00944988981008521
1106	110-114	0.0034889356821707906
1106	115-119	0.01545305133145547
1106	120-124	0.019616922094357392
1106	125-129	0.05538212049293634
1106	130-134	-0.01507670842620712
1106	135-139	0.023813868249689563
1106	140-144	0.031604946768446496
1106	145-149	0.05688494565026048
1106	150	0.06922566057041735
1107	1	0.12695352510900904
1107	2	0.09866352684735347
1107	3	0.07566993597364302
1107	4	0.061317256937684306
1107	5	-0.00723520869865979
1107	6	0.047108438062032576
1107	7	0.0437234123763659
1107	8	0.0388820322695409
1107	9	0.013103658233177384
1107	10-14	0.04632164977816444
1107	15-19	0.05286479237267372
1107	20-24	0.05397230136979658
1107	25-29	0.056596644729047796
1107	30-34	0.07967717433837151
1107	35-39	0.07153346813034744
1107	40-44	0.07334644621497688
1107	45-49	0.04228359998467113
1107	50-54	0.015224672644976067
1107	55-59	0.02942434275956174
1107	60-64	0.0409431248490435
1107	65-69	0.090063531104839
1107	70-74	0.07758755913047821
1107	75-79	0.06824144026114709
1107	80-84	0.12520225550289865
1107	85-89	0.11223290136697983
1107	90-94	0.0920769300645432
1107	95-99	0.08616348726302192
1107	100-104	0.08105521977496721
1107	105-109	0.05172998376839644
1107	110-114	0.027332481330638814
1107	115-119	0.1052456039135592
1107	120-124	0.13009356620986523
1107	125-129	0.14674682467784095
1107	130-134	0.08227732508969865
1107	135-139	0.0957181033134944
1107	140-144	0.140581184664768
1107	145-149	0.1527671965113413
1107	150	0.19156692361782746
1108	1	0.11567443637451902
1108	2	0.08480780866758408
1108	3	0.016454602258761497
1108	4	0.041841558954203606
1108	5	0.004818212459923643
1108	6	0.06057121494774975
1108	7	0.029734042298734664
1108	8	0.04179290931828206
1108	9	0.03210438518635783
1108	10-14	0.04996042287730518
1108	15-19	0.054518681572183425
1108	20-24	0.04303264602669543
1108	25-29	0.07156047150110112
1108	30-34	0.04015449311630448
1108	35-39	0.023188865922705304
1108	40-44	0.07706946479613208
1108	45-49	0.015249286097407833
1108	50-54	0.04287713245276592
1108	55-59	0.042736024642593406
1108	60-64	0.03778087851656409
1108	65-69	0.0738999487248293
1108	70-74	0.08507281970689462
1108	75-79	0.06709655971813078
1108	80-84	0.08247027870882562
1108	85-89	0.08031607386232054
1108	90-94	0.059320382064420585
1108	95-99	0.066498295874446
1108	100-104	0.03996810419506858
1108	105-109	0.0711637240132248
1108	110-114	0.0467866347224728
1108	115-119	0.12471286320578656
1108	120-124	0.11416664433328805
1108	125-129	0.155302761886432
1108	130-134	0.07721741038176333
1108	135-139	0.07915811459021427
1108	140-144	0.09708164054266177
1108	145-149	0.15335116337509191
1108	150	0.07562119147414137
1109	1	0.04132834503477767
1109	2	0.04647471866101682
1109	3	0.017629774476482396
1109	4	0.04235014390661718
1109	5	0.004293779251199226
1109	6	0.013966775899184825
1109	7	-0.0494006236968616
1109	8	-0.0028045641815168665
1109	9	-0.002435688810592751
1109	10-14	0.0035733450652486454
1109	15-19	-0.011035949768562148
1109	20-24	0.033062363908520354
1109	25-29	0.005738196728835021
1109	30-34	-0.017447099009132216
1109	35-39	0.009346326513380632
1109	40-44	0.010928880197177193
1109	45-49	0.003316077372986115
1109	50-54	-0.01718838327831662
1109	55-59	-0.010271974404595596
1109	60-64	-0.02467008793891523
1109	65-69	0.03115955468915388
1109	70-74	0.02008997424371728
1109	75-79	0.012994406660482127
1109	80-84	0.017829851631937288
1109	85-89	0.012394097229361023
1109	90-94	0.010470677322238942
1109	95-99	0.037849547022240415
1109	100-104	0.029425748049213496
1109	105-109	-0.006026649083544555
1109	110-114	0.004152808204203495
1109	115-119	0.0901877730148044
1109	120-124	0.03811489641469734
1109	125-129	0.13740297281232472
1109	130-134	0.008581109614517857
1109	135-139	0.06018948069070973
1109	140-144	0.058463474022630635
1109	145-149	0.15600857978274263
1109	150	0.062430159474111235
1110	1	0.058841997453313866
1110	2	-0.02105214917682474
1110	3	-0.04616900951749159
1110	4	-0.03961515530781412
1110	5	-0.057251764036095665
1110	6	-0.009759002275785633
1110	7	0.07036376224774443
1110	8	-0.012852793432486465
1110	9	-9.483097703366639E-4
1110	10-14	0.007077622034195485
1110	15-19	0.021241153673962287
1110	20-24	0.012489295058529137
1110	25-29	-0.02909281578317291
1110	30-34	0.0015596731903215755
1110	35-39	-0.014069943729765555
