##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR24828471_2_ENA_repair_fastq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	37886040
Total Bases	5.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.60319363016034	37.0	37.0	37.0	37.0	37.0
2	36.52341796608989	37.0	37.0	37.0	37.0	37.0
3	36.58579709043225	37.0	37.0	37.0	37.0	37.0
4	36.57844198021224	37.0	37.0	37.0	37.0	37.0
5	36.59926484794927	37.0	37.0	37.0	37.0	37.0
6	36.55784104118562	37.0	37.0	37.0	37.0	37.0
7	36.54849115927661	37.0	37.0	37.0	37.0	37.0
8	36.61250069946608	37.0	37.0	37.0	37.0	37.0
9	36.60023180042042	37.0	37.0	37.0	37.0	37.0
10-14	36.601468129157865	37.0	37.0	37.0	37.0	37.0
15-19	36.576262887332646	37.0	37.0	37.0	37.0	37.0
20-24	36.55691323769916	37.0	37.0	37.0	37.0	37.0
25-29	36.52427639309888	37.0	37.0	37.0	37.0	37.0
30-34	36.498505386152786	37.0	37.0	37.0	37.0	37.0
35-39	36.469524980705295	37.0	37.0	37.0	37.0	37.0
40-44	36.44861499908674	37.0	37.0	37.0	37.0	37.0
45-49	36.42652531644901	37.0	37.0	37.0	37.0	37.0
50-54	36.410099582854265	37.0	37.0	37.0	37.0	37.0
55-59	36.38881715798221	37.0	37.0	37.0	37.0	37.0
60-64	36.34989859589443	37.0	37.0	37.0	37.0	37.0
65-69	36.32565709691486	37.0	37.0	37.0	37.0	37.0
70-74	36.29309297039226	37.0	37.0	37.0	37.0	37.0
75-79	36.27730003452459	37.0	37.0	37.0	37.0	37.0
80-84	36.25995363463693	37.0	37.0	37.0	37.0	37.0
85-89	36.25268532683807	37.0	37.0	37.0	37.0	37.0
90-94	36.2052765292968	37.0	37.0	37.0	37.0	37.0
95-99	36.17228926538641	37.0	37.0	37.0	37.0	37.0
100-104	36.14719889964747	37.0	37.0	37.0	37.0	37.0
105-109	36.103070856706054	37.0	37.0	37.0	37.0	37.0
110-114	36.10321334190641	37.0	37.0	37.0	37.0	37.0
115-119	36.047766776364064	37.0	37.0	37.0	37.0	37.0
120-124	36.039013969261504	37.0	37.0	37.0	37.0	37.0
125-129	35.999979570311396	37.0	37.0	37.0	37.0	37.0
130-134	35.96659347875893	37.0	37.0	37.0	37.0	37.0
135-139	35.91512427268725	37.0	37.0	37.0	37.0	37.0
140-144	35.833520103974976	37.0	37.0	37.0	37.0	37.0
145-149	35.79405631731371	37.0	37.0	37.0	37.0	37.0
150	35.73086345260682	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.029858649976837626
1101	2	-0.10450698304956774
1101	3	-0.0734171715540839
1101	4	-0.05862400544686608
1101	5	-0.0852839668738099
1101	6	-0.07157123121362474
1101	7	-0.08865894265802154
1101	8	-0.05551174709101048
1101	9	-0.09037408878648279
1101	10-14	-0.08775354147689995
1101	15-19	-0.08678944781748754
1101	20-24	-0.09533572647365673
1101	25-29	-0.11025241770833816
1101	30-34	-0.062418115291471565
1101	35-39	-0.09242931125364606
1101	40-44	-0.09324908858452119
1101	45-49	-0.09548860816622096
1101	50-54	-0.10837514855268182
1101	55-59	-0.11714392160154574
1101	60-64	-0.08259162698112021
1101	65-69	-0.09028703075320266
1101	70-74	-0.1036779887614685
1101	75-79	-0.11203799601415199
1101	80-84	-0.1310520353989375
1101	85-89	-0.11255887541265963
1101	90-94	-0.09895711115972006
1101	95-99	-0.06395783851570513
1101	100-104	-0.06220117586181573
1101	105-109	-0.0765073089684023
1101	110-114	-0.07052485073051429
1101	115-119	-0.10786584715504688
1101	120-124	-0.09259948717068767
1101	125-129	-0.07883822148768616
1101	130-134	-0.07863878805750346
1101	135-139	-0.1499265184423706
1101	140-144	-0.08712016832529201
1101	145-149	-0.08669579772139713
1101	150	-0.06909892583741595
1102	1	-0.10170192994878846
1102	2	-0.16135368497257474
1102	3	-0.04015055793218636
1102	4	-0.11504847805493768
1102	5	-0.13613290061660166
1102	6	-0.09991255536069588
1102	7	-0.12340622721890071
1102	8	-0.12893311991552991
1102	9	-0.027848181740999678
1102	10-14	-0.12506209840554305
1102	15-19	-0.09165584247107006
1102	20-24	-0.13793065839178098
1102	25-29	-0.11580118712335974
1102	30-34	-0.12785980589012524
1102	35-39	-0.11266687857515478
1102	40-44	-0.11193949539944725
1102	45-49	-0.10391517217249202
1102	50-54	-0.14132739247278892
1102	55-59	-0.14910461452468127
1102	60-64	-0.10365537680489467
1102	65-69	-0.10629374560555505
1102	70-74	-0.13061748315341504
1102	75-79	-0.13358422037686069
1102	80-84	-0.14827954988568592
1102	85-89	-0.1695554111219053
1102	90-94	-0.164438709713707
1102	95-99	-0.08751799568431551
1102	100-104	-0.11383493729144334
1102	105-109	-0.11316558604637805
1102	110-114	-0.061451139198780425
1102	115-119	-0.11886212608470714
1102	120-124	-0.09124678466192648
1102	125-129	-0.1065835864967255
1102	130-134	-0.11364010063883967
1102	135-139	-0.12932207308907806
1102	140-144	-0.10032750840397853
1102	145-149	-0.10990554060318658
1102	150	-0.2437860372634688
1103	1	-0.1257335588928825
1103	2	-0.11776557642708241
1103	3	-0.14170723847574607
1103	4	-0.0368325527405986
1103	5	-0.10845568394639571
1103	6	-0.12352650009836452
1103	7	-0.1723087697314014
1103	8	-0.0940976088985579
1103	9	-0.11925424479254332
1103	10-14	-0.05701946409703851
1103	15-19	-0.10607837143619037
1103	20-24	-0.13990276794415024
1103	25-29	-0.13067110948513516
1103	30-34	-0.0978603028438556
1103	35-39	-0.083422529128093
1103	40-44	-0.09308378807494933
1103	45-49	-0.10395021551279626
1103	50-54	-0.11541374034363372
1103	55-59	-0.10325608223971017
1103	60-64	-0.07928780444005668
1103	65-69	-0.11036837455127113
1103	70-74	-0.09577006145197942
1103	75-79	-0.08156895147358512
1103	80-84	-0.07617226621855622
1103	85-89	-0.05183803842984247
1103	90-94	-0.07526896544501938
1103	95-99	-0.11905066850132329
1103	100-104	-0.07182606126573177
1103	105-109	-0.07397137220826977
1103	110-114	-0.06424054857468064
1103	115-119	-0.051834290193951915
1103	120-124	-0.07844356861507862
1103	125-129	-0.05109276096475668
1103	130-134	-0.07259786713432703
1103	135-139	-0.06823155134708259
1103	140-144	0.03215192878512596
1103	145-149	-6.227285581132946E-4
1103	150	-0.003027688575883758
1104	1	-0.10362505703127312
1104	2	-0.04223298817183263
1104	3	-0.08254249715221107
1104	4	-0.046477630721049934
1104	5	-0.1045442400092611
1104	6	-0.07637854625475171
1104	7	-0.1112176051391387
1104	8	-0.049746938295868404
1104	9	-0.0577956988073538
1104	10-14	-0.09655191625510184
1104	15-19	-0.08885205909746219
1104	20-24	-0.08326551879232369
1104	25-29	-0.10939498773648637
1104	30-34	-0.06578927091393894
1104	35-39	-0.14228191589145922
1104	40-44	-0.09358305412226287
1104	45-49	-0.13718587751220213
1104	50-54	-0.12369082557395927
1104	55-59	-0.11557112238298117
1104	60-64	-0.07393143503772848
1104	65-69	-0.0969965829614381
1104	70-74	-0.1285600861763001
1104	75-79	-0.11830484948278297
1104	80-84	-0.12394983156950445
1104	85-89	-0.18015295003687015
1104	90-94	-0.14075496201666482
1104	95-99	-0.12858090097908104
1104	100-104	-0.11878439716439004
1104	105-109	-0.16819834018978952
1104	110-114	-0.1091698752500605
1104	115-119	-0.1084133199938293
1104	120-124	-0.14546632924928815
1104	125-129	-0.15185846965845684
1104	130-134	-0.11335613908890707
1104	135-139	-0.14323319855509453
1104	140-144	-0.09335732852388645
1104	145-149	-0.10387839468362614
1104	150	-0.15416374903760044
1105	1	-0.06750189273313367
1105	2	-0.07896899806081592
1105	3	-0.100636600866288
1105	4	-0.03945196321466682
1105	5	-0.04400742455455031
1105	6	-0.040521846802263894
1105	7	-0.05016327114343966
1105	8	0.006281274473025178
1105	9	-0.05330916973422006
1105	10-14	-0.053393709894955066
1105	15-19	-0.0742114932215614
1105	20-24	-0.07772478628083945
1105	25-29	-0.07761210809776742
1105	30-34	-0.06650807657536717
1105	35-39	-0.07584521409567202
1105	40-44	-0.0459328137453241
1105	45-49	-0.04486502490006217
1105	50-54	-0.06858682420000406
1105	55-59	-0.08779211343300375
1105	60-64	-0.0633398830803813
1105	65-69	-0.052851739952934906
1105	70-74	-0.029965037974065467
1105	75-79	-0.04943029214115313
1105	80-84	-3.248409827563137E-4
1105	85-89	-0.04507918412847545
