##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	37886040
Total Bases	5.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.492253162378546	37.0	37.0	37.0	37.0	37.0
2	36.49378570576392	37.0	37.0	37.0	37.0	37.0
3	36.58419475880826	37.0	37.0	37.0	37.0	37.0
4	36.606470932301185	37.0	37.0	37.0	37.0	37.0
5	36.62039334277217	37.0	37.0	37.0	37.0	37.0
6	36.60475615820498	37.0	37.0	37.0	37.0	37.0
7	36.58738522157502	37.0	37.0	37.0	37.0	37.0
8	36.645983797726025	37.0	37.0	37.0	37.0	37.0
9	36.63037973881673	37.0	37.0	37.0	37.0	37.0
10-14	36.63085913439356	37.0	37.0	37.0	37.0	37.0
15-19	36.615723860292604	37.0	37.0	37.0	37.0	37.0
20-24	36.589963010121934	37.0	37.0	37.0	37.0	37.0
25-29	36.54966861672532	37.0	37.0	37.0	37.0	37.0
30-34	36.508951677187696	37.0	37.0	37.0	37.0	37.0
35-39	36.48093219560556	37.0	37.0	37.0	37.0	37.0
40-44	36.45355776428469	37.0	37.0	37.0	37.0	37.0
45-49	36.42836317545988	37.0	37.0	37.0	37.0	37.0
50-54	36.40558877095627	37.0	37.0	37.0	37.0	37.0
55-59	36.37821913295768	37.0	37.0	37.0	37.0	37.0
60-64	36.356241275150424	37.0	37.0	37.0	37.0	37.0
65-69	36.31686018385664	37.0	37.0	37.0	37.0	37.0
70-74	36.29969218213358	37.0	37.0	37.0	37.0	37.0
75-79	36.270551569918624	37.0	37.0	37.0	37.0	37.0
80-84	36.24485884510496	37.0	37.0	37.0	37.0	37.0
85-89	36.214357752882066	37.0	37.0	37.0	37.0	37.0
90-94	36.20053674651666	37.0	37.0	37.0	37.0	37.0
95-99	36.17521242125068	37.0	37.0	37.0	37.0	37.0
100-104	36.15040806587334	37.0	37.0	37.0	37.0	37.0
105-109	36.13360467338366	37.0	37.0	37.0	37.0	37.0
110-114	36.095499978356145	37.0	37.0	37.0	37.0	37.0
115-119	36.054238035962584	37.0	37.0	37.0	37.0	37.0
120-124	36.01960358485606	37.0	37.0	37.0	37.0	37.0
125-129	36.00219813947301	37.0	37.0	37.0	37.0	37.0
130-134	35.95743185088755	37.0	37.0	37.0	37.0	37.0
135-139	35.926607119667295	37.0	37.0	37.0	37.0	37.0
140-144	35.89092968280665	37.0	37.0	37.0	37.0	37.0
145-149	35.841448612734396	37.0	37.0	37.0	37.0	37.0
150	35.78784301552762	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.04757030496865866
1101	2	-0.03209177954412468
1101	3	-0.02758454319126713
1101	4	-0.14017676802144052
1101	5	-0.09969226607449855
1101	6	-0.11975636102256715
1101	7	0.004865930509339478
1101	8	-0.05622298210737142
1101	9	-0.05025443997040924
1101	10-14	-0.06999100135524117
1101	15-19	-0.07475151081513332
1101	20-24	-0.07718444545288605
1101	25-29	-0.08705964911899855
1101	30-34	-0.05960698375518092
1101	35-39	-0.08065307160331514
1101	40-44	-0.10173007778394094
1101	45-49	-0.10772629899177844
1101	50-54	-0.10328721629850435
1101	55-59	-0.10130625949777539
1101	60-64	-0.11724593264629846
1101	65-69	-0.1320221039301117
1101	70-74	-0.14279643174193524
1101	75-79	-0.13601057219139534
1101	80-84	-0.15980129333485849
1101	85-89	-0.22293360559680053
1101	90-94	-0.2085445785347062
1101	95-99	-0.1615884405718262
1101	100-104	-0.15808548009115952
1101	105-109	-0.21105952701028485
1101	110-114	-0.18618776881418597
1101	115-119	-0.25232796453461503
1101	120-124	-0.20613814607337133
1101	125-129	-0.20471178639009224
1101	130-134	-0.2850703257796212
1101	135-139	-0.1703638793534452
1101	140-144	-0.16599725590635472
1101	145-149	-0.2736048284602788
1101	150	-0.2657114301355108
1102	1	-0.026982297976822167
1102	2	-0.03265100366564866
1102	3	-0.08536573905617217
1102	4	-0.05420733596174898
1102	5	-0.05796621680013203
1102	6	-0.07081220591347659
1102	7	-0.05023481740564506
1102	8	-0.1543698741477968
1102	9	-0.07293511434124156
1102	10-14	-0.10449371579171185
1102	15-19	-0.07169981379291102
1102	20-24	-0.07776804282126903
1102	25-29	-0.12187706831961265
1102	30-34	-0.08756265114934791
1102	35-39	-0.051648750466775084
1102	40-44	-0.05769468240758613
1102	45-49	-0.10160292304783525
1102	50-54	-0.12290274546322166
1102	55-59	-0.1449562418029231
1102	60-64	-0.13165451690282737
1102	65-69	-0.16262089028355575
1102	70-74	-0.12320758572353441
1102	75-79	-0.15365559466010836
1102	80-84	-0.13444666411610484
1102	85-89	-0.11530664755721887
1102	90-94	-0.15780115896868097
1102	95-99	-0.17191710271308835
1102	100-104	-0.1271282531848641
1102	105-109	-0.11820218289816609
1102	110-114	-0.18529383264549182
1102	115-119	-0.21785068945244745
1102	120-124	-0.1898293420616426
1102	125-129	-0.18294595404726977
1102	130-134	-0.2438757716798179
1102	135-139	-0.15292042734222377
1102	140-144	-0.14085234525200008
1102	145-149	-0.2667566923689151
1102	150	-0.20461951375305887
1103	1	0.017689048157393472
1103	2	-0.0700673993034755
1103	3	0.03583789907725077
1103	4	-0.05579029563449467
1103	5	0.026450219080146553
1103	6	-0.05408350105591353
1103	7	-0.05081151330075073
1103	8	-0.11875942591174038
1103	9	-0.0929071850015788
1103	10-14	-0.07357394356937164
1103	15-19	-0.07628309108390852
1103	20-24	-0.08102299520823664
1103	25-29	-0.12651433531178213
1103	30-34	-0.08405804703511421
1103	35-39	-0.10937087122761824
1103	40-44	-0.1204366570100035
1103	45-49	-0.13118625435553355
1103	50-54	-0.14785435999565522
1103	55-59	-0.14030611883388389
1103	60-64	-0.16400675824515787
1103	65-69	-0.11439910685707133
1103	70-74	-0.12720927860721076
1103	75-79	-0.1620443086248855
1103	80-84	-0.19560446366982376
1103	85-89	-0.14439000020152548
1103	90-94	-0.18372042883562756
1103	95-99	-0.15800468054441552
1103	100-104	-0.12914762735806562
1103	105-109	-0.15464280043879342
1103	110-114	-0.1501163148321254
1103	115-119	-0.1693090190721307
1103	120-124	-0.2069021063505545
1103	125-129	-0.13799527400390588
1103	130-134	-0.2579031819188984
1103	135-139	-0.15849677482955116
1103	140-144	-0.17978591496245855
1103	145-149	-0.18653245280265196
1103	150	-0.26867073860896085
1104	1	-0.01589981844468724
1104	2	-0.11457354203918158
1104	3	-0.05634661198281066
1104	4	-0.05705459529026058
1104	5	-0.042507443893534
1104	6	-0.07914860627739984
1104	7	-0.04355907246252144
1104	8	-0.07774786197144579
1104	9	-0.06479866045710025
1104	10-14	-0.05629292232200811
1104	15-19	-0.04920701491700896
1104	20-24	-0.06779221542537073
1104	25-29	-0.1164996076519671
1104	30-34	-0.09770945893540528
1104	35-39	-0.09021157379152811
1104	40-44	-0.07581935473707091
1104	45-49	-0.09759854890008768
1104	50-54	-0.09735949550416478
1104	55-59	-0.08908532167161809
1104	60-64	-0.11474219611625358
1104	65-69	-0.13434471658866443
1104	70-74	-0.09764470319262841
1104	75-79	-0.14485226361344417
1104	80-84	-0.17353679096412122
1104	85-89	-0.15432142234150348
1104	90-94	-0.15931042634051096
1104	95-99	-0.14610268456036124
1104	100-104	-0.15536386094404264
1104	105-109	-0.0972967927849524
1104	110-114	-0.1095904612273273
1104	115-119	-0.15714671021576976
1104	120-124	-0.1560005164977838
1104	125-129	-0.20594422459738126
1104	130-134	-0.2423948535271947
1104	135-139	-0.11615216055165689
1104	140-144	-0.1387188050078123
1104	145-149	-0.1401677598692217
1104	150	-0.17689769200863026
1105	1	0.0089210168383147
1105	2	-0.1338790698438217
1105	3	0.04952684659090778
1105	4	-0.03085967761843733
1105	5	-0.012150438876297187
1105	6	-0.0225364522367002
1105	7	-0.042379345541377234
1105	8	-0.06287724598104205
1105	9	-0.003614442094153958
1105	10-14	-0.06917937626410264
1105	15-19	-0.05190811175347676
1105	20-24	-0.04081883949982057
1105	25-29	-0.016277693817265515
1105	30-34	0.01610161691699119
1105	35-39	-0.04087815315077847
1105	40-44	-0.053074354292569126
1105	45-49	-0.056507872854645314
1105	50-54	-0.07554833001135819
1105	55-59	-0.0827138810500685
1105	60-64	-0.10524428399062913
1105	65-69	-0.0978697810076028
1105	70-74	-0.10697698246610088
1105	75-79	-0.10419334204806319
1105	80-84	-0.10691395746732013
1105	85-89	-0.09281556183099582
1105	90-94	-0.11242854957734494
1105	95-99	-0.07053262173603514
1105	100-104	-0.12454457525556961
1105	105-109	-0.089917826340141
1105	110-114	-0.1040286780266868
1105	115-119	-0.140236775064416
1105	120-124	-0.09967328703430667
1105	125-129	-0.11532399578688768
1105	130-134	-0.14054467426993966
1105	135-139	-0.008786162354297744
1105	140-144	-0.02165880293907918
1105	145-149	-0.09843744705854363
1105	150	-0.13741345004441996
1106	1	-0.03783803964848431
1106	2	-0.09399467782978377
1106	3	-0.036241633609122914
1106	4	-0.10648663568028383
1106	5	-0.030856980049470906
1106	6	-0.048797404219158125
1106	7	-0.018344112247092426
1106	8	-0.10743479318618654
1106	9	-0.10655996696182513
1106	10-14	-0.12235619847419343
1106	15-19	-0.09111468073384543
1106	20-24	-0.08690821000347881
1106	25-29	-0.08081258774273437
1106	30-34	-0.15106600289418282
1106	35-39	-0.09496208837366282
1106	40-44	-0.1459831568529637
1106	45-49	-0.12725980962397898
1106	50-54	-0.1137578211343353
1106	55-59	-0.11622685490466012
1106	60-64	-0.18056130785028301
1106	65-69	-0.11977012123719533
1106	70-74	-0.145797720754814
1106	75-79	-0.18760748436292118
1106	80-84	-0.1705885163332681
1106	85-89	-0.18722276525920734
1106	90-94	-0.2090302281096612
1106	95-99	-0.1991048524842256
1106	100-104	-0.21624542257806922
1106	105-109	-0.17064890737823646
1106	110-114	-0.1956379465441742
1106	115-119	-0.194757811122102
1106	120-124	-0.20888070939624725
1106	125-129	-0.23360141850458405
1106	130-134	-0.2427700499915204
1106	135-139	-0.14221033476077594
1106	140-144	-0.19305377516988642
1106	145-149	-0.21766343467287186
1106	150	-0.257476639285386
1107	1	-0.03147236738571735
1107	2	-0.08762940465621938
1107	3	-0.0878927554189346
1107	4	-0.05930990242092804
1107	5	-0.04607152408374304
1107	6	-0.03469818146532333
1107	7	-0.04795945743963159
1107	8	-0.10085647289542266
1107	9	-0.08026969994254785
1107	10-14	-0.09771142943275635
1107	15-19	-0.1019076490216193
1107	20-24	-0.09079862463254784
1107	25-29	-0.08841631451749521
1107	30-34	-0.12356966171070383
1107	35-39	-0.13919749433019746
1107	40-44	-0.13045934529569791
1107	45-49	-0.12514852133944032
1107	50-54	-0.1269221508344316
1107	55-59	-0.13894303869666658
1107	60-64	-0.14543313070948471
1107	65-69	-0.16767843820953487
1107	70-74	-0.1494248961484672
1107	75-79	-0.16613482260491708
1107	80-84	-0.17138738648513652
1107	85-89	-0.1667787426077112
1107	90-94	-0.15310105633215443
1107	95-99	-0.1752739327425914
1107	100-104	-0.17237740483483321
1107	105-109	-0.23072542741088142
1107	110-114	-0.19284289873561278
1107	115-119	-0.2197039191144512
1107	120-124	-0.17170140001611145
1107	125-129	-0.18553860080047713
1107	130-134	-0.25828206181148516
1107	135-139	-0.1846363101996289
1107	140-144	-0.17369439714241963
1107	145-149	-0.26276651375911797
1107	150	-0.20413530820451342
1108	1	-0.05242216046950432
1108	2	-0.08125073304312735
1108	3	-0.1419386597532153
1108	4	-0.04854568541321669
1108	5	-0.05226797655277693
1108	6	-0.0339830597969879
1108	7	-0.10962998766628829
1108	8	-0.10738197481184386
1108	9	-0.10582050972102053
1108	10-14	-0.10639706618734124
1108	15-19	-0.0841315271744989
1108	20-24	-0.05855913699619464
1108	25-29	-0.08535678230788335
1108	30-34	-0.03982163626612589
1108	35-39	-0.07763915340579075
1108	40-44	-0.0873822188228317
1108	45-49	-0.11092344931395814
1108	50-54	-0.11942720835047993
1108	55-59	-0.07183805119042574
1108	60-64	-0.1115262410864517
1108	65-69	-0.09318312564511189
1108	70-74	-0.08258158574943764
1108	75-79	-0.10181734063445447
1108	80-84	-0.11384714795433837
1108	85-89	-0.15042525215793745
1108	90-94	-0.11903203240145643
1108	95-99	-0.11439159880180938
1108	100-104	-0.07945768692395916
1108	105-109	-0.13858121922033462
1108	110-114	-0.13480146074012112
1108	115-119	-0.1339282199302687
1108	120-124	-0.0680972435633862
1108	125-129	-0.12860897334648058
1108	130-134	-0.15870045472743755
1108	135-139	-0.07652967828079937
1108	140-144	-0.07687701908493239
1108	145-149	-0.1748668831885638
1108	150	-0.08316229536720954
1109	1	0.030938481001655305
1109	2	6.346688066258821E-4
1109	3	-0.11956759317537546
1109	4	-0.05074534091055227
1109	5	0.002397513763341408
1109	6	-0.054122061219409545
1109	7	-0.08622661346077365
1109	8	-0.023298117822463382
1109	9	-0.03612654091831757
1109	10-14	-0.049406843100868514
1109	15-19	-0.04493576683791645
1109	20-24	-0.06336452900300316
1109	25-29	-0.050041658400964195
1109	30-34	-0.06810506472780276
1109	35-39	-0.07191320707378424
1109	40-44	-0.09626714653128943
1109	45-49	-0.1023329693509325
1109	50-54	-0.11271576834135288
