Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Control_siRNA_M1_1_gz	62.19633293220663	52.0	150.0	150	18.181818181818183	40.237116
Control_siRNA_M1_2_gz	61.89231441842558	52.0	150.0	150	18.181818181818183	40.237116
Control_siRNA_M2_1_gz	63.391554636232286	51.0	150.0	150	18.181818181818183	45.764716
Control_siRNA_M2_2_gz	62.900224776683345	51.0	150.0	150	18.181818181818183	45.764716
Control_siRNA_M3_1_gz	61.64546962758296	50.0	150.0	150	18.181818181818183	38.181985
Control_siRNA_M3_2_gz	61.01332973449266	50.0	150.0	150	18.181818181818183	38.181985
Control_siRNA_P1_1_gz	63.89121837936095	51.0	150.0	150	18.181818181818183	45.946458
Control_siRNA_P1_2_fastq_gz	63.403244642593535	51.0	150.0	150	18.181818181818183	45.946458
Control_siRNA_P2_1_fastq_gz	61.3413234104396	51.0	150.0	150	18.181818181818183	39.989452
Control_siRNA_P2_2_fastq_gz	60.865930978850166	50.0	150.0	150	18.181818181818183	39.989452
Control_siRNA_P3_1_fastq_gz	64.83113461319522	51.0	150.0	150	18.181818181818183	47.8409
Control_siRNA_P3_2_fastq_gz	64.46280982920715	51.0	150.0	150	18.181818181818183	47.8409
Control_siRNA_P4_1_fastq_gz	65.23605827486783	50.0	150.0	150	18.181818181818183	46.287074999999994
Control_siRNA_P4_2_fastq_gz	64.7315545560167	50.0	150.0	150	18.181818181818183	46.287074999999994
Control_siRNA_P5_1_gz	62.916152549557175	50.0	150.0	150	18.181818181818183	45.023981
Control_siRNA_P5_2_gz	56.97037447359174	50.0	150.0	150	18.181818181818183	45.023981
KRAS_siRNA_M1_1	63.76968854416349	52.0	150.0	150	18.181818181818183	45.292677999999995
KRAS_siRNA_M1_2	63.76968854416349	52.0	150.0	150	18.181818181818183	45.292677999999995
KRAS_siRNA_M2_1	63.03091604696836	52.0	150.0	150	18.181818181818183	44.032049
KRAS_siRNA_M2_2	62.66643798047692	52.0	150.0	150	18.181818181818183	44.032049
KRAS_siRNA_M3_1	62.5709156051618	51.0	150.0	150	18.181818181818183	42.961282999999995
KRAS_siRNA_M3_2	61.58730596971366	51.0	150.0	150	18.181818181818183	42.961282999999995
KRAS_siRNA_P1_1	61.5971078457789	51.0	150.0	150	18.181818181818183	39.963282
KRAS_siRNA_P1_2	61.2788885719732	51.0	150.0	150	18.181818181818183	39.963282
KRAS_siRNA_P2_1	62.668162185059636	51.0	150.0	150	18.181818181818183	42.632214
KRAS_siRNA_P2_2	62.241719437336336	51.0	150.0	150	18.181818181818183	42.632214
KRAS_siRNA_P3_1_fastq_gz	63.733820804245475	51.0	150.0	150	18.181818181818183	42.073243999999995
KRAS_siRNA_P3_2_fastq_gz	63.286623825938605	51.0	150.0	150	18.181818181818183	42.073243999999995
KRAS_siRNA_P4_1_fastq_gz	63.36638647495229	51.0	150.0	150	18.181818181818183	40.452535999999995
KRAS_siRNA_P4_2_fastq_gz	62.84532015937453	51.0	150.0	150	18.181818181818183	40.452535999999995
KRAS_siRNA_P5_1	62.818512881210864	51.0	150.0	150	18.181818181818183	37.88604
KRAS_siRNA_P5_2	62.34379181780329	51.0	150.0	150	18.181818181818183	37.88604
SRR24828472_1_fastq_gz	67.3319633402563	50.0	150.0	150	18.181818181818183	43.166706
SRR24828472_2_fastq_gz	66.58229851964285	50.0	150.0	150	18.181818181818183	43.166706
