Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Control_siRNA_M1_1_gz - illumina_universal_adapter	(1, 3.727901373448336e-05)	(2, 0.00011183704120345007)	(3, 0.00040261334833242027)	(4, 0.0008648731186400139)	(5, 0.0010065333708310505)	(6, 0.0012152958477441573)	(7, 0.001337073959276803)	(8, 0.001473763676303242)	(9, 0.0016825261532163488)	(10, 0.002275262471594634)	(12, 0.002657993679268663)	(14, 0.003115282914411659)	(16, 0.0037192029369102894)	(18, 0.004505790126707888)	(20, 0.005477529751386755)	(22, 0.006584716459300911)	(24, 0.007959069432312196)	(26, 0.009441531545153484)	(28, 0.011002279586837187)	(30, 0.0126562251628571)	(32, 0.014435676751783106)	(34, 0.016380398634931986)	(36, 0.018316422081542823)	(38, 0.020220137049583774)	(40, 0.022183498439599894)	(42, 0.02429846115213625)	(44, 0.026281704682810766)	(46, 0.028365601550568387)	(48, 0.030587430769143595)	(50, 0.03274464303057903)	(52, 0.03495156064366045)	(54, 0.037183330932564845)	(56, 0.03934675636295604)	(58, 0.04160089406010113)	(60, 0.04394450139020898)	(62, 0.046419827902178676)	(64, 0.04902190306084561)	(66, 0.05163143402225945)	(68, 0.05443357322130145)	(70, 0.057567495642580346)	(72, 0.061434572000637414)	(74, 0.06571917331252071)	(76, 0.0703206462411471)	(78, 0.07544775326342971)	(80, 0.08155654098072038)	(82, 0.08898997631937636)	(84, 0.09778036775796756)	(86, 0.1075151608778323)	(88, 0.11850377149296684)	(90, 0.13104194644566475)	(92, 0.14578579637765293)	(94, 0.16261230054360754)	(96, 0.18159850223857993)	(98, 0.20190935155491763)	(100, 0.22521743357550777)	(102, 0.25132516952755757)	(104, 0.2802859926640866)	(106, 0.3111691702755237)	(108, 0.3445500418071713)	(110, 0.3810548946897685)	(112, 0.4208017791334747)	(114, 0.4646841488341262)	(116, 0.5119713351225271)	(118, 0.5617872811759173)	(120, 0.6153597091799522)	(122, 0.6733869793252578)	(124, 0.7370458658120527)	(126, 0.8054454002120828)	(128, 0.8774274478319968)	(130, 0.9552051394538317)	(132, 1.0388418494009362)	(134, 1.1298523482647216)	(136, 1.2293301537813992)	(138, 1.3348844385367977)
Control_siRNA_M1_1_gz - polya	(1, 0.00199318460100371)	(2, 0.006737560415612292)	(3, 0.008551805750690481)	(4, 0.010654342125315344)	(5, 0.01258539503676158)	(6, 0.014079040853723215)	(7, 0.01602997590582784)	(8, 0.022660669815401283)	(9, 0.03187355674298327)	(10, 0.04059436068927008)	(12, 0.046465805352451206)	(14, 0.05717730863215942)	(16, 0.07012555273593665)	(18, 0.07929867538220184)	(20, 0.08972561552373684)	(22, 0.10038244291663448)	(24, 0.10904111517336382)	(26, 0.118937450686078)	(28, 0.12827584362656608)	(30, 0.13684753151791496)	(32, 0.1456776872378229)	(34, 0.1537473510775474)	(36, 0.16092107595385316)	(38, 0.16845392199580111)	(40, 0.17656832065200698)	(42, 0.18373086182419235)	(44, 0.19111334917741124)	(46, 0.1992948500583392)	(48, 0.20656425773656342)	(50, 0.21377898952797708)	(52, 0.22244636022124448)	(54, 0.23296401262953337)	(56, 0.24164008175933882)	(58, 0.24938666081336444)	(60, 0.25778065207257894)	(62, 0.2663262446543137)	(64, 0.27423560873497993)	(66, 0.2823636763628884)	(68, 0.29049422925837926)	(70, 0.29877886874397264)	(72, 0.30690817900567224)	(74, 0.3145329799481653)	(76, 0.32346130373757404)	(78, 0.33255241255362333)	(80, 0.34010886863760315)	(82, 0.34890423061135895)	(84, 0.3601202432102738)	(86, 0.3715760841308805)	(88, 0.38148111808013274)	(90, 0.3913575714521885)	(92, 0.39985967185123306)	(94, 0.4094030993672608)	(96, 0.41773744420450015)	(98, 0.4251621811066181)	(100, 0.4331374047782152)	(102, 0.44154879291050586)	(104, 0.44932146727414557)	(106, 0.4569462682166386)	(108, 0.4655651761920512)	(110, 0.47329187310541837)	(112, 0.4803164819267862)	(114, 0.4879686208126845)	(116, 0.49580715476725523)	(118, 0.5048224629220444)	(120, 0.5132413068570819)	(122, 0.5212401405707109)	(124, 0.5303846826397797)	(126, 0.5402387686035948)	(128, 0.549569705741336)	(130, 0.5600836302482515)	(132, 0.5701154128442009)	(134, 0.5792065216602502)	(136, 0.5870549966851502)	(138, 0.594371624447438)
Control_siRNA_M1_1_gz - polyg	(1, 0.0)	(2, 0.0)	(3, 9.444016812735783e-05)	(4, 0.00016899819559632455)	(5, 0.00026343836372368237)	(6, 0.0005268767274473647)	(7, 0.0008474762455639216)	(8, 0.0013072507482892164)	(9, 0.002070227896054976)	(10, 0.0028356903114030337)	(12, 0.0038074299360819)	(14, 0.0048002943352103075)	(16, 0.0058030998046679095)	(18, 0.00665181868402298)	(20, 0.0076173451397460986)	(22, 0.008551805750690481)	(24, 0.009503663234710958)	(26, 0.010397116930547408)	(28, 0.011539097384613749)	(30, 0.012712143683458823)	(32, 0.01395229220702597)	(34, 0.015335343616575303)	(36, 0.016766857743979464)	(38, 0.018284113602972937)	(40, 0.019910721235587563)	(42, 0.021459042939359768)	(44, 0.023360272639818422)	(46, 0.02549138959163972)	(48, 0.027396347193471816)	(50, 0.02929136372497472)	(52, 0.03138892956443499)	(54, 0.03350016437559789)	(56, 0.035738147833458044)	(58, 0.03809542413526854)	(60, 0.040825490574423876)	(62, 0.043477271084736785)	(64, 0.04605822146895419)	(66, 0.04879947161222986)	(68, 0.05151089854451796)	(70, 0.05483494393584272)	(72, 0.05798999113157116)	(74, 0.06133143339597202)	(76, 0.06435476140983862)	(78, 0.06738430259266097)	(80, 0.07061266518206723)	(82, 0.0737279480964789)	(84, 0.07691778903835951)	(86, 0.08029153978133025)	(88, 0.08385417086055572)	(90, 0.08777592310542337)	(92, 0.0916243599566132)	(94, 0.09593008604294603)	(96, 0.1006595502520608)	(98, 0.10579162780950802)	(100, 0.11084044890294821)	(102, 0.11589299789776186)	(104, 0.12171473720929701)	(106, 0.12756381446423742)	(108, 0.1335818899147742)	(110, 0.13968197919552683)	(112, 0.14602189679797128)	(114, 0.15269111235507038)	(116, 0.15962128100831086)	(118, 0.16675399896950865)	(120, 0.1742793892087097)	(122, 0.18204336513581143)	(124, 0.18928916277200383)	(126, 0.1965312325068228)	(128, 0.20388141138147176)	(130, 0.21203308905141213)	(132, 0.22073649612462284)	(134, 0.2291665237637807)	(136, 0.23744867798179176)	(138, 0.24568734001711257)
Control_siRNA_M1_2_gz - illumina_universal_adapter	(1, 3.727901373448336e-05)	(2, 0.00011183704120345007)	(3, 0.0004125544186616158)	(4, 0.0008797847241338072)	(5, 0.001023930243907143)	(6, 0.0012302074532379507)	(7, 0.0013495002971882974)	(8, 0.0014886752817970354)	(9, 0.001699923026292441)	(10, 0.002298872513626474)	(12, 0.0026865742564651006)	(14, 0.0031575324633107403)	(16, 0.003760209852018221)	(18, 0.004565436548683062)	(20, 0.005606763665666297)	(22, 0.006783537865884821)	(24, 0.008348013808941974)	(26, 0.010077760046222)	(28, 0.011905674353002833)	(30, 0.013823058292746429)	(32, 0.015979027920390715)	(34, 0.01827665780022604)	(36, 0.020592927186928605)	(38, 0.022843336982700253)	(40, 0.02522919386170719)	(42, 0.02773061568329102)	(44, 0.03008043618235462)	(46, 0.03248741783581109)	(48, 0.035055941882117)	(50, 0.037617010125676004)	(52, 0.04027003326978007)	(54, 0.04298767337102391)	(56, 0.045553712149747516)	(58, 0.04823904377242146)	(60, 0.0509492280709184)	(62, 0.05381846949468247)	(64, 0.05681943010030838)	(66, 0.05985891235345993)	(68, 0.06297792316924503)	(70, 0.06642871720726704)	(72, 0.07055426139388321)	(74, 0.07513958008322466)	(76, 0.08010141681128438)	(78, 0.08542610260635976)	(80, 0.09178217444808917)	(82, 0.09959088519167228)	(84, 0.10874909623244369)	(86, 0.11879703306767811)	(88, 0.1299906782583523)	(90, 0.14280720318026768)	(92, 0.15775360242021322)	(94, 0.17476277375346683)	(96, 0.1939975022066691)	(98, 0.21450593029579954)	(100, 0.23802898796225852)	(102, 0.2644772055730833)	(104, 0.2937785103683872)	(106, 0.32486920782294637)	(108, 0.3584687829018362)	(110, 0.39515008978277666)	(112, 0.435172838928118)	(114, 0.47935841127380996)	(116, 0.5270022334602709)	(118, 0.5772829245515508)	(120, 0.6312107458198545)	(122, 0.6896070782011315)	(124, 0.753569167332967)	(126, 0.8222408385332587)	(128, 0.8944651997424468)	(130, 0.9725088149955876)	(132, 1.0565245282489928)	(134, 1.1475101744369551)	(136, 1.2472004703319195)	(138, 1.352763453523856)
Control_siRNA_M1_2_gz - polya	(1, 0.0024827823147165915)	(2, 0.008037355361154611)	(3, 0.010184626552260852)	(4, 0.012749422697193308)	(5, 0.015035868872908286)	(6, 0.016869996348644868)	(7, 0.019228515284246517)	(8, 0.026137559163037432)	(9, 0.035787853185104024)	(10, 0.04553258737529797)	(12, 0.05255222566150119)	(14, 0.06395339069529735)	(16, 0.07766958248200492)	(18, 0.08745159568593336)	(20, 0.09916341916751686)	(22, 0.11045896032906533)	(24, 0.12015150390003101)	(26, 0.1308021181239729)	(28, 0.14104017792925316)	(30, 0.1504904079109447)	(32, 0.1599070867802752)	(34, 0.1686726255430434)	(36, 0.17670873827040684)	(38, 0.18452739008431918)	(40, 0.1930804384688008)	(42, 0.20068162936926195)	(44, 0.2082853055373054)	(46, 0.21677000906327382)	(48, 0.22436871469615266)	(50, 0.23210659531364025)	(52, 0.24113060190496755)	(54, 0.2515513288775468)	(56, 0.26054799752546876)	(58, 0.2688724012923789)	(60, 0.2775559262249312)	(62, 0.2863003402132499)	(64, 0.2938965605785464)	(66, 0.30224084648611493)	(68, 0.3108199901802107)	(70, 0.3195184267182568)	(72, 0.32803668135658626)	(74, 0.3360293019012595)	(76, 0.3455329651359705)	(78, 0.35498692301903545)	(80, 0.36264030453872487)	(82, 0.3713027046968277)	(84, 0.3824951072537107)	(86, 0.39404538834244485)	(88, 0.40341981766287627)	(90, 0.41303034740362604)	(92, 0.4220158323474277)	(94, 0.43191465312772415)	(96, 0.44033971023171736)	(98, 0.4479682390755838)	(100, 0.4558303830721864)	(102, 0.46402555292481695)	(104, 0.4716118322197843)	(106, 0.4794590646108931)	(108, 0.4882755513590984)	(110, 0.496146393792239)	(112, 0.5035736159619393)	(114, 0.5114034514799719)	(116, 0.51962844454359)	(118, 0.5286884875148606)	(120, 0.5369979796762769)	(122, 0.5447047944489858)	(124, 0.5530565361593013)	(126, 0.5625142219437397)	(128, 0.571564323844681)	(130, 0.5815973490744217)	(132, 0.5913184732225838)	(134, 0.6002791054905625)	(136, 0.6081362789520004)	(138, 0.6157735062324049)
Control_siRNA_M1_2_gz - polyg	(1, 0.0273280023349586)	(2, 0.028053700468989876)	(3, 0.028160566975028726)	(4, 0.028302227227219763)	(5, 0.02842400533875241)	(6, 0.02858057719643724)	(7, 0.028794310208514945)	(8, 0.029129821332125296)	(9, 0.029594566370015188)	(10, 0.03007795091477232)	(12, 0.030750215795784172)	(14, 0.031378988494105794)	(16, 0.031990364319351317)	(18, 0.032593041708058795)	(20, 0.033128616872044214)	(22, 0.03367164783877652)	(24, 0.03424201674891411)	(26, 0.03475149660328539)	(28, 0.03533553448512562)	(30, 0.035971762986194145)	(32, 0.03663781469825024)	(34, 0.03732002064959129)	(36, 0.037984829727856245)	(38, 0.03873041000254591)	(40, 0.039538121966793044)	(42, 0.04028618750906501)	(44, 0.04114360482495813)	(46, 0.04208055070348481)	(48, 0.04293299748421334)	(50, 0.04384757595449933)	(52, 0.04481310241022245)	(54, 0.04594762706154189)	(56, 0.04708463698044363)	(58, 0.04817815471665514)	(60, 0.049212026030891476)	(62, 0.050468328793743564)	(64, 0.051749484232418645)	(66, 0.05320212313427235)	(68, 0.05478151068282329)	(70, 0.05678587898794735)	(72, 0.058700777660108644)	(74, 0.06086296045670868)	(76, 0.06342402870026768)	(78, 0.06580242977652773)	(80, 0.0682044408948196)	(82, 0.0708835593485378)	(84, 0.07344214232451451)	(86, 0.07604670275076375)	(88, 0.07901535487781977)	(90, 0.08206726346888281)	(92, 0.08525958967834574)	(94, 0.08860973037928464)	(96, 0.09250538731453815)	(98, 0.09654891767093846)	(100, 0.10073410827952978)	(102, 0.10542505084111893)	(104, 0.11069381811559258)	(106, 0.11611045881121301)	(108, 0.1216364512804546)	(110, 0.12725439865024124)	(112, 0.13348744974664686)	(114, 0.1401206289238026)	(116, 0.1477255477256372)	(118, 0.15593687181755272)	(120, 0.16452595658197772)	(122, 0.17349901518786784)	(124, 0.1828498344662674)	(126, 0.1930207920468256)	(128, 0.20431012003941834)	(130, 0.216912911949256)	(132, 0.23085774835353506)	(134, 0.2459855721269884)	(136, 0.2625747332388335)	(138, 0.2812005711343726)
Control_siRNA_M2_1_gz - illumina_universal_adapter	(1, 6.992286371885275e-05)	(2, 0.00016825189082348942)	(3, 0.00045668370366375703)	(4, 0.0009789200920639386)	(5, 0.001103470193063145)	(6, 0.001311053694728489)	(7, 0.0013962721848858408)	(8, 0.0015623389862181162)	(9, 0.0017633672194098178)	(10, 0.0023839326349146357)	(12, 0.0028493566965432497)	(14, 0.003417479964258928)	(16, 0.004004176492649927)	(18, 0.004729626203733024)	(20, 0.005559960210394401)	(22, 0.006763944520053397)	(24, 0.008107774557150099)	(26, 0.00955211871084265)	(28, 0.011162529665867477)	(30, 0.012857066566304049)	(32, 0.014621526330459475)	(34, 0.01646027913731618)	(36, 0.018443247850593023)	(38, 0.02039344022150165)	(40, 0.022444146709006126)	(42, 0.02455275806802778)	(44, 0.026541189505032654)	(46, 0.028634505237615807)	(48, 0.030774800394260067)	(50, 0.032959889885474214)	(52, 0.03514497937668837)	(54, 0.037389066284165294)	(56, 0.03971509404756275)	(58, 0.0419919572974079)	(60, 0.04430596706860368)	(62, 0.04672595368012335)	(64, 0.049295618921791184)	(66, 0.05201933297258962)	(68, 0.05471136322576546)	(70, 0.057954036030727255)	(72, 0.061794330811536125)	(74, 0.0659623890160271)	(76, 0.07040686104115668)	(78, 0.07546097303433501)	(80, 0.08146341386670028)	(82, 0.08839124009859473)	(84, 0.09677979865536585)	(86, 0.10578127481442254)	(88, 0.11634399741495173)	(90, 0.12865151397421543)	(92, 0.1429201483518438)	(94, 0.1589663530305749)	(96, 0.1771288168815469)	(98, 0.19733215431731294)	(100, 0.21972495142327553)	(102, 0.24458580710956448)	(104, 0.27228727913443185)	(106, 0.30253547296130934)	(108, 0.33443559444354465)	(110, 0.3693456766999275)	(112, 0.40753994846160524)	(114, 0.45010986192943925)	(116, 0.49555863080194795)	(118, 0.5438611265499823)	(120, 0.5948534674617013)	(122, 0.6508398304055902)	(124, 0.7111548556315743)	(126, 0.7759525919487843)	(128, 0.8444584251325846)	(130, 0.9179397070878796)	(132, 0.9973698951830051)	(134, 1.0825938480640849)	(136, 1.174646205605209)	(138, 1.2725698986092255)
Control_siRNA_M2_1_gz - polya	(1, 0.002357711561020066)	(2, 0.007477376238934816)	(3, 0.009363108469852626)	(4, 0.01165089716715384)	(5, 0.013713621646859997)	(6, 0.015505395029655597)	(7, 0.017517862451063827)	(8, 0.0245407400758261)	(9, 0.03398469685685365)	(10, 0.04337839657958328)	(12, 0.05011939765997892)	(14, 0.061242595715004546)	(16, 0.0742078242111237)	(18, 0.0838298657856852)	(20, 0.09449747268179268)	(22, 0.10552343425445926)	(24, 0.11477619570500558)	(26, 0.1244026074585495)	(28, 0.13419836364766252)	(30, 0.143350610981613)	(32, 0.1524362130860814)	(34, 0.1606018925147487)	(36, 0.16798312481607008)	(38, 0.17562219767735476)	(40, 0.18462804401539387)	(42, 0.19260799083730795)	(44, 0.20075181937106307)	(46, 0.20977077624604948)	(48, 0.2177616485154196)	(50, 0.22573176243462323)	(52, 0.23504789148041472)	(54, 0.2464868349669208)	(56, 0.25579750128898426)	(58, 0.2644559183979204)	(60, 0.27319736890752255)	(62, 0.2817596420788452)	(64, 0.2902727507366155)	(66, 0.2990120161567265)	(68, 0.30746284976399724)	(70, 0.3162753156820639)	(72, 0.32480481251101834)	(74, 0.33307209860102704)	(76, 0.34245596542104617)	(78, 0.3516453592763473)	(80, 0.35945159148370986)	(82, 0.368371126786846)	(84, 0.3798439391604659)	(86, 0.39203892361093207)	(88, 0.40195158208782505)	(90, 0.41209695259553236)	(92, 0.42116288889457987)	(94, 0.4312700203361909)	(96, 0.44028351448744923)	(98, 0.4484306206554412)	(100, 0.45732939760841085)	(102, 0.46612219772105656)	(104, 0.4741065147219531)	(106, 0.48215638440758596)	(108, 0.49137527697101846)	(110, 0.4997889640569385)	(112, 0.5074575356263546)	(114, 0.5154571482536896)	(116, 0.524145064070757)	(118, 0.5332831083230146)	(120, 0.5419568210583892)	(122, 0.5504841327978525)	(124, 0.5606087449553931)	(126, 0.5711933184508344)	(128, 0.5815178662968213)	(130, 0.5929568097833274)	(132, 0.6033272445086297)	(134, 0.6130749287289361)	(136, 0.6214372662118126)	(138, 0.6293003107459467)
Control_siRNA_M2_1_gz - polyg	(1, 0.0)	(2, 0.0)	(3, 6.77377742276386e-05)	(4, 0.00018791769624441676)	(5, 0.0003102827077524091)	(6, 0.0005113109409441108)	(7, 0.0008521849015735179)	(8, 0.0014290485272540532)	(9, 0.0021872745807053626)	(10, 0.0030241638558403815)	(12, 0.004017287029597212)	(14, 0.005058482172160754)	(16, 0.006155397096750256)	(18, 0.007077504862042627)	(20, 0.008137273265281488)	(22, 0.009185023676318672)	(24, 0.010124612157540756)	(26, 0.011096976981131053)	(28, 0.012275832761641086)	(30, 0.013582516277387147)	(32, 0.01486188617449303)	(34, 0.01625488072514205)	(36, 0.017612913843931644)	(38, 0.01929980293114897)	(40, 0.02106426269530439)	(42, 0.02278611321438114)	(44, 0.024718824869360057)	(46, 0.02706888861716087)	(48, 0.02906387532263939)	(50, 0.03106869493082837)	(52, 0.0331893242820517)	(54, 0.03563553196746594)	(56, 0.038077369473897754)	(58, 0.040570556583373094)	(60, 0.04358925771548544)	(62, 0.04634574810865209)	(64, 0.048976595856073925)	(66, 0.051683921735688254)	(68, 0.054444782307837336)	(70, 0.05854619528284628)	(72, 0.06210242842979732)	(74, 0.06586515253366808)	(76, 0.06915371221794536)	(78, 0.07244664208120509)	(80, 0.0760159857651034)	(82, 0.07952523948799332)	(84, 0.08288372203598948)	(86, 0.08651534077038739)	(88, 0.09026167670307404)	(90, 0.09407793549947956)	(92, 0.09823288316702325)	(94, 0.10265878193147751)	(96, 0.1075839736446742)	(98, 0.11289264856357899)	(100, 0.11798390707810794)	(102, 0.12345755625359939)	(104, 0.12924258068158884)	(106, 0.1352581320509014)	(108, 0.1417259969448953)	(110, 0.14828126541853773)	(112, 0.15507252355723128)	(114, 0.162038588855222)	(116, 0.16938048954570153)	(118, 0.1771277243368013)	(120, 0.18458215713607837)	(122, 0.19239494461191456)	(124, 0.19965490444647355)	(126, 0.20730818038945112)	(128, 0.21498658486157762)	(130, 0.22303536200246496)	(132, 0.23178773795952323)	(134, 0.2402320162983203)	(136, 0.24886639742285302)	(138, 0.25737841353587776)
Control_siRNA_M2_2_gz - illumina_universal_adapter	(1, 6.992286371885275e-05)	(2, 0.00016606680133227528)	(3, 0.00045231352468132874)	(4, 0.0009701797340990819)	(5, 0.0010969149245895024)	(6, 0.0013023133367636324)	(7, 0.0013897169164121983)	(8, 0.001560153896726902)	(9, 0.001765552308901032)	(10, 0.0024101537088092057)	(12, 0.0028908733968763187)	(14, 0.0034731997462848887)	(16, 0.00408502480382485)	(18, 0.004842158312530553)	(20, 0.005733674824945925)	(22, 0.00700539690883256)	(24, 0.008578661342506747)	(26, 0.010298326772092282)	(28, 0.012249611687746517)	(30, 0.01426098656440914)	(32, 0.016354302296992293)	(34, 0.018560150138372977)	(36, 0.020909121341428187)	(38, 0.023232964015334433)	(40, 0.02568135679023989)	(42, 0.028176728989206444)	(44, 0.03066117574071693)	(46, 0.033187139192560486)	(48, 0.03572621318135133)	(50, 0.03839639253961502)	(52, 0.04101631483958078)	(54, 0.043796841217150786)	(56, 0.04652711053642286)	(58, 0.04921695570010748)	(60, 0.05189806050582724)	(62, 0.05469825268881817)	(64, 0.05761316207009785)	(66, 0.06065480664186794)	(68, 0.06371830210855017)	(70, 0.06731932959007109)	(72, 0.07150049833150937)	(74, 0.07600396777290172)	(76, 0.08079259139289753)	(78, 0.08621379842059984)	(80, 0.09253089213969995)	(82, 0.09979303706375016)	(84, 0.10851700685742265)	(86, 0.11784187626117903)	(88, 0.12866134687692588)	(90, 0.14131082994156458)	(92, 0.1558766364899981)	(94, 0.17230195419545485)	(96, 0.19068401954029388)	(98, 0.21121730548923323)	(100, 0.23403182486700014)	(102, 0.2592903668406901)	(104, 0.2873687668027919)	(106, 0.3180277574540176)	(108, 0.3503321204921276)	(110, 0.3856650175650604)	(112, 0.42433236120158596)	(114, 0.4672682771591984)	(116, 0.5131114546848712)	(118, 0.5618804670392799)	(120, 0.61348681809803)	(122, 0.6699659187221876)	(124, 0.7307813294416599)	(126, 0.7962105566218307)	(128, 0.8653271223184253)	(130, 0.9393055121329716)	(132, 1.0192961756825936)	(134, 1.105210616842897)	(136, 1.1978278200174999)	(138, 1.2962464357912764)
