Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Control_siRNA_M1_1_gz	(1, 0.004602715562417545)	(2, 0.00010935177362115117)	(3, 8.449909779816227e-05)	(4, 0.0)	(5, 3.479374615218446e-05)	(6, 0.0)	(7, 2.4852675822988905e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.3917498460873786e-05)	(90, 8.449909779816227e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00017794515889260054)	(125, 2.2367408240690013e-05)	(130, 1.9882140658391124e-05)	(135, 0.0)	(140, 0.0)	(145, 2.733794340528779e-05)	(150, 0.0007083012609551838)
Control_siRNA_M1_2_gz	(1, 0.0651686865430415)	(2, 0.010530078746200398)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.087624769131068e-05)	(35, 1.3917498460873786e-05)	(40, 7.207275988666781e-05)	(45, 1.59057125267129e-05)	(50, 0.0)	(55, 0.0)	(60, 0.00010189597087425451)	(65, 1.292339142795423e-05)	(70, 0.00035539326426874135)	(75, 0.00014116319867457696)	(80, 4.224954889908114e-05)	(85, 0.0)	(90, 1.4911605493793343e-06)	(95, 4.970535164597781e-07)	(100, 1.5408659010253122e-05)	(105, 0.00035986674591687934)	(110, 0.0001406661451581172)	(115, 4.523186999783981e-05)	(120, 9.941070329195562e-07)	(125, 4.970535164597781e-07)	(130, 0.0)	(135, 1.4414551977333566e-05)	(140, 0.00016203944636588766)	(145, 0.00011531641581866852)	(150, 4.970535164597781e-06)
Control_siRNA_M2_1_gz	(1, 0.004590873021040926)	(2, 0.00011799483252556403)	(3, 8.303340066613764e-05)	(4, 2.1850894912141487e-06)	(5, 5.681232677156786e-05)	(6, 0.0)	(7, 1.5295626438499037e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.2236501150799232e-05)	(90, 7.866322168370934e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00018136242777077433)	(125, 1.9228787522684505e-05)	(130, 1.9228787522684505e-05)	(135, 0.0)	(140, 0.0)	(145, 2.0976859115655824e-05)	(150, 0.0006577119368554587)
Control_siRNA_M2_2_gz	(1, 0.0656684944794588)	(2, 0.010641385822212903)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.8354751726198847e-05)	(35, 1.5295626438499037e-05)	(40, 6.730075632939578e-05)	(45, 1.704369803147036e-05)	(50, 0.0)	(55, 0.0)	(60, 8.784059754680877e-05)	(65, 1.0488429557827912e-05)	(70, 0.0003164009583278087)	(75, 0.00013897169164121985)	(80, 4.195371823131165e-05)	(85, 0.0)	(90, 1.7480715929713188e-06)	(95, 1.311053694728489e-06)	(100, 1.5295626438499037e-05)	(105, 0.0003286374594786079)	(110, 0.00013285344106582023)	(115, 3.6709503452397695e-05)	(120, 8.740357964856594e-07)	(125, 4.370178982428297e-07)	(130, 0.0)	(135, 1.0051411659585083e-05)	(140, 0.00015688942546917585)	(145, 9.964008079936518e-05)	(150, 8.740357964856595e-06)
Control_siRNA_M3_1_gz	(1, 0.004643551140675373)	(2, 0.00013095180881769243)	(3, 9.690433852509239e-05)	(4, 1.0476144705415395e-05)	(5, 5.499975970343082e-05)	(6, 0.0)	(7, 7.857108529061546e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 5.238072352707697e-07)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.676183152866463e-05)	(90, 1.0476144705415395e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00020376101452032944)	(125, 2.6190361763538486e-05)	(130, 2.5142747292996944e-05)	(135, 0.0)	(140, 0.0)	(145, 2.2523711116643097e-05)	(150, 0.000709758803791893)
Control_siRNA_M3_2_gz	(1, 0.06699232635495508)	(2, 0.01056781097158778)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.780944599920617e-05)	(35, 1.676183152866463e-05)	(40, 7.961869976115699e-05)	(45, 2.095228941083079e-05)	(50, 0.0)	(55, 0.0)	(60, 9.3237687878197e-05)	(65, 1.5714217058123092e-05)	(70, 0.0003315699799263972)	(75, 0.0001539993271696063)	(80, 3.9809349880578494e-05)	(85, 0.0)	(90, 2.6190361763538486e-06)	(95, 2.095228941083079e-06)	(100, 1.780944599920617e-05)	(105, 0.0003472841969845203)	(110, 0.00014457079693473243)	(115, 3.719031370422465e-05)	(120, 0.0)	(125, 1.571421705812309e-06)	(130, 0.0)	(135, 1.1523759175956933e-05)	(140, 0.00015504694164014785)	(145, 9.480910958400931e-05)	(150, 2.6190361763538486e-06)
Control_siRNA_P1_1_gz	(1, 0.0046728302756221165)	(2, 0.00011970454828095779)	(3, 7.399917530095574e-05)	(4, 2.176446332381051e-06)	(5, 3.699958765047787e-05)	(6, 0.0)	(7, 1.3058677994286304e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.2188099461333888e-05)	(90, 6.094049730666944e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00018456264898591315)	(125, 1.958801699142946e-05)	(130, 2.0893884790858088e-05)	(135, 0.0)	(140, 0.0)	(145, 2.4376198922667775e-05)	(150, 0.0007160508433533657)
Control_siRNA_P1_2_fastq_gz	(1, 0.06659708132452778)	(2, 0.010840879181590015)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.6540992126095987e-05)	(35, 1.4799835060191146e-05)	(40, 6.442281143847911e-05)	(45, 1.9152727724953247e-05)	(50, 0.0)	(55, 0.0)	(60, 9.576363862476625e-05)	(65, 1.2188099461333888e-05)	(70, 0.0003099259577310617)	(75, 0.00012318686241276748)	(80, 3.7870166183430286e-05)	(85, 0.0)	(90, 1.7411570659048406e-06)	(95, 2.611735598857261e-06)	(100, 1.610570285961978e-05)	(105, 0.00033473744592020564)	(110, 0.00012928091214343444)	(115, 3.3081984252191974e-05)	(120, 8.705785329524203e-07)	(125, 8.705785329524203e-07)	(130, 4.3528926647621014e-07)	(135, 9.141074596000414e-06)	(140, 0.00014669248280248283)	(145, 9.663421715771866e-05)	(150, 4.352892664762102e-06)
Control_siRNA_P2_1_fastq_gz	(1, 0.004618717955924978)	(2, 0.0001350356088900643)	(3, 6.501714502114207e-05)	(4, 0.0)	(5, 3.75098913583512e-05)	(6, 0.0)	(7, 1.25032971194504e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.000263769556032e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.700448408245254e-05)	(90, 1.3003429004228415e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0001850487973678659)	(125, 2.750725366279088e-05)	(130, 2.4006330469344767e-05)	(135, 0.0)	(140, 0.0)	(145, 2.5506726123678817e-05)	(150, 0.0007151885952325628)
Control_siRNA_P2_2_fastq_gz	(1, 0.06612993846477316)	(2, 0.010287712869883787)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.0505407275898656e-05)	(35, 2.000527539112064e-05)	(40, 7.401951894714636e-05)	(45, 2.100553916067667e-05)	(50, 0.0)	(55, 0.0)	(60, 9.752571753171311e-05)	(65, 1.25032971194504e-05)	(70, 0.00032558585699048843)	(75, 0.00014003692773784449)	(80, 4.8012660938689535e-05)	(85, 0.0)	(90, 2.50065942389008e-06)	(95, 4.501186963002144e-06)	(100, 1.850487973678659e-05)	(105, 0.0003325877033773806)	(110, 0.00014203745527695654)	(115, 3.851015512790723e-05)	(120, 0.0)	(125, 1.500395654334048e-06)	(130, 0.0)	(135, 1.3003429004228415e-05)	(140, 0.00015554101616596297)	(145, 0.00011853125669238978)	(150, 5.00131884778016e-06)
