Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Control_siRNA_M1_1_gz	(1, 36.49114717863974)	(2, 36.498233024454336)	(3, 36.58923507340834)	(4, 36.60989654427519)	(5, 36.623403426826115)	(6, 36.606178335445314)	(7, 36.590123034662824)	(8, 36.648356954807596)	(9, 36.63330463346329)	(10, 36.63432796724298)	(15, 36.618383713186596)	(20, 36.59326607801613)	(25, 36.55402561157713)	(30, 36.51316142041592)	(35, 36.48541140970441)	(40, 36.45850299012484)	(45, 36.431731488906905)	(50, 36.410096598374494)	(55, 36.38204662580688)	(60, 36.360831477086975)	(65, 36.32193528979562)	(70, 36.305568689366304)	(75, 36.27636388254068)	(80, 36.250650329909334)	(85, 36.22185853479161)	(90, 36.20917139787056)	(95, 36.18462024962226)	(100, 36.15932685632838)	(105, 36.14440207891639)	(110, 36.10627663274873)	(115, 36.06540635765247)	(120, 36.030928687831405)	(125, 36.016905570468815)	(130, 35.971447983498614)	(135, 35.941346879831045)	(140, 35.90715021424497)	(145, 35.86033221168237)	(150, 35.80881872845956)
Control_siRNA_M1_2_gz	(1, 36.59161849472512)	(2, 36.51378520766747)	(3, 36.577328355242955)	(4, 36.569036210249266)	(5, 36.58975235700292)	(6, 36.55054611766907)	(7, 36.547475967213956)	(8, 36.61152051752417)	(9, 36.59417399596929)	(10, 36.59657778653918)	(15, 36.56781523805036)	(20, 36.5459534028234)	(25, 36.51308631562957)	(30, 36.48615003122987)	(35, 36.456140425173615)	(40, 36.43449605583064)	(45, 36.411501709019106)	(50, 36.395351058460555)	(55, 36.37461157007375)	(60, 36.334102717500926)	(65, 36.31042778513252)	(70, 36.27684004489785)	(75, 36.26093524197908)	(80, 36.24301418123505)	(85, 36.23677959424329)	(90, 36.18704549799245)	(95, 36.15294908810065)	(100, 36.127346219346336)	(105, 36.081749904739695)	(110, 36.08126328437655)	(115, 36.02239775335787)	(120, 36.01320754698225)	(125, 35.97196084828744)	(130, 35.935128839750845)	(135, 35.87849051109926)	(140, 35.79450474532022)	(145, 35.75095423837037)	(150, 35.68939896189379)
Control_siRNA_M2_1_gz	(1, 36.46686895205468)	(2, 36.47922753415535)	(3, 36.58029452209427)	(4, 36.601871035319)	(5, 36.616829480598106)	(6, 36.59890069021733)	(7, 36.58654158369518)	(8, 36.64885773572811)	(9, 36.633364402392445)	(10, 36.63366944088542)	(15, 36.617364163256255)	(20, 36.592531329157595)	(25, 36.55178301117394)	(30, 36.50912901546248)	(35, 36.48117113629635)	(40, 36.45261687628522)	(45, 36.426841988924394)	(50, 36.40321799877443)	(55, 36.37529889183624)	(60, 36.35344256042144)	(65, 36.31359935020683)	(70, 36.295330682266226)	(75, 36.264082923621764)	(80, 36.23813676894663)	(85, 36.20846019453065)	(90, 36.19617403940625)	(95, 36.16962814758863)	(100, 36.14569693385621)	(105, 36.1279087933158)	(110, 36.08879558653876)	(115, 36.04530603008659)	(120, 36.010402691016374)	(125, 35.99423381978379)	(130, 35.94640545349391)	(135, 35.915354536451176)	(140, 35.87926941795072)	(145, 35.83114914118553)	(150, 35.77770496816805)
Control_siRNA_M2_2_gz	(1, 36.6117780999668)	(2, 36.54510981779063)	(3, 36.60228264062646)	(4, 36.59310539586873)	(5, 36.61274257661732)	(6, 36.57418169054081)	(7, 36.57168845972954)	(8, 36.62795805397328)	(9, 36.61165663084198)	(10, 36.614791989531845)	(15, 36.58685127642877)	(20, 36.56646534417476)	(25, 36.532581074030915)	(30, 36.506387191389976)	(35, 36.474785400175975)	(40, 36.45528783353534)	(45, 36.4304436850433)	(50, 36.41561790965774)	(55, 36.39243786850988)	(60, 36.355608827551784)	(65, 36.329959753273684)	(70, 36.29822448368302)	(75, 36.279766001388495)	(80, 36.262352096755066)	(85, 36.255581221131145)	(90, 36.2076702584585)	(95, 36.175209333758346)	(100, 36.148946874268816)	(105, 36.10443575788823)	(110, 36.102352240096934)	(115, 36.04586532559276)	(120, 36.03659673535394)	(125, 35.99833986951869)	(130, 35.960432312089516)	(135, 35.90827262207854)	(140, 35.825882765229004)	(145, 35.78620444623758)	(150, 35.72454809945723)
Control_siRNA_M3_1_gz	(1, 36.48171293346849)	(2, 36.487627005248676)	(3, 36.57982621909259)	(4, 36.60150557913634)	(5, 36.61553908210901)	(6, 36.59978136286)	(7, 36.58332127048921)	(8, 36.643514028932756)	(9, 36.62769080758897)	(10, 36.6274074069224)	(15, 36.612817982092864)	(20, 36.58700893628239)	(25, 36.54767597336807)	(30, 36.50665681734462)	(35, 36.47972364454074)	(40, 36.45297550140466)	(45, 36.427163558940165)	(50, 36.405233258564216)	(55, 36.37847788688828)	(60, 36.35769786720098)	(65, 36.31797255695322)	(70, 36.30163197120317)	(75, 36.27213487722024)	(80, 36.246073654892484)	(85, 36.216074826911175)	(90, 36.20343756879062)	(95, 36.17807878244151)	(100, 36.15290337052932)	(105, 36.136470280421506)	(110, 36.097106648593574)	(115, 36.05431750601756)	(120, 36.0192044075236)	(125, 36.001366660219475)	(130, 35.9546068911818)	(135, 35.92419894879745)	(140, 35.885948512105905)	(145, 35.83518147629046)	(150, 35.78026097909787)
Control_siRNA_M3_2_gz	(1, 36.56718371242354)	(2, 36.47785881221209)	(3, 36.55006163246882)	(4, 36.54530483420388)	(5, 36.56699778704538)	(6, 36.522140140173434)	(7, 36.51241633980004)	(8, 36.584111826559045)	(9, 36.573442920791045)	(10, 36.57437448053055)	(15, 36.54688011113094)	(20, 36.526996388480065)	(25, 36.493587292541235)	(30, 36.46661172277974)	(35, 36.43714396200197)	(40, 36.41624091047126)	(45, 36.393047909897824)	(50, 36.376607664583176)	(55, 36.35483151020043)	(60, 36.31449412072212)	(65, 36.28947374527542)	(70, 36.255711629450374)	(75, 36.239789036636)	(80, 36.22192128041536)	(85, 36.21448170910968)	(90, 36.16448305660379)	(95, 36.13121286910568)	(100, 36.10443617847527)	(105, 36.05832041471914)	(110, 36.05803687262461)	(115, 35.99940746925546)	(120, 35.99078028551948)	(125, 35.95099481601074)	(130, 35.91413714609128)	(135, 35.86019251225415)	(140, 35.773213440841275)	(145, 35.7321015866514)	(150, 35.666390681364526)
Control_siRNA_P1_1_gz	(1, 36.498790505244166)	(2, 36.51479552569646)	(3, 36.598385538227994)	(4, 36.61858864071742)	(5, 36.632323148826835)	(6, 36.61435495201828)	(7, 36.59696632110358)	(8, 36.655045662061696)	(9, 36.64167427225838)	(10, 36.64127317061089)	(15, 36.62602652853023)	(20, 36.60242723389037)	(25, 36.563603227043096)	(30, 36.52320081778665)	(35, 36.49669210192438)	(40, 36.47075169102263)	(45, 36.445719458940665)	(50, 36.42468432278283)	(55, 36.39750655861219)	(60, 36.37722704109204)	(65, 36.33888122562136)	(70, 36.32176835045696)	(75, 36.29275440557355)	(80, 36.267370364000634)	(85, 36.239155557975764)	(90, 36.225335802816396)	(95, 36.20093997234782)	(100, 36.1760298389051)	(105, 36.15967945994879)	(110, 36.121337797137706)	(115, 36.08034465681773)	(120, 36.04607536015072)	(125, 36.03032432663254)	(130, 35.98361812351237)	(135, 35.955144146258235)	(140, 35.91879360102143)	(145, 35.8722035722536)	(150, 35.81995467419926)
Control_siRNA_P1_2_fastq_gz	(1, 36.580711901666064)	(2, 36.49865704555507)	(3, 36.56432106257244)	(4, 36.55697651383704)	(5, 36.57708774852677)	(6, 36.53594442470408)	(7, 36.53048946667445)	(8, 36.59830901437495)	(9, 36.57635890017899)	(10, 36.57915848921368)	(15, 36.55467225787023)	(20, 36.53534235000225)	(25, 36.50292410352937)	(30, 36.47675426906683)	(35, 36.447523315072516)	(40, 36.42681293953062)	(45, 36.404787824994045)	(50, 36.389723569116036)	(55, 36.36940352616517)	(60, 36.32956398075342)	(65, 36.3059555885679)	(70, 36.27217998828114)	(75, 36.256165996517076)	(80, 36.23865968079628)	(85, 36.23322565582748)	(90, 36.183008971007084)	(95, 36.14987234054038)	(100, 36.123856402598)	(105, 36.078390046954226)	(110, 36.0782135110393)	(115, 36.02023737281337)	(120, 36.012289870091834)	(125, 35.97240118922768)	(130, 35.93569063800304)	(135, 35.88127452610166)	(140, 35.796255001854554)	(145, 35.7555978395549)	(150, 35.69115020792245)
Control_siRNA_P2_1_fastq_gz	(1, 36.536675796407515)	(2, 36.531471148941975)	(3, 36.61279484400036)	(4, 36.62829853232297)	(5, 36.63913021363734)	(6, 36.61986135743996)	(7, 36.603480862903545)	(8, 36.65879712480181)	(9, 36.64588141893017)	(10, 36.64634668161994)	(15, 36.628171028700265)	(20, 36.603206465544964)	(25, 36.56177978132833)	(30, 36.51996566494584)	(35, 36.49159901466017)	(40, 36.46148889462151)	(45, 36.436085935861286)	(50, 36.41150726446564)	(55, 36.38298651354362)	(60, 36.35963458564024)	(65, 36.32062856975384)	(70, 36.30088244270014)	(75, 36.269436480399875)	(80, 36.242504278378206)	(85, 36.210981295767695)	(90, 36.19682492273213)	(95, 36.16881438635368)	(100, 36.14221680257084)	(105, 36.12306547236506)	(110, 36.08480508310041)	(115, 36.04317459514074)	(120, 36.00605680718005)	(125, 35.98649030249277)	(130, 35.93976363567073)	(135, 35.90762854164643)	(140, 35.87045962020185)	(145, 35.82006215539038)	(150, 35.766892829639175)
Control_siRNA_P2_2_fastq_gz	(1, 36.60355373211916)	(2, 36.5183481384041)	(3, 36.58705050521823)	(4, 36.58199202129602)	(5, 36.60438102527637)	(6, 36.56728864401543)	(7, 36.57053600034329)	(8, 36.62444996745642)	(9, 36.61189365635718)	(10, 36.616629205121384)	(15, 36.59044671079764)	(20, 36.57004832174245)	(25, 36.536214369729294)	(30, 36.50813634055301)	(35, 36.47800076880274)	(40, 36.45478888782972)	(45, 36.43215835015693)	(50, 36.414184190371)	(55, 36.39165755009596)	(60, 36.350539572285214)	(65, 36.32550740130172)	(70, 36.29063248478624)	(75, 36.273238212916745)	(80, 36.25372850820761)	(85, 36.24381034278739)	(90, 36.193847782660285)	(95, 36.15776148670405)	(100, 36.13077268975829)	(105, 36.082367715366544)	(110, 36.07996263614715)	(115, 36.02039743380329)	(120, 36.00744579345574)	(125, 35.96260236324319)	(130, 35.922536562891636)	(135, 35.86011911341021)	(140, 35.767589008221464)	(145, 35.71270823616187)	(150, 35.63902476082943)
