Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Control_siRNA_M1_1_gz	(0.0, 446.0)	(1.0, 540.5)	(2.0, 613.0)	(3.0, 676.0)	(4.0, 772.5)	(5.0, 819.0)	(6.0, 851.0)	(7.0, 762.0)	(8.0, 688.5)	(9.0, 714.0)	(10.0, 776.5)	(11.0, 835.5)	(12.0, 912.5)	(13.0, 994.5)	(14.0, 1139.0)	(15.0, 1523.5)	(16.0, 2376.0)	(17.0, 3528.0)	(18.0, 5073.0)	(19.0, 7754.0)	(20.0, 12383.0)	(21.0, 18878.5)	(22.0, 28694.0)	(23.0, 41781.0)	(24.0, 57232.0)	(25.0, 77399.5)	(26.0, 103622.0)	(27.0, 136424.0)	(28.0, 174855.5)	(29.0, 216145.0)	(30.0, 259732.0)	(31.0, 308100.5)	(32.0, 359510.0)	(33.0, 407946.0)	(34.0, 458783.5)	(35.0, 524177.5)	(36.0, 599021.5)	(37.0, 674319.5)	(38.0, 740757.5)	(39.0, 811077.5)	(40.0, 879648.5)	(41.0, 932115.5)	(42.0, 983661.0)	(43.0, 1036957.0)	(44.0, 1073889.5)	(45.0, 1100174.0)	(46.0, 1124966.5)	(47.0, 1139525.0)	(48.0, 1158827.5)	(49.0, 1180037.0)	(50.0, 1201899.5)	(51.0, 1209850.5)	(52.0, 1210517.5)	(53.0, 1215647.0)	(54.0, 1196338.5)	(55.0, 1183296.0)	(56.0, 1175908.5)	(57.0, 1140813.5)	(58.0, 1125336.5)	(59.0, 1136545.5)	(60.0, 1110974.0)	(61.0, 1063642.5)	(62.0, 1011559.5)	(63.0, 953686.5)	(64.0, 894965.0)	(65.0, 830318.5)	(66.0, 756426.0)	(67.0, 679431.5)	(68.0, 609309.0)	(69.0, 532617.5)	(70.0, 457161.0)	(71.0, 390160.5)	(72.0, 341060.0)	(73.0, 300500.0)	(74.0, 270212.0)	(75.0, 242846.5)	(76.0, 208550.0)	(77.0, 184422.5)	(78.0, 167377.0)	(79.0, 148035.0)	(80.0, 122699.0)	(81.0, 100825.0)	(82.0, 85651.0)	(83.0, 72074.5)	(84.0, 59983.0)	(85.0, 48833.0)	(86.0, 40291.0)	(87.0, 30438.5)	(88.0, 20595.5)	(89.0, 15850.0)	(90.0, 12230.5)	(91.0, 8909.5)	(92.0, 5846.5)	(93.0, 3357.0)	(94.0, 2478.5)	(95.0, 2189.0)	(96.0, 1632.0)	(97.0, 789.5)	(98.0, 439.5)	(99.0, 250.5)	(100.0, 108.5)
Control_siRNA_M1_2_gz	(0.0, 813.0)	(1.0, 797.5)	(2.0, 771.5)	(3.0, 889.0)	(4.0, 1064.5)	(5.0, 1179.0)	(6.0, 1186.5)	(7.0, 1107.5)	(8.0, 1090.5)	(9.0, 1121.0)	(10.0, 1172.0)	(11.0, 1262.0)	(12.0, 1390.0)	(13.0, 1544.0)	(14.0, 1779.5)	(15.0, 2076.5)	(16.0, 2985.5)	(17.0, 4337.5)	(18.0, 5933.5)	(19.0, 8542.0)	(20.0, 13471.5)	(21.0, 20312.0)	(22.0, 30151.5)	(23.0, 43313.5)	(24.0, 59561.5)	(25.0, 79917.0)	(26.0, 105625.0)	(27.0, 138830.5)	(28.0, 177848.0)	(29.0, 219413.5)	(30.0, 262666.5)	(31.0, 310842.5)	(32.0, 362746.5)	(33.0, 411143.5)	(34.0, 461281.5)	(35.0, 527180.0)	(36.0, 603024.0)	(37.0, 678419.5)	(38.0, 743525.5)	(39.0, 812280.5)	(40.0, 882028.5)	(41.0, 934489.0)	(42.0, 985476.0)	(43.0, 1039607.5)	(44.0, 1075945.0)	(45.0, 1101434.0)	(46.0, 1124006.0)	(47.0, 1138289.5)	(48.0, 1159398.5)	(49.0, 1179373.0)	(50.0, 1200698.5)	(51.0, 1207460.0)	(52.0, 1207303.0)	(53.0, 1212837.0)	(54.0, 1193172.5)	(55.0, 1180031.5)	(56.0, 1170043.5)	(57.0, 1135977.0)	(58.0, 1122033.5)	(59.0, 1131985.0)	(60.0, 1106645.0)	(61.0, 1060618.0)	(62.0, 1009522.5)	(63.0, 950919.0)	(64.0, 892481.5)	(65.0, 825862.0)	(66.0, 751645.0)	(67.0, 677958.5)	(68.0, 608192.0)	(69.0, 529094.5)	(70.0, 453599.5)	(71.0, 389172.5)	(72.0, 340313.5)	(73.0, 299037.5)	(74.0, 269186.5)	(75.0, 242376.0)	(76.0, 208147.5)	(77.0, 184913.0)	(78.0, 167933.0)	(79.0, 148072.0)	(80.0, 122650.5)	(81.0, 100258.5)	(82.0, 85038.0)	(83.0, 71189.0)	(84.0, 59057.0)	(85.0, 48235.5)	(86.0, 40044.5)	(87.0, 30397.5)	(88.0, 20654.5)	(89.0, 16889.5)	(90.0, 13076.0)	(91.0, 8904.0)	(92.0, 5712.5)	(93.0, 3109.0)	(94.0, 2385.5)	(95.0, 2271.0)	(96.0, 1775.5)	(97.0, 1034.5)	(98.0, 828.0)	(99.0, 799.5)	(100.0, 1883.5)
Control_siRNA_M2_1_gz	(0.0, 528.0)	(1.0, 607.5)	(2.0, 688.5)	(3.0, 750.5)	(4.0, 871.0)	(5.0, 937.0)	(6.0, 906.0)	(7.0, 856.5)	(8.0, 842.0)	(9.0, 861.5)	(10.0, 940.5)	(11.0, 1007.5)	(12.0, 1034.0)	(13.0, 1152.0)	(14.0, 1377.5)	(15.0, 1820.5)	(16.0, 2724.5)	(17.0, 4016.0)	(18.0, 6048.5)	(19.0, 9627.0)	(20.0, 16001.0)	(21.0, 24914.0)	(22.0, 37484.5)	(23.0, 53774.0)	(24.0, 73394.5)	(25.0, 99017.0)	(26.0, 132003.5)	(27.0, 172366.5)	(28.0, 222778.0)	(29.0, 276302.0)	(30.0, 328834.0)	(31.0, 385593.0)	(32.0, 449490.0)	(33.0, 512086.0)	(34.0, 571257.5)	(35.0, 644197.5)	(36.0, 726000.5)	(37.0, 810087.0)	(38.0, 895359.5)	(39.0, 974789.5)	(40.0, 1042340.0)	(41.0, 1101565.0)	(42.0, 1153231.0)	(43.0, 1205120.5)	(44.0, 1250800.0)	(45.0, 1274541.0)	(46.0, 1296279.0)	(47.0, 1310207.5)	(48.0, 1314208.0)	(49.0, 1333301.0)	(50.0, 1362082.0)	(51.0, 1372810.5)	(52.0, 1375279.5)	(53.0, 1378347.5)	(54.0, 1355546.5)	(55.0, 1332557.0)	(56.0, 1314586.5)	(57.0, 1267514.0)	(58.0, 1247085.0)	(59.0, 1266549.0)	(60.0, 1224595.5)	(61.0, 1158721.5)	(62.0, 1099136.0)	(63.0, 1029544.5)	(64.0, 965497.0)	(65.0, 890976.0)	(66.0, 812605.0)	(67.0, 723260.5)	(68.0, 636425.5)	(69.0, 558032.5)	(70.0, 480942.0)	(71.0, 414211.5)	(72.0, 372619.5)	(73.0, 332380.0)	(74.0, 299884.5)	(75.0, 274091.5)	(76.0, 234659.0)	(77.0, 204195.0)	(78.0, 183852.5)	(79.0, 160528.5)	(80.0, 132367.0)	(81.0, 109922.5)	(82.0, 94633.5)	(83.0, 80730.5)	(84.0, 67130.0)	(85.0, 53962.5)	(86.0, 44071.5)	(87.0, 34411.5)	(88.0, 24663.5)	(89.0, 20555.5)	(90.0, 16611.5)	(91.0, 11125.5)	(92.0, 6709.5)	(93.0, 4063.5)	(94.0, 3241.5)	(95.0, 2955.5)	(96.0, 2209.0)	(97.0, 1018.0)	(98.0, 613.5)	(99.0, 371.5)	(100.0, 154.0)
Control_siRNA_M2_2_gz	(0.0, 1056.0)	(1.0, 958.0)	(2.0, 858.5)	(3.0, 1004.5)	(4.0, 1251.0)	(5.0, 1397.5)	(6.0, 1397.5)	(7.0, 1336.5)	(8.0, 1342.5)	(9.0, 1384.5)	(10.0, 1452.5)	(11.0, 1536.5)	(12.0, 1683.5)	(13.0, 1845.0)	(14.0, 2140.5)	(15.0, 2649.5)	(16.0, 3581.0)	(17.0, 5025.5)	(18.0, 7028.5)	(19.0, 10627.0)	(20.0, 17358.0)	(21.0, 26536.5)	(22.0, 39034.0)	(23.0, 55643.0)	(24.0, 76631.0)	(25.0, 102456.0)	(26.0, 135246.0)	(27.0, 176662.5)	(28.0, 226456.0)	(29.0, 280350.0)	(30.0, 334090.5)	(31.0, 390752.5)	(32.0, 455461.0)	(33.0, 519457.0)	(34.0, 578423.5)	(35.0, 649878.5)	(36.0, 732496.5)	(37.0, 818098.0)	(38.0, 900435.0)	(39.0, 979421.0)	(40.0, 1048435.5)	(41.0, 1105738.0)	(42.0, 1154879.0)	(43.0, 1206493.0)	(44.0, 1252638.5)	(45.0, 1276984.0)	(46.0, 1299592.0)	(47.0, 1310264.5)	(48.0, 1312599.5)	(49.0, 1333796.5)	(50.0, 1364232.0)	(51.0, 1372799.0)	(52.0, 1371805.0)	(53.0, 1373934.0)	(54.0, 1350244.5)	(55.0, 1325212.5)	(56.0, 1306359.0)	(57.0, 1258637.0)	(58.0, 1238155.0)	(59.0, 1257884.0)	(60.0, 1215776.5)	(61.0, 1150535.5)	(62.0, 1092531.5)	(63.0, 1024042.0)	(64.0, 959866.0)	(65.0, 885923.0)	(66.0, 807583.5)	(67.0, 718352.5)	(68.0, 632127.0)	(69.0, 553738.0)	(70.0, 477054.5)	(71.0, 411922.5)	(72.0, 370991.5)	(73.0, 331782.0)	(74.0, 299118.0)	(75.0, 271934.5)	(76.0, 233999.5)	(77.0, 204574.0)	(78.0, 183567.0)	(79.0, 160149.5)	(80.0, 132744.0)	(81.0, 110414.0)	(82.0, 94323.0)	(83.0, 79062.0)	(84.0, 64856.0)	(85.0, 52510.5)	(86.0, 43653.5)	(87.0, 34183.5)	(88.0, 24928.0)	(89.0, 22348.5)	(90.0, 17725.5)	(91.0, 10855.0)	(92.0, 6556.0)	(93.0, 3864.0)	(94.0, 3147.0)	(95.0, 3258.0)	(96.0, 2656.5)	(97.0, 1563.5)	(98.0, 1271.0)	(99.0, 1025.5)	(100.0, 2047.5)
Control_siRNA_M3_1_gz	(0.0, 493.0)	(1.0, 586.5)	(2.0, 591.0)	(3.0, 560.5)	(4.0, 671.5)	(5.0, 769.0)	(6.0, 743.0)	(7.0, 656.0)	(8.0, 642.5)	(9.0, 653.5)	(10.0, 693.0)	(11.0, 756.5)	(12.0, 810.5)	(13.0, 929.0)	(14.0, 1108.5)	(15.0, 1383.5)	(16.0, 2060.5)	(17.0, 3196.0)	(18.0, 5238.5)	(19.0, 8402.5)	(20.0, 13443.5)	(21.0, 20556.0)	(22.0, 29879.0)	(23.0, 43181.5)	(24.0, 60705.5)	(25.0, 82570.0)	(26.0, 110002.5)	(27.0, 144711.0)	(28.0, 185041.5)	(29.0, 228230.5)	(30.0, 274706.5)	(31.0, 326224.0)	(32.0, 384630.5)	(33.0, 442083.5)	(34.0, 496606.5)	(35.0, 565816.0)	(36.0, 643307.0)	(37.0, 720851.5)	(38.0, 797385.0)	(39.0, 874208.5)	(40.0, 941180.0)	(41.0, 991509.0)	(42.0, 1035408.5)	(43.0, 1085959.0)	(44.0, 1121612.0)	(45.0, 1145818.5)	(46.0, 1166331.5)	(47.0, 1164670.0)	(48.0, 1161643.5)	(49.0, 1164315.5)	(50.0, 1176653.0)	(51.0, 1182775.5)	(52.0, 1178652.5)	(53.0, 1167860.0)	(54.0, 1132169.5)	(55.0, 1100562.5)	(56.0, 1070798.0)	(57.0, 1017354.5)	(58.0, 987393.5)	(59.0, 978989.5)	(60.0, 941750.5)	(61.0, 890771.5)	(62.0, 840179.5)	(63.0, 789222.5)	(64.0, 740438.0)	(65.0, 680956.5)	(66.0, 612018.0)	(67.0, 551419.0)	(68.0, 498729.0)	(69.0, 434515.5)	(70.0, 370611.5)	(71.0, 320727.0)	(72.0, 288103.5)	(73.0, 255586.0)	(74.0, 224596.0)	(75.0, 200748.0)	(76.0, 175297.5)	(77.0, 157300.5)	(78.0, 140718.0)	(79.0, 123581.0)	(80.0, 103138.5)	(81.0, 81933.5)	(82.0, 67551.5)	(83.0, 55914.0)	(84.0, 46354.5)	(85.0, 37368.0)	(86.0, 29681.0)	(87.0, 22176.5)	(88.0, 15215.5)	(89.0, 11737.5)	(90.0, 8952.0)	(91.0, 5966.5)	(92.0, 3677.0)	(93.0, 2494.0)	(94.0, 1976.5)	(95.0, 1656.5)	(96.0, 1205.0)	(97.0, 532.0)	(98.0, 348.0)	(99.0, 224.5)	(100.0, 96.5)
Control_siRNA_M3_2_gz	(0.0, 758.0)	(1.0, 744.0)	(2.0, 672.0)	(3.0, 738.0)	(4.0, 937.0)	(5.0, 1069.0)	(6.0, 1093.0)	(7.0, 1046.0)	(8.0, 993.0)	(9.0, 997.0)	(10.0, 1085.0)	(11.0, 1186.5)	(12.0, 1258.5)	(13.0, 1367.5)	(14.0, 1568.5)	(15.0, 1883.5)	(16.0, 2677.0)	(17.0, 3897.0)	(18.0, 5968.5)	(19.0, 9275.0)	(20.0, 14284.5)	(21.0, 21415.0)	(22.0, 30997.0)	(23.0, 44610.0)	(24.0, 62758.0)	(25.0, 84853.0)	(26.0, 111919.0)	(27.0, 146291.0)	(28.0, 186529.0)	(29.0, 229878.5)	(30.0, 277329.5)	(31.0, 329089.5)	(32.0, 387822.0)	(33.0, 445289.5)	(34.0, 499205.5)	(35.0, 567469.5)	(36.0, 647336.0)	(37.0, 726986.5)	(38.0, 799929.5)	(39.0, 874023.0)	(40.0, 941973.0)	(41.0, 995100.0)	(42.0, 1038985.5)	(43.0, 1087875.5)	(44.0, 1123900.0)	(45.0, 1149688.5)	(46.0, 1168549.0)	(47.0, 1165185.5)	(48.0, 1162405.0)	(49.0, 1163316.0)	(50.0, 1175911.5)	(51.0, 1182417.5)	(52.0, 1175668.5)	(53.0, 1162417.5)	(54.0, 1126223.0)	(55.0, 1096124.0)	(56.0, 1067080.0)	(57.0, 1013814.5)	(58.0, 984895.0)	(59.0, 975602.5)	(60.0, 936580.0)	(61.0, 886216.5)	(62.0, 836408.0)	(63.0, 786090.5)	(64.0, 737058.0)	(65.0, 677803.5)	(66.0, 610671.0)	(67.0, 550069.0)	(68.0, 495393.0)	(69.0, 430906.0)	(70.0, 368786.5)	(71.0, 320259.5)	(72.0, 288672.5)	(73.0, 255295.5)	(74.0, 222964.0)	(75.0, 199688.5)	(76.0, 174691.5)	(77.0, 156698.0)	(78.0, 140339.0)	(79.0, 123735.0)	(80.0, 103566.0)	(81.0, 81888.5)	(82.0, 67121.5)	(83.0, 55304.5)	(84.0, 45670.0)	(85.0, 36716.0)	(86.0, 29031.0)	(87.0, 21432.5)	(88.0, 14851.5)	(89.0, 12080.0)	(90.0, 9155.0)	(91.0, 5743.5)	(92.0, 3537.0)	(93.0, 2386.0)	(94.0, 2026.0)	(95.0, 1879.0)	(96.0, 1450.5)	(97.0, 870.5)	(98.0, 772.5)	(99.0, 728.5)	(100.0, 1916.0)
Control_siRNA_P1_1_gz	(0.0, 511.0)	(1.0, 649.0)	(2.0, 739.0)	(3.0, 760.5)	(4.0, 815.5)	(5.0, 872.5)	(6.0, 873.5)	(7.0, 806.0)	(8.0, 814.0)	(9.0, 856.5)	(10.0, 891.5)	(11.0, 920.0)	(12.0, 1002.0)	(13.0, 1106.0)	(14.0, 1281.5)	(15.0, 1676.0)	(16.0, 2462.0)	(17.0, 3636.0)	(18.0, 5438.5)	(19.0, 8534.5)	(20.0, 14418.5)	(21.0, 22906.0)	(22.0, 35065.5)	(23.0, 50241.5)	(24.0, 68125.5)	(25.0, 93402.0)	(26.0, 126025.0)	(27.0, 164797.0)	(28.0, 211075.0)	(29.0, 260555.0)	(30.0, 315490.5)	(31.0, 375137.5)	(32.0, 436077.0)	(33.0, 496267.0)	(34.0, 558719.0)	(35.0, 637506.0)	(36.0, 722821.0)	(37.0, 810650.0)	(38.0, 900622.0)	(39.0, 990726.0)	(40.0, 1071092.0)	(41.0, 1138572.0)	(42.0, 1192498.5)	(43.0, 1244907.5)	(44.0, 1291431.0)	(45.0, 1318859.0)	(46.0, 1338375.0)	(47.0, 1344582.5)	(48.0, 1351261.5)	(49.0, 1356308.5)	(50.0, 1380919.0)	(51.0, 1395086.5)	(52.0, 1390789.5)	(53.0, 1396365.5)	(54.0, 1379376.0)	(55.0, 1357492.5)	(56.0, 1320591.5)	(57.0, 1265361.5)	(58.0, 1247454.5)	(59.0, 1258941.0)	(60.0, 1225583.0)	(61.0, 1160463.0)	(62.0, 1089787.5)	(63.0, 1020705.0)	(64.0, 957853.5)	(65.0, 882590.0)	(66.0, 800056.5)	(67.0, 718789.5)	(68.0, 643117.0)	(69.0, 567993.0)	(70.0, 491040.0)	(71.0, 416188.0)	(72.0, 361922.5)	(73.0, 318201.5)	(74.0, 283345.5)	(75.0, 251378.0)	(76.0, 216216.0)	(77.0, 192534.5)	(78.0, 174244.5)	(79.0, 153900.5)	(80.0, 128108.0)	(81.0, 104544.5)	(82.0, 88813.5)	(83.0, 74973.5)	(84.0, 61546.5)	(85.0, 49470.0)	(86.0, 40112.0)	(87.0, 30517.0)	(88.0, 21236.0)	(89.0, 16420.0)	(90.0, 12659.5)	(91.0, 9053.5)	(92.0, 5643.5)	(93.0, 3370.5)	(94.0, 2706.5)	(95.0, 2563.5)	(96.0, 1871.5)	(97.0, 802.0)	(98.0, 457.0)	(99.0, 266.5)	(100.0, 108.5)
Control_siRNA_P1_2_fastq_gz	(0.0, 1009.0)	(1.0, 906.5)	(2.0, 832.5)	(3.0, 940.5)	(4.0, 1115.0)	(5.0, 1285.5)	(6.0, 1295.0)	(7.0, 1158.5)	(8.0, 1155.0)	(9.0, 1256.0)	(10.0, 1277.5)	(11.0, 1358.5)	(12.0, 1455.0)	(13.0, 1607.5)	(14.0, 1902.0)	(15.0, 2343.5)	(16.0, 3229.5)	(17.0, 4540.0)	(18.0, 6315.5)	(19.0, 9546.5)	(20.0, 15644.0)	(21.0, 24122.0)	(22.0, 36700.5)	(23.0, 52153.5)	(24.0, 70650.0)	(25.0, 96657.0)	(26.0, 128637.5)	(27.0, 167692.5)	(28.0, 214506.0)	(29.0, 264465.5)	(30.0, 319112.0)	(31.0, 378460.5)	(32.0, 440313.5)	(33.0, 499785.0)	(34.0, 562314.0)	(35.0, 640334.5)	(36.0, 726195.0)	(37.0, 815241.0)	(38.0, 902562.5)	(39.0, 991434.5)	(40.0, 1073384.0)	(41.0, 1141615.0)	(42.0, 1196527.0)	(43.0, 1248604.0)	(44.0, 1293500.5)	(45.0, 1321185.0)	(46.0, 1341409.0)	(47.0, 1345335.5)	(48.0, 1349797.0)	(49.0, 1355443.5)	(50.0, 1378523.5)	(51.0, 1392160.0)	(52.0, 1387212.5)	(53.0, 1391784.5)	(54.0, 1373716.0)	(55.0, 1350032.5)	(56.0, 1313095.5)	(57.0, 1260289.0)	(58.0, 1243919.0)	(59.0, 1253493.0)	(60.0, 1219111.0)	(61.0, 1154410.5)	(62.0, 1084777.5)	(63.0, 1017351.5)	(64.0, 955726.0)	(65.0, 879490.0)	(66.0, 797015.0)	(67.0, 716637.5)	(68.0, 640611.5)	(69.0, 565171.0)	(70.0, 488952.5)	(71.0, 415110.0)	(72.0, 361990.5)	(73.0, 319102.0)	(74.0, 283340.0)	(75.0, 250929.5)	(76.0, 216048.5)	(77.0, 192773.0)	(78.0, 174366.0)	(79.0, 153736.0)	(80.0, 128308.0)	(81.0, 104647.5)	(82.0, 88711.5)	(83.0, 74827.0)	(84.0, 61236.0)	(85.0, 49145.5)	(86.0, 39323.0)	(87.0, 29451.0)	(88.0, 20878.0)	(89.0, 16924.5)	(90.0, 12814.5)	(91.0, 8666.5)	(92.0, 5313.5)	(93.0, 3218.0)	(94.0, 2769.5)	(95.0, 2770.0)	(96.0, 2092.0)	(97.0, 1123.0)	(98.0, 906.5)	(99.0, 849.0)	(100.0, 2137.5)
Control_siRNA_P2_1_fastq_gz	(0.0, 688.0)	(1.0, 721.0)	(2.0, 716.5)	(3.0, 771.0)	(4.0, 911.5)	(5.0, 986.5)	(6.0, 951.5)	(7.0, 919.0)	(8.0, 948.5)	(9.0, 963.0)	(10.0, 1015.0)	(11.0, 1128.0)	(12.0, 1244.0)	(13.0, 1324.0)	(14.0, 1569.0)	(15.0, 1998.0)	(16.0, 3266.0)	(17.0, 5078.0)	(18.0, 6872.0)	(19.0, 9180.5)	(20.0, 13039.0)	(21.0, 19574.5)	(22.0, 29895.0)	(23.0, 44183.5)	(24.0, 61922.0)	(25.0, 82395.5)	(26.0, 109793.0)	(27.0, 145621.5)	(28.0, 189150.0)	(29.0, 235339.5)	(30.0, 283941.0)	(31.0, 340468.0)	(32.0, 401440.5)	(33.0, 462037.0)	(34.0, 522057.0)	(35.0, 593452.0)	(36.0, 671849.5)	(37.0, 752179.5)	(38.0, 828614.0)	(39.0, 904112.0)	(40.0, 968491.5)	(41.0, 1013395.5)	(42.0, 1063287.5)	(43.0, 1121393.0)	(44.0, 1155470.0)	(45.0, 1177561.0)	(46.0, 1204630.0)	(47.0, 1213597.0)	(48.0, 1211332.0)	(49.0, 1211091.0)	(50.0, 1229334.0)	(51.0, 1244657.5)	(52.0, 1230861.5)	(53.0, 1211304.5)	(54.0, 1185849.5)	(55.0, 1171507.0)	(56.0, 1134009.0)	(57.0, 1075179.5)	(58.0, 1042242.0)	(59.0, 1035247.5)	(60.0, 1023658.0)	(61.0, 977884.0)	(62.0, 907385.5)	(63.0, 842197.5)	(64.0, 801367.0)	(65.0, 734920.0)	(66.0, 656080.0)	(67.0, 587628.5)	(68.0, 516740.5)	(69.0, 443845.5)	(70.0, 378897.0)	(71.0, 328002.5)	(72.0, 292512.0)	(73.0, 260013.0)	(74.0, 229518.0)	(75.0, 205924.5)	(76.0, 181734.0)	(77.0, 162820.5)	(78.0, 146689.5)	(79.0, 129020.0)	(80.0, 108682.0)	(81.0, 88209.5)	(82.0, 75512.5)	(83.0, 65023.0)	(84.0, 52603.5)	(85.0, 41912.5)	(86.0, 32679.0)	(87.0, 24676.5)	(88.0, 18046.0)	(89.0, 13517.5)	(90.0, 9750.5)	(91.0, 6576.0)	(92.0, 4091.5)	(93.0, 2700.0)	(94.0, 2104.5)	(95.0, 1618.0)	(96.0, 1123.5)	(97.0, 616.5)	(98.0, 410.0)	(99.0, 233.5)	(100.0, 95.5)
Control_siRNA_P2_2_fastq_gz	(0.0, 1099.0)	(1.0, 1009.5)	(2.0, 922.0)	(3.0, 1041.5)	(4.0, 1231.5)	(5.0, 1317.0)	(6.0, 1328.5)	(7.0, 1317.0)	(8.0, 1345.0)	(9.0, 1461.5)	(10.0, 1525.5)	(11.0, 1593.5)	(12.0, 1779.0)	(13.0, 1929.0)	(14.0, 2202.0)	(15.0, 2687.5)	(16.0, 3995.0)	(17.0, 5815.0)	(18.0, 7653.5)	(19.0, 10051.5)	(20.0, 14012.5)	(21.0, 20808.5)	(22.0, 31595.0)	(23.0, 45933.5)	(24.0, 64157.0)	(25.0, 84885.5)	(26.0, 112102.0)	(27.0, 148243.0)	(28.0, 191687.0)	(29.0, 237840.0)	(30.0, 285882.5)	(31.0, 342073.0)	(32.0, 404098.0)	(33.0, 464466.0)	(34.0, 523621.0)	(35.0, 594677.0)	(36.0, 674273.5)	(37.0, 755039.5)	(38.0, 829025.0)	(39.0, 903647.5)	(40.0, 968558.5)	(41.0, 1015010.0)	(42.0, 1066746.0)	(43.0, 1124434.0)	(44.0, 1158791.0)	(45.0, 1182231.0)	(46.0, 1209246.5)	(47.0, 1217632.5)	(48.0, 1211860.0)	(49.0, 1209745.0)	(50.0, 1229192.0)	(51.0, 1245078.0)	(52.0, 1231936.5)	(53.0, 1209441.0)	(54.0, 1181831.0)	(55.0, 1167448.0)	(56.0, 1129942.0)	(57.0, 1072111.0)	(58.0, 1039441.0)	(59.0, 1031280.0)	(60.0, 1018904.0)	(61.0, 973083.5)	(62.0, 902598.5)	(63.0, 839710.0)	(64.0, 798006.5)	(65.0, 729623.0)	(66.0, 652339.0)	(67.0, 584284.5)	(68.0, 512581.0)	(69.0, 439798.0)	(70.0, 377237.0)	(71.0, 327825.0)	(72.0, 291640.0)	(73.0, 258548.0)	(74.0, 227827.0)	(75.0, 205129.5)	(76.0, 181057.5)	(77.0, 162320.5)	(78.0, 146552.0)	(79.0, 128870.0)	(80.0, 108288.0)	(81.0, 87784.0)	(82.0, 74938.0)	(83.0, 63796.5)	(84.0, 51548.5)	(85.0, 41129.5)	(86.0, 32249.5)	(87.0, 24052.5)	(88.0, 17520.5)	(89.0, 13858.0)	(90.0, 10209.5)	(91.0, 6556.0)	(92.0, 4085.5)	(93.0, 2775.5)	(94.0, 2250.0)	(95.0, 1937.0)	(96.0, 1465.0)	(97.0, 969.0)	(98.0, 828.5)	(99.0, 785.5)	(100.0, 2071.0)
