Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
Control_siRNA_M1_1_gz	(13.0, 19.0)	(14.0, 286.0)	(15.0, 1288.0)	(16.0, 3156.0)	(17.0, 5473.0)	(18.0, 7793.0)	(19.0, 10814.0)	(20.0, 13873.0)	(21.0, 18819.0)	(22.0, 25209.0)	(23.0, 33569.0)	(24.0, 44882.0)	(25.0, 59016.0)	(26.0, 81165.0)	(27.0, 111323.0)	(28.0, 154372.0)	(29.0, 209784.0)	(30.0, 275785.0)	(31.0, 356014.0)	(32.0, 461724.0)	(33.0, 625014.0)	(34.0, 966179.0)	(35.0, 2158580.0)	(36.0, 26587644.0)	(37.0, 8025335.0)										
Control_siRNA_M1_2_gz	(11.0, 30.0)	(12.0, 630.0)	(13.0, 1792.0)	(14.0, 2437.0)	(15.0, 2950.0)	(16.0, 3860.0)	(17.0, 5278.0)	(18.0, 6942.0)	(19.0, 9593.0)	(20.0, 13358.0)	(21.0, 19104.0)	(22.0, 27812.0)	(23.0, 39515.0)	(24.0, 53707.0)	(25.0, 69102.0)	(26.0, 86622.0)	(27.0, 108392.0)	(28.0, 136935.0)	(29.0, 173817.0)	(30.0, 223951.0)	(31.0, 295595.0)	(32.0, 394417.0)	(33.0, 556259.0)	(34.0, 960830.0)	(35.0, 2685718.0)	(36.0, 28742300.0)	(37.0, 5616170.0)								
Control_siRNA_M2_1_gz	(13.0, 13.0)	(14.0, 335.0)	(15.0, 1571.0)	(16.0, 3627.0)	(17.0, 6214.0)	(18.0, 9069.0)	(19.0, 12242.0)	(20.0, 15929.0)	(21.0, 21577.0)	(22.0, 29155.0)	(23.0, 38743.0)	(24.0, 49749.0)	(25.0, 65468.0)	(26.0, 87241.0)	(27.0, 120499.0)	(28.0, 168035.0)	(29.0, 230108.0)	(30.0, 306979.0)	(31.0, 401879.0)	(32.0, 531400.0)	(33.0, 730003.0)	(34.0, 1148005.0)	(35.0, 2644471.0)	(36.0, 30697346.0)	(37.0, 8445058.0)										
Control_siRNA_M2_2_gz	(11.0, 19.0)	(12.0, 717.0)	(13.0, 2129.0)	(14.0, 2813.0)	(15.0, 3391.0)	(16.0, 4364.0)	(17.0, 5826.0)	(18.0, 7949.0)	(19.0, 10764.0)	(20.0, 15070.0)	(21.0, 21662.0)	(22.0, 31254.0)	(23.0, 43341.0)	(24.0, 57986.0)	(25.0, 74001.0)	(26.0, 91741.0)	(27.0, 117046.0)	(28.0, 148747.0)	(29.0, 190227.0)	(30.0, 245376.0)	(31.0, 324173.0)	(32.0, 446354.0)	(33.0, 630802.0)	(34.0, 1066847.0)	(35.0, 2934441.0)	(36.0, 32526855.0)	(37.0, 6760821.0)								
Control_siRNA_M3_1_gz	(12.0, 1.0)	(13.0, 21.0)	(14.0, 222.0)	(15.0, 1118.0)	(16.0, 2674.0)	(17.0, 4574.0)	(18.0, 7001.0)	(19.0, 9823.0)	(20.0, 12509.0)	(21.0, 16674.0)	(22.0, 22758.0)	(23.0, 30237.0)	(24.0, 40181.0)	(25.0, 53490.0)	(26.0, 74099.0)	(27.0, 104765.0)	(28.0, 147419.0)	(29.0, 202371.0)	(30.0, 266579.0)	(31.0, 343228.0)	(32.0, 446396.0)	(33.0, 604890.0)	(34.0, 941240.0)	(35.0, 2129152.0)	(36.0, 25491757.0)	(37.0, 7228806.0)									
Control_siRNA_M3_2_gz	(11.0, 26.0)	(12.0, 531.0)	(13.0, 1529.0)	(14.0, 1990.0)	(15.0, 2449.0)	(16.0, 3154.0)	(17.0, 4267.0)	(18.0, 5920.0)	(19.0, 8160.0)	(20.0, 12259.0)	(21.0, 18188.0)	(22.0, 26589.0)	(23.0, 36905.0)	(24.0, 49615.0)	(25.0, 65008.0)	(26.0, 82242.0)	(27.0, 105097.0)	(28.0, 134391.0)	(29.0, 171568.0)	(30.0, 219066.0)	(31.0, 285447.0)	(32.0, 388382.0)	(33.0, 552763.0)	(34.0, 946123.0)	(35.0, 2717653.0)	(36.0, 27413751.0)	(37.0, 4928912.0)								
Control_siRNA_P1_1_gz	(13.0, 23.0)	(14.0, 336.0)	(15.0, 1468.0)	(16.0, 3652.0)	(17.0, 5976.0)	(18.0, 8593.0)	(19.0, 11580.0)	(20.0, 14604.0)	(21.0, 19664.0)	(22.0, 26614.0)	(23.0, 36007.0)	(24.0, 48044.0)	(25.0, 64299.0)	(26.0, 88716.0)	(27.0, 124235.0)	(28.0, 174118.0)	(29.0, 237392.0)	(30.0, 313743.0)	(31.0, 403560.0)	(32.0, 523533.0)	(33.0, 704103.0)	(34.0, 1083783.0)	(35.0, 2410365.0)	(36.0, 30327054.0)	(37.0, 9314996.0)										
Control_siRNA_P1_2_fastq_gz	(11.0, 28.0)	(12.0, 753.0)	(13.0, 2029.0)	(14.0, 2606.0)	(15.0, 3187.0)	(16.0, 4204.0)	(17.0, 5566.0)	(18.0, 7543.0)	(19.0, 10273.0)	(20.0, 14377.0)	(21.0, 20818.0)	(22.0, 30528.0)	(23.0, 43553.0)	(24.0, 59250.0)	(25.0, 76974.0)	(26.0, 98213.0)	(27.0, 123900.0)	(28.0, 157668.0)	(29.0, 201873.0)	(30.0, 257812.0)	(31.0, 339025.0)	(32.0, 458265.0)	(33.0, 643756.0)	(34.0, 1100012.0)	(35.0, 3133764.0)	(36.0, 32983647.0)	(37.0, 6166834.0)								
Control_siRNA_P2_1_fastq_gz	(13.0, 18.0)	(14.0, 269.0)	(15.0, 1279.0)	(16.0, 3355.0)	(17.0, 5434.0)	(18.0, 7764.0)	(19.0, 10820.0)	(20.0, 14963.0)	(21.0, 19762.0)	(22.0, 25804.0)	(23.0, 34762.0)	(24.0, 46069.0)	(25.0, 61229.0)	(26.0, 83584.0)	(27.0, 115683.0)	(28.0, 158886.0)	(29.0, 215435.0)	(30.0, 281684.0)	(31.0, 361684.0)	(32.0, 464420.0)	(33.0, 625379.0)	(34.0, 958708.0)	(35.0, 2119750.0)	(36.0, 26327430.0)	(37.0, 8045281.0)										
Control_siRNA_P2_2_fastq_gz	(11.0, 30.0)	(12.0, 685.0)	(13.0, 1865.0)	(14.0, 2454.0)	(15.0, 2828.0)	(16.0, 3832.0)	(17.0, 5083.0)	(18.0, 7006.0)	(19.0, 9946.0)	(20.0, 13793.0)	(21.0, 20223.0)	(22.0, 29424.0)	(23.0, 41312.0)	(24.0, 54588.0)	(25.0, 69458.0)	(26.0, 87397.0)	(27.0, 110168.0)	(28.0, 138113.0)	(29.0, 173673.0)	(30.0, 220893.0)	(31.0, 288532.0)	(32.0, 396424.0)	(33.0, 557786.0)	(34.0, 938466.0)	(35.0, 2569983.0)	(36.0, 28221476.0)	(37.0, 6024014.0)								
