Sample	Unique Reads	Duplicate Reads
Control_siRNA_M1_1_gz	15211106.0	25026010.0
Control_siRNA_M1_2_gz	15333434.0	24903682.0
Control_siRNA_M2_1_gz	16753752.0	29010964.0
Control_siRNA_M2_2_gz	16978607.0	28786109.0
Control_siRNA_M3_1_gz	14644522.0	23537463.0
Control_siRNA_M3_2_gz	14885885.0	23296100.0
Control_siRNA_P1_1_gz	16590707.0	29355751.0
Control_siRNA_P1_2_fastq_gz	16814913.0	29131545.0
Control_siRNA_P2_1_fastq_gz	15459393.0	24530059.0
Control_siRNA_P2_2_fastq_gz	15649500.0	24339952.0
Control_siRNA_P3_1_fastq_gz	16825102.0	31015798.0
Control_siRNA_P3_2_fastq_gz	17001312.0	30839588.0
Control_siRNA_P4_1_fastq_gz	16091212.0	30195863.0
Control_siRNA_P4_2_fastq_gz	16324732.0	29962343.0
Control_siRNA_P5_1_gz	16696625.0	28327356.0
Control_siRNA_P5_2_gz	19373651.0	25650330.0
KRAS_siRNA_M1_1	16409679.0	28882999.0
KRAS_siRNA_M1_2	16409679.0	28882999.0
KRAS_siRNA_M2_1	16278246.0	27753803.0
KRAS_siRNA_M2_2	16438733.0	27593316.0
KRAS_siRNA_M3_1	16080015.0	26881268.0
KRAS_siRNA_M3_2	16502587.0	26458696.0
KRAS_siRNA_P1_1	15347057.0	24616225.0
KRAS_siRNA_P1_2	15474227.0	24489055.0
KRAS_siRNA_P2_1	15915389.0	26716825.0
KRAS_siRNA_P2_2	16097191.0	26535023.0
KRAS_siRNA_P3_1_fastq_gz	15258359.0	26814885.0
KRAS_siRNA_P3_2_fastq_gz	15446509.0	26626735.0
KRAS_siRNA_P4_1_fastq_gz	14819226.0	25633310.0
KRAS_siRNA_P4_2_fastq_gz	15030011.0	25422525.0
KRAS_siRNA_P5_1	14086594.0	23799446.0
KRAS_siRNA_P5_2	14266447.0	23619593.0
SRR24828472_1_fastq_gz	14101716.0	29064990.0
SRR24828472_2_fastq_gz	14425321.0	28741385.0
