Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Control_siRNA_M1_1_gz	(1.0, 24.350847145288828)	(2.0, 12.66950698449386)	(3.0, 7.699909880754788)	(4.0, 5.253833319017761)	(5.0, 3.8239003726248373)	(6.0, 3.0309083797368417)	(7.0, 2.414019716301828)	(8.0, 2.1442932643707633)	(9.0, 1.7231287507982398)	('>10', 18.772512727796908)	('>50', 5.387820963240092)	('>100', 8.710962548351697)	('>500', 2.116015402363901)	('>1k', 1.747411633247805)	('>5k', 0.15492891161172043)	('>10k+', 0.0)
Control_siRNA_M1_2_gz	(1.0, 24.801316970413357)	(2.0, 12.406214439561527)	(3.0, 7.630489434603728)	(4.0, 5.3695005915178164)	(5.0, 3.849331618781933)	(6.0, 2.955464921941143)	(7.0, 2.403624667068422)	(8.0, 2.082801589422496)	(9.0, 1.7335368072830493)	('>10', 18.793851844604028)	('>50', 5.174117255681373)	('>100', 8.801393043516654)	('>500', 2.102220108565747)	('>1k', 1.7421003440763874)	('>5k', 0.1540363629622542)	('>10k+', 0.0)
Control_siRNA_M2_1_gz	(1.0, 23.33894936496431)	(2.0, 12.308680550498922)	(3.0, 7.737115933284118)	(4.0, 5.273021267339858)	(5.0, 3.8967018884091673)	(6.0, 2.9610002047583754)	(7.0, 2.438728384377508)	(8.0, 2.0077076892427055)	(9.0, 1.7470392500034428)	('>10', 18.673232608553437)	('>50', 5.121341796121221)	('>100', 8.814659177513194)	('>500', 2.448652636591854)	('>1k', 2.7707449362122727)	('>5k', 0.3410621299391033)	('>10k+', 0.12136218219048614)
Control_siRNA_M2_2_gz	(1.0, 23.87173032955614)	(2.0, 12.364949481339242)	(3.0, 7.664161836874768)	(4.0, 5.175625137743007)	(5.0, 3.8465818029060808)	(6.0, 2.963312428103315)	(7.0, 2.4453003560446267)	(8.0, 1.9399423720587081)	(9.0, 1.708049750552813)	('>10', 18.554378553715882)	('>50', 5.137712403627759)	('>100', 8.69137581455043)	('>500', 2.437909913510285)	('>1k', 2.750819640352649)	('>5k', 0.3274526582167787)	('>10k+', 0.12069752084717747)
Control_siRNA_M3_1_gz	(1.0, 25.1556320064674)	(2.0, 12.659756657430071)	(3.0, 7.558201067016658)	(4.0, 5.032434992924236)	(5.0, 3.639766761334812)	(6.0, 2.9032812608128102)	(7.0, 2.2913340524492014)	(8.0, 1.9466630496691295)	(9.0, 1.5641262923970112)	('>10', 18.43657906075881)	('>50', 5.3742752065067405)	('>100', 9.17816857040328)	('>500', 2.248756250330686)	('>1k', 1.927701982088866)	('>5k', 0.08332278941032262)	('>10k+', 0.0)
Control_siRNA_M3_2_gz	(1.0, 26.036610541919174)	(2.0, 12.392790747918887)	(3.0, 7.283965413140449)	(4.0, 5.046607684427939)	(5.0, 3.505746262189883)	(6.0, 2.8375883125147094)	(7.0, 2.363996223544179)	(8.0, 1.8794753522770908)	(9.0, 1.6596416547912176)	('>10', 18.37847749440775)	('>50', 5.501911129351943)	('>100', 8.911629894651234)	('>500', 2.238170244331745)	('>1k', 1.8799282909653132)	('>5k', 0.08346075356844947)	('>10k+', 0.0)
Control_siRNA_P1_1_gz	(1.0, 22.94699300171519)	(2.0, 12.1917433105021)	(3.0, 7.449546621077226)	(4.0, 5.193174821834154)	(5.0, 3.8230748808476047)	(6.0, 2.961086120619667)	(7.0, 2.4233246369132275)	(8.0, 2.0948538983531932)	(9.0, 1.7399669179024129)	('>10', 19.804681228915765)	('>50', 5.630417289272075)	('>100', 9.297755623054226)	('>500', 2.2250023215534034)	('>1k', 2.027116363104662)	('>5k', 0.16256315071997343)	('>10k+', 0.028699813615194178)
Control_siRNA_P1_2_fastq_gz	(1.0, 23.50006131844882)	(2.0, 12.13079824807446)	(3.0, 7.359434832466248)	(4.0, 5.118048187730327)	(5.0, 3.974225961596655)	(6.0, 3.0527058897006483)	(7.0, 2.466710570013742)	(8.0, 2.023791958406779)	(9.0, 1.7642708913682268)	('>10', 19.31333901565115)	('>50', 5.64572508900553)	('>100', 9.131771428973847)	('>500', 2.3374080051448938)	('>1k', 1.99191582862406)	('>5k', 0.16205934902664465)	('>10k+', 0.027733425767805294)
Control_siRNA_P2_1_fastq_gz	(1.0, 24.87929799404622)	(2.0, 13.153320855336526)	(3.0, 7.990543370784526)	(4.0, 5.304380778007722)	(5.0, 3.9438102862984117)	(6.0, 3.0073813340156104)	(7.0, 2.450738414364296)	(8.0, 2.012569758066673)	(9.0, 1.6289789115945617)	('>10', 18.43817036581259)	('>50', 5.0279226192287)	('>100', 8.049109361102847)	('>500', 1.9605182512356798)	('>1k', 1.6932304877913922)	('>5k', 0.3481281645115504)	('>10k+', 0.11189904780232654)
Control_siRNA_P2_2_fastq_gz	(1.0, 25.451436188042713)	(2.0, 13.1189205065585)	(3.0, 7.775571681862303)	(4.0, 5.2762640580964355)	(5.0, 3.9136957229076716)	(6.0, 3.081312989601046)	(7.0, 2.44116717942627)	(8.0, 1.9894023407271577)	(9.0, 1.6917897052048974)	('>10', 18.301792324992448)	('>50', 4.855998619121447)	('>100', 8.039663402252204)	('>500', 1.9017276829332959)	('>1k', 1.7493717593142322)	('>5k', 0.30176604332587015)	('>10k+', 0.11011979563326968)
